map EGL-G1-B
fac 5 10 {0,165,162,93,20}
hosp 2 {0,222}
n_ALS 9 1 {3:0,2:165,2:162,1:93,1:20}
n_BLS 25 1 {7:0,8:165,4:162,4:93,2:20}
n_CLS 5 0 {1:162,3:93,1:20}
      c_m  head  tail      c_af      c_d  c_tau  c_h
121    15    65    66  0.116256  {1,0,0}     21    1
54     15    35    36  0.221545  {0,2,0}     26    1
99     22    39    52  0.368454  {0,2,0}     32    0
32     30   231   232  0.607188  {0,3,0}     24    0
35     64    84   100  0.401273  {1,0,0}     28    1
49    119   163   164  0.991351  {1,0,0}     39    1
46    134   241   242  0.761881  {0,3,0}     34    0
79    166   180   181  0.604524  {0,1,0}     28    1
98    170    47    64  0.556340  {0,1,1}     30    1
53    180    86    87  0.250307  {0,2,0}     38    0
114   192    29    31  0.080600  {0,1,0}     35    1
58    223   105   107  0.614146  {0,3,0}     29    1
12    255   167   175  0.580062  {0,2,0}     28    0
110   293   225   226  0.121411  {1,0,0}     29    1
1     304    54    55  0.453254  {1,0,0}     23    1
10    307   177   184  0.917091  {0,2,0}     33    1
0     315   144   145  0.062351  {0,1,0}     32    1
65    388   210   211  0.255121  {1,1,0}     27    1
63    418    35    36  0.369594  {1,0,0}     25    1
118   434   175   176  0.547804  {0,2,0}     29    1
87    442    96   114  0.986640  {0,1,0}     33    1
107   448    63    64  0.379310  {1,1,0}     38    1
36    479   150   152  0.886482  {1,0,0}     23    1
3     479     8     9  0.199897  {0,2,0}     40    1
26    484   234   235  0.505109  {0,1,0}     34    0
73    488     2    14  0.404655  {0,1,0}     34    1
2     488   244   249  0.680318  {0,2,0}     40    1
15    489   100   111  0.839484  {0,1,0}     20    0
74    509   167   175  0.822094  {0,1,0}     36    1
125   516    14    15  0.112918  {0,2,0}     28    1
56    518   131   132  0.876710  {0,2,0}     27    0
68    520   156   160  0.508533  {0,2,0}     37    0
80    534    49    50  0.724760  {0,1,0}     27    0
13    536   225   226  0.444096  {0,1,0}     24    0
111   537    27    30  0.498969  {0,1,0}     38    0
89    538    60    67  0.341174  {0,2,0}     21    1
30    540   171   172  0.281754  {1,0,0}     34    1
86    562   104   105  0.176742  {1,0,0}     23    1
48    578    16    18  0.235492  {0,2,0}     40    0
96    588   170   171  0.997271  {1,1,0}     20    1
100   592    68    69  0.954382  {0,2,0}     37    0
72    617   207   208  0.708466  {0,1,0}     28    1
127   630   154   155  0.075178  {1,0,0}     35    1
6     657   164   165  0.252212  {0,1,0}     39    1
61    657    62    63  0.404551  {0,2,0}     27    0
123   660    39    40  0.469826  {0,2,0}     23    1
106   668    66    68  0.093938  {0,2,0}     29    1
101   672   211   213  0.964774  {0,2,0}     24    0
4     676     3    15  0.941625  {0,1,0}     28    1
108   679   199   201  0.808243  {0,1,1}     32    0
104   682    15    17  0.395785  {1,0,0}     26    1
59    709   219   220  0.308797  {0,3,0}     38    1
60    713   103   104  0.446946  {0,3,0}     40    0
88    723   150   152  0.246214  {1,1,0}     25    1
