map EGL-G1-B
fac 5 10 {0,175,68,107,85}
hosp 2 {0,81}
n_ALS 5 1 {3:0,2:175}
n_BLS 22 1 {5:0,4:175,3:68,6:107,4:85}
n_CLS 5 0 {1:0,3:107,1:85}
      c_m  head  tail      c_af      c_d  c_tau  c_h
26     10   141   142  0.640328  {0,1,0}     28    0
7      37    41    51  0.934147  {1,0,0}     28    1
25     51    50    52  0.140651  {1,1,0}     20    1
3      84   240   241  0.784257  {0,3,0}     32    0
2      90   194   195  0.388212  {0,3,0}     36    1
66    102    83    85  0.706290  {0,0,1}     34    1
104   147    23    86  0.175723  {1,0,0}     24    1
52    158    22    24  0.386878  {1,0,0}     39    1
54    158    89    91  0.706644  {0,1,0}     23    0
23    159    93    94  0.355152  {0,2,0}     34    0
93    181    50    53  0.413561  {0,1,0}     28    1
126   190     9    10  0.790546  {0,0,1}     24    1
40    232   121   122  0.516441  {0,0,1}     22    1
78    304   196   203  0.386840  {0,1,1}     21    1
18    312   175   176  0.269867  {0,1,0}     23    0
34    318   191   193  0.392875  {1,0,0}     23    0
110   332   112   113  0.188505  {0,1,0}     40    1
120   334    47    48  0.515998  {1,1,0}     34    1
69    342    15    17  0.661171  {1,0,0}     25    1
12    366   204   209  0.190360  {0,3,0}     32    1
124   369    95    97  0.101067  {1,1,0}     37    1
29    371    86    87  0.633620  {0,2,0}     22    1
36    410    72    73  0.551835  {0,2,0}     36    1
60    416   121   122  0.657123  {0,3,0}     28    0
106   419   108   109  0.160152  {0,3,0}     35    1
65    427   140   149  0.260077  {0,1,1}     35    1
39    443   128   129  0.349477  {0,1,0}     21    1
10    448    42    43  0.787547  {1,0,0}     34    1
59    479    58    59  0.450688  {0,2,0}     23    0
48    489   190   192  0.043229  {0,2,0}     31    1
112   500   110   113  0.565626  {0,0,1}     23    0
100   525   190   192  0.071106  {1,1,0}     22    1
9     529   102   110  0.041046  {1,1,0}     22    1
44    541   103   104  0.719166  {1,1,0}     32    1
51    541   213   216  0.963732  {0,1,0}     24    1
99    542   246   247  0.524690  {1,0,0}     20    1
61    569    92    93  0.899888  {1,1,0}     38    1
35    579   120   121  0.472120  {0,2,0}     25    0
57    600     2     3  0.825592  {0,2,0}     35    0
64    603   116   117  0.175931  {0,1,0}     30    1
17    614   237   238  0.513084  {0,1,0}     37    1
75    614   238   240  0.774445  {0,2,0}     38    0
95    644   142   144  0.052620  {1,1,0}     39    1
43    663   140   141  0.672319  {1,0,0}     31    1
76    665   245   246  0.296059  {0,1,0}     25    0
42    670    32    34  0.505970  {1,2,0}     27    1
5     685   144   145  0.186767  {0,2,0}     27    1
84    687    23   170  0.875869  {1,0,0}     34    1
21    694   116   118  0.283074  {1,1,0}     23    1
90    694   134   146  0.385960  {0,1,0}     25    1
123   712   124   125  0.279715  {0,1,0}     23    0
56    715   141   142  0.639438  {1,3,0}     32    1
24    728   186   187  0.022358  {1,1,0}     35    1
97    736   146   147  0.040691  {1,1,0}     25    1
103   741   229   230  0.843952  {1,0,0}     23    1
73    749   125   126  0.101078  {1,0,0}     33    1
98    754    27    28  0.670409  {0,0,1}     34    1
16    762    12    13  0.055434  {0,0,1}     26    1
102   763   175   176  0.166941  {0,1,0}     27    1
86    774    82    83  0.770470  {0,1,0}     30    1
85    808    66    68  0.463541  {0,3,0}     34    0
58    821    36    39  0.168294  {0,1,1}     34    0
94    827   132   133  0.301844  {0,2,0}     34    1
83    839   134   146  0.861590  {1,0,0}     31    1
53    847    89    91  0.320692  {0,1,0}     26    1
117   852    83    85  0.241803  {0,1,0}     21    0
8     871   225   248  0.462978  {1,0,0}     37    1
15    885   121   123  0.283136  {1,2,0}     37    1
74    885    95    97  0.322786  {0,1,0}     39    0
92    887    55    56  0.872361  {0,1,0}     21    1
6     889   227   228  0.573350  {0,2,0}     38    1
82    897    83    84  0.339290  {1,1,0}     21    1
20    904   171   172  0.675789  {0,2,0}     30    1
88    913   147   148  0.789052  {1,0,0}     29    1
31    928   151   154  0.436187  {0,2,0}     20    1
38    939    54    55  0.644152  {0,1,0}     32    1
4     942    53    55  0.494256  {1,0,0}     33    1
80    945   189   190  0.518042  {0,1,0}     35    1
49    945    23   229  0.518913  {1,3,0}     25    1
32    948   142   143  0.777119  {0,1,0}     30    1
13    974    83    84  0.466583  {0,1,0}     40    1
70    975   124   151  0.950678  {0,1,0}     30    0
108   978    49    56  0.107218  {0,1,1}     20    1
107   984   216   217  0.931802  {0,2,0}     26    1
30    988   101   102  0.278446  {0,3,0}     34    1
114  1012    12    13  0.377111  {0,3,0}     26    0
45   1012   102   103  0.515862  {1,1,0}     37    1
121  1017    15    17  0.259232  {1,0,0}     24    1
50   1023   163   164  0.733148  {0,1,1}     37    1
96   1025    18    20  0.891398  {0,1,0}     31    1
79   1030    48    57  0.551233  {0,1,0}     24    0
67   1045   198   200  0.292387  {1,0,0}     26    1
115  1055   176   179  0.323586  {0,1,0}     31    0
105  1071    96   111  0.585127  {1,0,0}     24    1
71   1071    88    89  0.487929  {0,1,0}     23    1
28   1091   246   248  0.106308  {1,0,0}     39    1
47   1091    53    55  0.934078  {0,3,0}     40    1
118  1113     4     5  0.558531  {0,2,0}     26    1
127  1119    70    72  0.371094  {1,0,0}     33    1
77   1123    36    38  0.131287  {1,1,0}     27    1
68   1127   119   169  0.531748  {0,1,0}     31    1
119  1141   244   248  0.023202  {0,2,0}     22    0
72   1152   119   161  0.619221  {0,1,0}     22    1
37   1165    89    91  0.354948  {0,1,0}     20    0
33   1171   151   152  0.983008  {0,0,1}     33    1
101  1183   164   165  0.384090  {0,1,0}     25    0
46   1184    48    49  0.186310  {0,1,0}     26    1
14   1187   106   107  0.171167  {0,2,0}     24    0
113  1195    50    53  0.497182  {0,3,0}     25    1
27   1225    27    28  0.921183  {0,1,0}     40    1
1    1230   193   194  0.515855  {1,1,0}     40    1
125  1245   111   112  0.876557  {1,1,0}     39    1
62   1247    47    64  0.379923  {0,1,0}     32    1
22   1251   102   110  0.180416  {0,1,0}     39    0
11   1263   165   166  0.802884  {0,1,1}     30    1
109  1271   229   230  0.195242  {0,2,0}     26    0
63   1279    49    50  0.431898  {0,0,1}     33    1
111  1287    16    18  0.114759  {1,1,0}     23    1
91   1316   123   124  0.304267  {0,2,0}     25    1
0    1338   145   146  0.326861  {0,0,1}     35    1
81   1339    45    46  0.554642  {1,1,0}     28    1
122  1342   186   187  0.053397  {0,1,0}     21    1
89   1354   136   137  0.105308  {0,1,0}     39    1
41   1362   103   113  0.256326  {0,2,0}     32    1
87   1406    59    60  0.142703  {1,0,0}     36    1
19   1411    86    87  0.816038  {1,0,0}     22    1
55   1429   189   190  0.639040  {0,2,0}     26    0
116  1429   104   106  0.639350  {0,3,0}     39    1
