map EGL-G1-B
fac 5 10 {0,43,218,160,177}
hosp 1 {0}
n_ALS 7 1 {2:218,5:160}
n_BLS 20 1 {4:0,4:43,5:218,5:160,2:177}
n_CLS 5 0 {1:0,1:43,3:177}
      c_m  head  tail      c_af      c_d  c_tau  c_h
68     29   178   183  0.719682  {1,0,0}     29    1
63     61   152   153  0.538807  {0,3,0}     36    1
78    121   140   141  0.777398  {0,3,0}     30    0
10    128    92    93  0.717587  {1,2,0}     38    1
89    131   119   169  0.752020  {1,0,0}     25    1
96    132   104   105  0.473671  {0,1,0}     26    0
119   159    36    37  0.523174  {0,2,0}     26    0
120   212    15    17  0.586572  {0,1,0}     20    1
107   214    23   149  0.174537  {0,1,0}     29    0
97    222    95    97  0.920224  {0,1,0}     29    1
95    234   102   103  0.275731  {0,1,0}     31    1
18    240    50    51  0.138311  {0,3,0}     23    0
56    242   202   203  0.311257  {0,2,0}     21    1
84    259   244   245  0.537524  {0,1,0}     22    0
9     273   157   158  0.978889  {0,2,0}     22    1
103   341    59    71  0.783802  {1,0,0}     28    1
35    393   120   121  0.136917  {0,1,0}     26    1
3     410    70    72  0.554665  {0,1,1}     37    1
91    431   202   203  0.851099  {1,1,0}     22    1
105   449   185   186  0.803650  {0,3,0}     34    1
122   460    48    57  0.434659  {0,1,0}     29    1
50    466   155   156  0.770865  {0,1,0}     23    1
24    478   163   164  0.673600  {0,2,0}     25    1
99    479   232   233  0.048779  {1,1,0}     22    1
104   507   171   172  0.982906  {0,2,0}     37    0
0     510    45    64  0.887924  {0,2,0}     23    1
17    517    62    63  0.752041  {0,0,1}     24    1
31    522   225   226  0.552365  {1,0,0}     31    1
26    535   119   169  0.733172  {1,1,0}     24    1
30    540   176   180  0.002639  {0,2,0}     33    1
126   572   202   204  0.181638  {1,1,0}     25    0
60    578     5    23  0.051501  {1,1,0}     24    1
108   580   178   179  0.573033  {0,2,0}     23    0
2     590   142   143  0.843371  {0,1,1}     29    0
5     599   124   149  0.406877  {0,3,0}     27    0
51    606   212   243  0.785850  {0,2,0}     39    1
33    624   108   109  0.694782  {0,0,1}     33    0
116   641   169   170  0.475657  {0,2,0}     37    1
124   649   165   166  0.004867  {1,1,0}     24    0
12    650    94    98  0.708072  {0,2,0}     28    0
44    677   212   243  0.403688  {0,2,0}     38    1
100   693   139   140  0.899356  {0,1,1}     33    1
25    709    66    67  0.639369  {0,2,0}     22    0
127   711    93    94  0.510774  {0,1,0}     34    0
98    722   231   232  0.130699  {0,2,0}     30    0
88    731     1    12  0.493497  {1,1,0}     21    1
93    735   244   249  0.128872  {1,1,0}     29    1
45    742   106   108  0.235786  {1,1,0}     30    1
11    752    23    86  0.497874  {0,0,1}     29    1
87    754   238   239  0.521070  {1,1,0}     39    1
85    754    10    41  0.308772  {0,2,0}     25    1
80    755   202   204  0.532495  {0,2,0}     26    1
113   761   140   141  0.456976  {0,1,0}     20    0
47    765   244   245  0.805456  {0,3,0}     34    0
14    772    50    53  0.963180  {0,0,1}     30    1
79    780    29    31  0.996013  {1,0,0}     24    1
121   783    36    39  0.877304  {0,2,0}     35    1
52    785   156   160  0.279556  {0,2,0}     25    1
75    791     9    10  0.132535  {1,0,0}     26    1
69    793   121   123  0.358961  {0,1,0}     36    1
48    807    71    72  0.992971  {0,2,0}     22    1
8     811   207   208  0.755927  {0,2,0}     37    1
125   812    84   100  0.109899  {0,3,0}     21    1
38    817    30    33  0.373112  {0,1,0}     35    1
49    825   213   214  0.887811  {1,1,0}     38    1
59    840   112   113  0.361289  {1,0,0}     23    1
66    844    98   131  0.099976  {0,0,1}     28    1
13    844    86    87  0.506387  {0,2,0}     30    0
16    846   204   209  0.199388  {0,1,1}     29    0
40    851   124   149  0.374950  {0,2,0}     22    1
7     852   152   153  0.063444  {1,0,0}     35    1
28    861   197   198  0.885262  {0,1,0}     21    1
112   867   127   138  0.789624  {1,0,0}     40    1
77    874   185   192  0.548172  {0,1,1}     30    0
21    883    86    87  0.671758  {0,2,0}     40    1
114   884   132   133  0.160927  {0,0,1}     34    1
19    887    30    33  0.696753  {0,1,0}     38    1
37    887    69    78  0.207832  {1,0,0}     32    0
39    892    49    56  0.536163  {0,1,0}     40    1
94    902    36    39  0.766436  {0,3,0}     37    1
27    904   156   160  0.940348  {0,3,0}     37    0
81    925   191   193  0.721094  {0,1,0}     21    0
82    929   180   181  0.310258  {0,0,1}     39    0
117   933   131   132  0.006105  {0,3,0}     23    1
29    941   185   186  0.825668  {1,1,0}     29    1
41    941   165   177  0.921253  {0,2,0}     28    0
71    955    17    19  0.553992  {0,3,0}     20    1
