map EGL-G1-B
fac 5 10 {0,144,222,209,92}
hosp 2 {0,131}
n_ALS 6 1 {1:0,1:144,3:222,1:92}
n_BLS 21 1 {7:0,7:222,5:209,2:92}
n_CLS 6 0 {1:0,2:144,3:92}
      c_m  head  tail      c_af      c_d  c_tau  c_h
124    14   152   153  0.344215  {0,3,0}     29    0
126    43    26    28  0.561735  {0,1,0}     25    1
12     45    65    91  0.302619  {1,1,0}     36    1
51     54    89    91  0.248254  {1,1,0}     40    1
117    55   126   127  0.307314  {0,2,0}     27    1
63     66     3     4  0.555079  {0,1,1}     21    1
53     78   118   119  0.556596  {1,0,0}     23    1
59     81   104   105  0.277073  {0,3,0}     24    0
7      93    68    69  0.076109  {1,1,0}     23    1
69    108    63    64  0.206947  {1,0,0}     24    1
96    112   196   197  0.244329  {0,0,1}     22    0
50    176   129   136  0.927783  {1,1,0}     27    1
89    212   223   224  0.692782  {1,0,0}     27    1
6     216    98   130  0.514820  {1,1,0}     30    1
23    234    45    64  0.360844  {1,1,0}     33    1
67    273    36    38  0.002872  {0,0,1}     35    1
41    283   202   204  0.451851  {0,3,0}     27    0
3     294    80    88  0.370201  {0,2,0}     39    1
65    296    73    75  0.999032  {0,0,1}     39    0
106   358    14    15  0.340903  {0,1,0}     26    1
118   383     7    30  0.577573  {0,1,0}     31    1
22    396   176   179  0.172114  {0,1,1}     38    0
72    397   174   175  0.349027  {0,3,0}     39    1
56    424   246   248  0.119710  {0,1,0}     38    0
97    463   227   228  0.907546  {0,1,1}     25    1
21    482     5    26  0.190041  {1,0,0}     20    1
102   491    45    46  0.543071  {0,2,0}     33    1
98    536   197   198  0.362890  {1,1,0}     34    1
42    538   244   248  0.742200  {0,2,0}     27    1
57    538   211   213  0.902018  {0,2,0}     39    1
5     547     4     5  0.632380  {0,3,0}     30    1
68    551   105   107  0.902706  {0,3,0}     32    0
105   583    94    98  0.460853  {1,1,0}     33    1
1     609   107   108  0.943211  {0,3,0}     39    1
127   611   150   151  0.616159  {1,1,0}     40    1
48    616   139   141  0.321149  {0,2,0}     23    0
99    629    38    40  0.223357  {1,0,0}     34    1
116   638   101   102  0.407067  {1,1,0}     21    1
93    642   222   223  0.817567  {0,2,0}     33    0
28    649    61    62  0.368782  {0,1,1}     35    0
62    663    77    78  0.639006  {0,3,0}     37    0
76    664   238   240  0.095156  {0,2,0}     40    1
113   667   134   135  0.580363  {1,0,0}     31    1
71    670    94    98  0.903252  {1,0,0}     20    1
108   671   117   118  0.952327  {0,3,0}     21    1
107   683   225   226  0.274994  {1,0,0}     25    0
29    685   111   112  0.594183  {0,1,0}     39    1
92    685   108   109  0.335519  {1,0,0}     38    1
85    687    89    90  0.103464  {1,0,0}     22    1
54    693   244   248  0.562988  {1,3,0}     34    1
81    696   174   175  0.491727  {0,1,0}     30    1
82    701   153   157  0.379459  {1,0,0}     29    1
52    709    54    58  0.957284  {0,1,0}     24    1
123   725   132   133  0.257488  {0,2,0}     37    1
91    741    90    91  0.843685  {1,1,0}     30    1
30    744   185   186  0.861939  {0,1,1}     39    0
88    756     1    12  0.127667  {0,1,0}     20    0
39    758   242   245  0.755595  {1,0,0}     30    1
58    767   131   132  0.567973  {1,0,0}     35    1
94    768    12    16  0.824761  {1,0,0}     37    1
10    795   126   127  0.296577  {1,0,0}     39    1
60    808     8     9  0.950241  {0,1,0}     28    0
26    810    49    56  0.493839  {1,0,0}     22    1
8     810   207   209  0.434375  {0,2,0}     22    1
43    811    65    92  0.593459  {1,1,0}     32    1
