map EGL-G1-B
fac 5 10 {0,221,191,88,46}
hosp 1 {0}
n_ALS 9 1 {1:0,1:221,4:191,1:88,2:46}
n_BLS 18 1 {3:0,6:221,1:191,8:46}
n_CLS 9 0 {5:0,3:221,1:191}
      c_m  head  tail      c_af      c_d  c_tau  c_h
119    52     3     4  0.208253  {0,1,0}     40    1
61     74   215   216  0.261197  {0,1,0}     32    0
62     78   213   216  0.004261  {1,1,0}     35    1
2      99   160   163  0.341686  {1,1,0}     30    1
70     99   212   243  0.107160  {0,2,0}     23    0
92    138   149   150  0.779990  {0,1,0}     34    0
58    199    25    26  0.752582  {1,1,0}     40    1
81    217   153   157  0.843354  {0,3,0}     23    0
95    220   151   152  0.466763  {0,3,0}     20    0
74    253   155   161  0.518686  {0,1,0}     39    0
87    314   246   248  0.882425  {0,1,0}     28    1
97    315    43    45  0.163434  {0,2,0}     20    1
9     318    75    76  0.425130  {1,1,0}     38    1
117   321   227   228  0.729696  {0,1,1}     25    0
33    322   158   160  0.428076  {1,1,0}     40    1
115   322    34    41  0.159273  {1,1,0}     33    1
4     335   179   180  0.042729  {1,1,0}     26    1
78    391   114   115  0.054684  {0,1,1}     31    0
42    435    65    66  0.073559  {0,3,0}     26    0
41    441   237   240  0.878002  {1,0,0}     37    1
76    442   170   171  0.460819  {0,3,0}     28    0
64    476   132   134  0.719601  {0,2,0}     38    0
100   491   191   194  0.426764  {1,0,0}     20    1
102   494   210   211  0.608959  {0,1,1}     33    1
107   494   161   162  0.005477  {0,3,0}     31    1
23    497    11    42  0.325017  {0,3,0}     36    0
14    498    91    92  0.300811  {0,2,0}     21    1
29    502   167   175  0.046361  {0,2,0}     29    1
77    516   198   199  0.661916  {1,1,0}     22    1
65    516   117   118  0.990307  {0,1,0}     33    1
5     519    50    53  0.513178  {0,1,0}     34    0
113   542    73    75  0.822552  {0,3,0}     30    0
18    553   179   180  0.317420  {1,1,0}     24    1
89    560   186   187  0.856352  {0,3,0}     28    0
72    563   226   231  0.682583  {0,2,0}     37    0
59    572   237   240  0.428431  {1,1,0}     21    1
84    574   243   244  0.243378  {1,0,0}     35    1
34    582     7    30  0.126036  {1,0,0}     23    1
47    609   234   235  0.546415  {1,3,0}     22    0
127   615    29    31  0.707279  {0,3,0}     34    1
126   616    34    41  0.543653  {0,2,0}     32    0
52    620   244   249  0.687821  {0,2,0}     36    1
108   625    50    51  0.364967  {0,2,0}     40    1
60    625   106   107  0.369829  {0,1,0}     34    1
12    647   116   118  0.354074  {0,3,0}     37    1
112   652   171   172  0.109431  {0,2,0}     35    1
103   656    98   130  0.276186  {0,2,0}     32    1
21    670    45    64  0.279832  {0,2,0}     39    1
124   677    96   114  0.206396  {0,2,0}     36    1
0     680   158   160  0.906424  {0,2,0}     37    0
54    683    23    86  0.034912  {1,0,0}     37    1
71    689    90    95  0.210483  {0,3,0}     25    0
109   700   115   116  0.785072  {0,1,1}     38    0
10    700    22    24  0.141037  {0,2,0}     38    0
106   705    48    49  0.474211  {1,1,0}     39    1
17    705     6    27  0.745277  {0,1,0}     31    0
13    709    48    49  0.851813  {0,0,1}     26    0
110   717   234   235  0.341982  {1,3,0}     24    0
101   718    23   149  0.852406  {0,1,0}     27    1
43    738   136   137  0.163696  {0,2,0}     25    1
35    741   158   160  0.066583  {0,0,1}     38    1
104   762    83    85  0.889616  {0,1,0}     24    1
85    769   175   176  0.534750  {1,0,0}     23    1
7     778   190   191  0.475472  {1,0,0}     23    1
6     791    66    68  0.813171  {0,1,0}     35    1
83    794   185   186  0.570657  {1,0,0}     26    1
67    804   103   113  0.104299  {0,2,0}     38    1
82    834   226   231  0.148409  {0,2,0}     35    1
118   858   173   181  0.186963  {0,3,0}     25    1
32    864    51    52  0.855318  {1,0,0}     35    1
93    869    84   100  0.846018  {1,0,0}     25    0
73    870   234   236  0.468499  {0,1,0}     34    1
1     878   237   240  0.080616  {1,2,0}     35    1
19    898    98    99  0.817621  {0,3,0}     32    1
66    920   169   170  0.268945  {1,1,0}     20    1
116   934   180   181  0.625232  {0,2,0}     38    1
123   944   207   208  0.541829  {0,2,0}     31    0
86    956   122   123  0.536364  {0,1,0}     40    1
38    959    30    33  0.646846  {1,1,0}     35    1
96    963    50    52  0.650627  {0,0,1}     37    1
69    973    80    81  0.896487  {0,1,0}     28    1
46    974    20    21  0.495066  {0,0,1}     29    1
48    976    96   111  0.610208  {0,3,0}     37    1
25    978    26    28  0.933084  {0,1,0}     20    1
51    981   213   216  0.174174  {1,0,0}     39    1
27    988   190   192  0.192055  {0,3,0}     29    1
40   1005   212   243  0.338883  {1,1,0}     20    1
50   1006    43    46  0.311717  {0,0,1}     23    1
