map EGL-G1-B
fac 5 10 {0,146,158,153,150}
hosp 1 {0}
n_ALS 5 1 {2:0,3:158}
n_BLS 15 1 {4:0,5:158,3:153,3:150}
n_CLS 5 0 {2:0,1:158,2:150}
      c_m  head  tail      c_af      c_d  c_tau  c_h
96      3   223   224  0.140929  {0,0,1}     33    1
53      6   106   108  0.525691  {0,2,0}     25    0
47     50   101   102  0.861454  {1,1,0}     21    1
77     52   115   116  0.826985  {0,3,0}     36    1
9      77   240   242  0.646578  {1,0,0}     30    1
108    96   204   205  0.871307  {0,1,1}     35    0
62    107     0     1  0.731944  {1,2,0}     35    1
81    114     9    10  0.564008  {0,3,0}     24    1
5     135   126   127  0.810519  {1,1,0}     37    1
109   210    55    56  0.580734  {0,2,0}     30    0
124   216    27    28  0.939531  {1,0,0}     28    1
84    223    69    78  0.892563  {0,1,0}     26    0
92    271   156   160  0.660756  {1,0,0}     38    1
114   317   139   140  0.563542  {0,1,0}     22    0
67    322    49    50  0.185769  {1,0,0}     30    1
28    335   123   124  0.834316  {0,1,0}     21    1
102   344   165   166  0.393983  {1,1,0}     26    1
89    402   104   106  0.238920  {1,1,0}     23    1
11    423    50    51  0.425073  {0,3,0}     31    0
75    429     6     7  0.215020  {1,0,0}     29    1
107   440   166   167  0.710267  {0,2,0}     36    0
60    443   199   202  0.523673  {0,1,0}     39    0
48    444   107   108  0.475039  {1,0,0}     21    1
65    455    18    19  0.928183  {0,1,0}     25    0
101   485   219   220  0.718110  {1,1,0}     24    1
59    486    24    26  0.398058  {0,3,0}     39    0
117   486    48    57  0.501654  {0,1,0}     37    0
104   490   144   147  0.072868  {0,1,0}     23    1
39    533   115   122  0.252019  {0,1,1}     38    1
103   534    62    63  0.870639  {0,1,0}     39    1
111   534    50    53  0.569554  {1,0,0}     39    1
78    535   170   171  0.566829  {0,2,0}     21    1
110   535   108   109  0.033681  {0,1,0}     36    1
61    547     3    23  0.651272  {0,2,0}     34    1
98    561   130   131  0.705842  {0,1,1}     23    1
126   565   158   160  0.508308  {0,1,0}     38    1
18    574   237   238  0.232218  {0,2,0}     31    1
29    589    50    51  0.127910  {1,1,0}     32    1
51    589    69    70  0.651273  {0,1,0}     39    1
27    592     4     5  0.303860  {0,2,0}     32    0
83    593   106   107  0.851478  {0,3,0}     36    1
46    597   234   236  0.910409  {0,2,0}     29    1
32    605   165   177  0.127339  {1,1,0}     39    1
52    606    49    50  0.187180  {1,1,0}     35    1
120   609   139   141  0.287463  {0,0,1}     20    0
82    614   165   174  0.032987  {1,1,0}     28    1
30    627   238   240  0.273672  {0,2,0}     37    1
42    638   136   137  0.307312  {0,3,0}     35    1
119   643    69    70  0.149717  {0,3,0}     39    1
123   643   139   141  0.729064  {0,1,0}     37    0
21    647    36    37  0.848955  {0,1,0}     28    1
91    665   227   228  0.364853  {1,1,0}     40    1
37    667   142   144  0.645120  {0,1,1}     30    1
113   679   190   191  0.252448  {0,3,0}     30    0
31    685    30    33  0.383142  {0,1,0}     35    1
57    692    88    96  0.892896  {1,0,0}     35    1
71    697    97   126  0.567975  {0,2,0}     20    0
95    704    79    80  0.835080  {1,0,0}     28    1
121   718   147   148  0.069274  {0,3,0}     34    0
112   726    68    69  0.877273  {0,3,0}     37    0
20    731    50    52  0.044155  {1,0,0}     25    1
86    733    50    53  0.389254  {0,2,0}     36    0
8     739   223   224  0.199598  {0,0,1}     36    1
74    746    17    19  0.223393  {0,1,0}     25    1
16    751   176   179  0.995534  {0,1,1}     32    0
90    756    54    55  0.447318  {0,2,0}     27    1
118   764   211   213  0.271644  {0,1,0}     33    0
17    778    23   229  0.513696  {0,2,0}     35    1
127   786    68    79  0.452258  {1,0,0}     39    1
66    789   212   218  0.922640  {1,1,0}     24    1
105   790   135   136  0.758719  {0,1,0}     39    1
1     797    35    36  0.045408  {1,0,0}     28    0
44    798   212   243  0.241517  {0,3,0}     23    0
88    816   139   140  0.713651  {1,1,0}     37    1
54    818    16    17  0.227269  {0,1,0}     31    0
87    831    45    64  0.680556  {1,1,0}     36    1
24    834   197   198  0.778233  {0,1,0}     26    1
23    841    32    34  0.035644  {0,1,0}     36    1
7     844   129   136  0.630212  {1,1,0}     29    1
35    846   112   113  0.665520  {0,3,0}     34    0
25    848     3     4  0.017792  {0,2,0}     33    1
69    852   227   228  0.466734  {0,1,0}     20    1
115   863   192   193  0.788894  {0,0,1}     33    1
49    881    31    32  0.376400  {0,1,0}     38    1
3     935   157   158  0.111517  {1,0,0}     25    0
122   943   118   119  0.370565  {0,3,0}     24    1
15    946    67    68  0.826999  {1,0,0}     36    1
38    961    72    73  0.263825  {0,2,0}     26    1
56    962   178   179  0.408165  {1,0,0}     36    1
55    979    14    15  0.853526  {0,3,0}     28    0
6     999   225   226  0.713799  {0,1,0}     31    0
116  1023   203   210  0.754806  {0,3,0}     35    0
41   1038     3    23  0.404517  {1,0,0}     24    1
