map EGL-G1-B
fac 5 10 {0,15,143,104,222}
hosp 1 {0}
n_ALS 9 1 {3:0,3:15,3:222}
n_BLS 23 1 {3:0,7:15,2:143,4:104,7:222}
n_CLS 5 0 {1:0,2:143,2:104}
      c_m  head  tail      c_af      c_d  c_tau  c_h
53     14     1    12  0.499160  {0,2,0}     20    1
0      24    50    51  0.827186  {0,1,0}     40    0
74     55   134   135  0.024570  {0,0,1}     35    1
8      76   101   102  0.491734  {0,1,1}     40    1
43     98   225   248  0.332677  {0,1,0}     32    0
50    109   127   138  0.226408  {1,0,0}     23    1
100   113   114   115  0.904637  {0,1,1}     27    1
40    147   160   163  0.143533  {0,1,0}     39    1
61    201   198   200  0.901536  {0,1,0}     38    1
94    203   207   209  0.442433  {1,1,0}     31    1
119   212    96   114  0.458236  {0,1,0}     28    1
11    230   203   210  0.936236  {1,0,0}     32    1
68    250   144   147  0.630372  {0,3,0}     36    1
123   255    62    63  0.506511  {1,0,0}     21    1
48    262    50    52  0.888650  {0,3,0}     35    1
87    284    36    37  0.181005  {0,1,0}     26    1
84    294    61    62  0.974131  {0,1,0}     21    0
56    313   207   208  0.420379  {1,2,0}     32    1
18    314    95    97  0.417223  {0,2,0}     21    1
23    376   232   234  0.429042  {1,1,0}     39    1
51    378   115   122  0.730162  {0,1,1}     26    0
76    380    35    36  0.438048  {0,2,0}     25    1
81    390   212   243  0.119852  {0,1,1}     31    0
3     398   155   161  0.157537  {1,1,0}     29    0
13    398    45    64  0.141949  {0,0,1}     21    0
97    414   128   129  0.353915  {0,1,0}     38    1
78    416    75    76  0.303247  {0,3,0}     39    1
98    421   170   171  0.526049  {1,0,0}     22    1
83    483   240   241  0.343070  {0,1,0}     40    0
45    483   103   104  0.615194  {0,2,0}     34    0
54    485   206   207  0.701735  {0,0,1}     24    0
25    501   175   176  0.372895  {0,1,0}     20    0
21    506   153   156  0.168853  {0,1,1}     33    0
125   517   132   133  0.660077  {0,1,0}     34    1
32    523   225   248  0.966364  {0,2,0}     30    1
66    528   167   175  0.656619  {0,0,1}     35    1
95    531   153   157  0.933591  {0,1,0}     20    0
7     580   237   238  0.318903  {1,0,0}     35    1
33    591    49    50  0.825303  {0,1,0}     27    0
57    597   179   180  0.237173  {1,1,0}     34    1
101   609   188   189  0.305320  {0,1,0}     24    0
9     612   229   230  0.848476  {0,2,0}     34    1
75    628   118   119  0.564646  {0,2,0}     22    1
118   634   116   118  0.757677  {1,0,0}     36    1
114   638    24    26  0.097737  {1,1,0}     27    1
82    641   178   182  0.062943  {0,0,1}     37    0
2     646    48    57  0.677523  {1,0,0}     36    1
34    651   178   182  0.355506  {1,0,0}     39    1
24    659   222   225  0.881882  {0,3,0}     32    1
85    669    98    99  0.130479  {0,3,0}     34    0
93    680   189   241  0.893197  {0,2,0}     37    1
88    682    35    36  0.422278  {0,2,0}     33    1
46    700    75    77  0.198895  {0,3,0}     36    0
70    721   186   187  0.469102  {0,3,0}     20    0
102   734    35    36  0.618587  {0,1,1}     35    1
69    734    16    17  0.797384  {0,1,0}     31    1
73    738    91    92  0.938325  {1,1,0}     31    1
105   744   124   125  0.787068  {1,1,0}     33    1
109   745   177   178  0.552314  {0,3,0}     36    1
103   745   139   140  0.771886  {0,2,0}     29    1
64    752   199   201  0.116500  {1,1,0}     26    1
55    754   123   124  0.480126  {1,0,0}     21    1
19    765   161   162  0.117318  {1,1,0}     25    1
96    766   153   156  0.677782  {1,0,0}     23    1
99    783    43    45  0.970995  {0,3,0}     33    1
27    795    41    51  0.202213  {1,0,0}     21    1
124   822    51    52  0.711224  {0,0,1}     20    0
44    824   216   217  0.575616  {0,0,1}     23    0
16    835   232   234  0.805346  {0,1,0}     20    0
41    841    30    33  0.638450  {0,1,0}     21    1
62    849   245   246  0.480753  {1,0,0}     37    1
58    856    69    70  0.815630  {0,1,0}     20    1
115   860   123   124  0.246769  {0,1,0}     36    0
26    863   101   110  0.790071  {0,2,0}     39    1
42    863     9    10  0.476616  {1,1,0}     33    1
117   868   177   184  0.093679  {0,1,0}     28    1
104   905   196   203  0.309291  {1,1,0}     37    1
72    906    55    56  0.248836  {0,1,0}     38    1
14    910   157   159  0.728237  {0,2,0}     24    1
49    914   189   190  0.804125  {0,2,0}     38    1
106   919    69    70  0.955682  {0,3,0}     36    1
108   927   106   108  0.905964  {1,1,0}     37    1
1     942   240   242  0.489547  {1,0,0}     37    1
10    947    83    84  0.083013  {0,1,0}     36    1
110   955   116   118  0.285850  {0,1,0}     32    1
30    968    16    17  0.550659  {1,0,0}     38    1
71    973   211   212  0.954726  {1,0,0}     24    1
79    979    16    17  0.526324  {0,1,0}     31    1
116   984   121   122  0.018841  {0,2,0}     28    1
37    985   162   166  0.170944  {1,1,0}     29    1
15   1008    15    17  0.093572  {0,2,0}     24    0
113  1021   165   174  0.778362  {0,2,0}     40    1
67   1021   121   123  0.372080  {0,2,0}     25    0
126  1030   118   119  0.892244  {1,1,0}     24    1
20   1051   154   155  0.891865  {0,2,0}     31    1
121  1055    66    67  0.397215  {0,2,0}     33    1
60   1066    15    17  0.597140  {0,2,0}     26    0
17   1068   175   176  0.578465  {0,2,0}     31    1
89   1078    13    14  0.455306  {0,3,0}     29    0
4    1090    19    25  0.131899  {0,3,0}     39    0
59   1095    28    29  0.264290  {0,0,1}     28    0
120  1097     3     4  0.087651  {0,1,0}     27    0
5    1107    94    98  0.736580  {1,0,0}     20    1
22   1108    34    41  0.792753  {1,1,0}     23    1
52   1120    53    54  0.733196  {1,1,0}     22    1
38   1122   169   173  0.618560  {1,1,0}     27    1
65   1124   203   210  0.179513  {0,3,0}     23    1
86   1133    53    55  0.593156  {1,1,0}     32    1
91   1144   158   160  0.377764  {1,1,0}     37    1
111  1157   240   242  0.358184  {0,2,0}     32    0
12   1165    32    33  0.491974  {0,0,1}     22    0
36   1168    92    93  0.632915  {1,1,0}     35    1
77   1221   103   104  0.466223  {0,1,0}     22    1
35   1238    17    22  0.066657  {1,1,0}     36    1
90   1239   144   147  0.789174  {1,0,0}     25    1
29   1244    90    95  0.370046  {0,2,0}     36    0
112  1256   211   212  0.813041  {1,1,0}     40    1
107  1271   165   177  0.212913  {1,1,0}     24    1
28   1292   165   174  0.743509  {0,3,0}     23    1
127  1311   115   116  0.587862  {0,2,0}     25    1
92   1333   243   244  0.647778  {0,2,0}     38    0
63   1354    43    45  0.817782  {1,0,0}     20    1
80   1368    43    44  0.226851  {0,2,0}     39    1
122  1368   176   180  0.612496  {0,3,0}     26    0
39   1379   150   152  0.790921  {0,2,0}     38    1
6    1384    49    56  0.393504  {0,1,0}     21    0
31   1391   241   242  0.892324  {0,1,0}     28    0
47   1395   169   173  0.573205  {0,3,0}     37    1
