map EGL-G1-B
fac 5 10 {0,105,243,78,108}
hosp 2 {0,29}
n_ALS 5 1 {5:0}
n_BLS 24 1 {3:0,5:105,5:243,5:78,6:108}
n_CLS 6 0 {2:0,1:105,3:78}
      c_m  head  tail      c_af      c_d  c_tau  c_h
34     32    31    32  0.083251  {1,1,0}     27    1
102    34   210   211  0.263141  {0,3,0}     25    0
76     39   192   193  0.418504  {0,2,0}     25    1
60     75   100   111  0.107135  {0,2,0}     28    1
19    100    83    85  0.013900  {0,2,0}     28    0
56    106   163   168  0.012783  {1,1,0}     20    1
15    119   226   227  0.277078  {1,0,0}     29    1
50    123    27    30  0.184840  {1,0,0}     36    1
88    158   177   178  0.426367  {0,3,0}     21    1
40    161   110   113  0.360113  {0,2,0}     38    1
115   178   176   179  0.025093  {0,3,0}     39    0
84    197   226   231  0.634610  {0,1,0}     21    1
98    261   129   136  0.490800  {1,1,0}     22    1
110   265   199   201  0.060700  {1,1,0}     38    1
12    271   202   203  0.552951  {0,2,0}     34    0
106   277   130   131  0.268733  {0,1,0}     28    0
73    279    59    71  0.166850  {0,2,0}     20    1
58    280    35    36  0.929485  {0,3,0}     21    1
75    296    24    25  0.387188  {0,1,0}     34    0
52    300   105   117  0.148883  {1,0,0}     39    1
92    377   244   248  0.765375  {0,1,0}     40    1
43    386    93    94  0.473500  {0,3,0}     35    0
81    412    89    91  0.097138  {1,0,0}     37    1
23    429    81    82  0.054246  {0,2,0}     24    1
5     438   153   156  0.752873  {1,0,0}     25    1
121   445   229   230  0.640267  {1,0,0}     36    1
99    454   125   126  0.948324  {1,0,0}     25    1
69    462    83    85  0.345050  {0,1,0}     36    0
109   462    49    56  0.818060  {0,3,0}     25    1
63    475   225   226  0.409835  {0,3,0}     40    1
90    499   136   137  0.005969  {0,2,0}     40    0
72    503    18    20  0.254687  {1,0,0}     31    1
8     505   244   248  0.789294  {0,3,0}     39    0
68    519   105   117  0.897256  {0,1,0}     20    1
25    532   203   210  0.888029  {0,3,0}     29    0
122   542    29    30  0.772936  {0,0,1}     29    1
18    552    62    63  0.125105  {1,1,0}     36    1
108   566    41    51  0.844084  {0,1,0}     28    1
7     573   196   197  0.914990  {1,0,0}     27    1
13    578   223   224  0.197504  {1,1,0}     39    1
26    583   104   105  0.051878  {1,0,0}     23    1
14    595   135   136  0.765538  {1,1,0}     35    1
28    607    86    87  0.617988  {1,0,0}     32    1
64    625   184   185  0.261939  {1,1,0}     33    1
119   639   243   244  0.114904  {0,1,0}     24    0
111   642    11    42  0.335901  {0,1,0}     35    1
55    664   142   143  0.126764  {1,1,0}     29    1
124   674    48    49  0.933643  {1,0,0}     34    1
53    682    22    24  0.105263  {0,0,1}     38    1
123   708    73    75  0.031158  {0,0,1}     40    0
96    724   165   174  0.718915  {0,2,0}     34    1
35    740   204   205  0.313494  {0,3,0}     34    1
30    742   100   101  0.502237  {1,1,0}     27    1
49    752   227   228  0.617706  {1,1,0}     37    1
36    777    85    86  0.418739  {0,3,0}     39    1
100   779   155   161  0.598487  {0,3,0}     27    1
85    790   125   126  0.362278  {1,1,0}     26    1
82    797    98    99  0.882923  {1,1,0}     29    1
107   798    98   131  0.073095  {0,1,1}     21    0
74    830   140   141  0.718081  {0,3,0}     23    0
29    833    50    51  0.622820  {0,2,0}     24    1
86    837   228   230  0.884647  {0,3,0}     33    0
89    840    17    22  0.382196  {0,1,0}     37    1
97    859   116   120  0.388384  {0,2,0}     40    1
125   882   231   236  0.617685  {0,2,0}     29    0
94    886    30    33  0.130225  {0,1,0}     27    0
116   895   101   102  0.734014  {0,1,1}     28    0
126   909    36    38  0.769186  {1,0,0}     32    1
51    914    62    63  0.086651  {0,1,0}     33    1
77    916   135   136  0.246059  {0,1,0}     29    1
120   916   105   117  0.902135  {0,3,0}     36    1
38    921    27    28  0.274793  {0,1,0}     25    1
37    926    17    19  0.051853  {0,2,0}     37    0
33    935   140   141  0.029076  {0,0,1}     23    1
59    940   161   162  0.367965  {0,2,0}     34    1
4     941   240   242  0.730136  {0,1,0}     35    1
62    955   232   233  0.566480  {0,3,0}     27    1
104   958   118   119  0.171478  {0,3,0}     34    1
78    963   160   163  0.169622  {1,1,0}     21    1
93    965    59    60  0.374452  {0,2,0}     34    0
95    980    97   126  0.843287  {1,0,0}     31    1
42    995    45    64  0.568357  {1,1,0}     20    1
101   995    50    53  0.191365  {0,1,0}     25    0
3    1002   178   183  0.268239  {0,1,0}     30    0
20   1025     3    23  0.406653  {0,2,0}     22    0
65   1026   238   239  0.411988  {0,1,0}     32    1
46   1039    10    41  0.882577  {0,0,1}     36    1
118  1043    59    71  0.050013  {1,3,0}     33    1
112  1044   246   247  0.093530  {0,0,1}     30    1
113  1048    59    71  0.445298  {1,0,0}     28    1
17   1060    86    87  0.057081  {1,0,0}     23    1
70   1061   139   140  0.791190  {0,1,0}     23    1
31   1066    54    58  0.847703  {0,0,1}     28    1
11   1071   188   189  0.921117  {1,1,0}     23    1
67   1079    35    36  0.206862  {1,1,0}     23    1
117  1080   125   149  0.389593  {0,0,1}     29    1
1    1080   186   187  0.480606  {0,1,0}     33    1
83   1091   156   160  0.070827  {1,1,0}     20    1
127  1099    73    75  0.969291  {0,3,0}     36    0
39   1123   186   187  0.252205  {1,0,0}     30    1
41   1128   240   242  0.157836  {0,2,0}     31    0
44   1135   242   243  0.447166  {0,2,0}     28    0
24   1136    45    46  0.564347  {0,3,0}     20    0
45   1138   223   224  0.853029  {0,1,0}     24    0
2    1139    83    85  0.806259  {0,3,0}     39    0
0    1153    54    58  0.778402  {0,1,0}     39    1
54   1155    36    37  0.971189  {0,1,1}     34    0
91   1160   237   240  0.999872  {0,2,0}     23    0
105  1161    83    84  0.782326  {0,1,0}     24    0
71   1178   215   216  0.677633  {0,2,0}     27    1
79   1178     9    34  0.667565  {0,3,0}     36    0
66   1198    35    36  0.438661  {0,0,1}     26    1
10   1204   211   212  0.140379  {0,2,0}     29    1
57   1210   199   201  0.194247  {0,2,0}     37    1
9    1219    78    79  0.555811  {0,2,0}     26    1
61   1225    11    42  0.186857  {0,2,0}     38    0
80   1229    24    26  0.033005  {1,1,0}     23    1
22   1230    91    92  0.117418  {0,3,0}     34    0
6    1231   127   138  0.207829  {0,2,0}     22    0
21   1236   179   180  0.445048  {0,3,0}     32    0
32   1242   163   164  0.286672  {0,1,0}     38    1
48   1254    50    51  0.234749  {1,0,0}     30    0
114  1276    29    31  0.250494  {1,0,0}     36    1
47   1282   213   214  0.025748  {0,0,1}     40    1
103  1298    53    54  0.083383  {0,3,0}     28    1
87   1299   138   139  0.528308  {0,1,1}     29    1
27   1313     3    15  0.934405  {0,3,0}     37    0
16   1354    24    26  0.232579  {0,2,0}     31    1
