map EGL-G1-B
fac 5 10 {0,161,214,248,192}
hosp 3 {0,188,65}
n_ALS 8 1 {2:0,2:161,1:214,3:248}
n_BLS 19 1 {6:0,4:161,1:214,6:248,2:192}
n_CLS 8 0 {2:0,2:161,1:214,1:248,2:192}
      c_m  head  tail      c_af      c_d  c_tau  c_h
4      16     3    15  0.834313  {1,0,0}     21    1
20     16   106   108  0.828828  {1,0,0}     40    1
48     34    43    46  0.362235  {1,1,0}     25    1
87     37   117   118  0.979059  {0,2,0}     36    0
23     57    17    19  0.262560  {0,1,0}     22    1
92     94   173   181  0.128147  {1,1,0}     21    1
22    105   150   151  0.061808  {0,3,0}     39    0
103   133   195   196  0.253810  {0,1,0}     31    0
40    268    92    93  0.300421  {0,3,0}     25    1
45    273    48    49  0.324551  {0,1,0}     20    1
27    276   125   126  0.802535  {0,3,0}     33    0
9     307   115   122  0.731409  {0,2,0}     34    0
36    331   102   110  0.581184  {1,1,0}     24    1
60    356    27    28  0.266717  {0,0,1}     38    0
25    362   194   195  0.147256  {0,3,0}     39    0
96    389    49    50  0.819190  {1,0,0}     24    1
59    426   198   200  0.040051  {1,1,0}     40    1
71    459   124   149  0.338475  {0,1,0}     29    0
112   464    43    46  0.631227  {1,0,0}     20    1
93    497    15    17  0.277509  {0,2,0}     32    1
37    507    56    57  0.195791  {0,3,0}     23    1
75    520   121   123  0.521257  {1,1,0}     24    1
105   527   149   150  0.367402  {0,3,0}     32    0
121   532    46    47  0.209553  {0,1,0}     28    1
83    546   112   113  0.174497  {0,1,0}     25    1
98    560    65    92  0.463964  {1,1,0}     40    1
76    594   202   203  0.132706  {0,1,0}     30    1
90    611     5    23  0.033726  {0,0,1}     39    1
86    623    31    32  0.026296  {0,1,0}     33    1
19    629   129   136  0.600492  {0,1,0}     36    0
110   629    59    71  0.724328  {0,1,1}     36    1
127   647    43    46  0.391906  {1,2,0}     22    1
123   648   244   248  0.077708  {1,1,0}     30    1
56    650   169   170  0.788384  {0,3,0}     31    1
46    660   102   110  0.078327  {0,0,1}     25    1
5     661   234   235  0.862430  {1,0,0}     36    1
58    666    58    59  0.462495  {0,2,0}     26    1
74    668   198   199  0.552595  {1,0,0}     30    1
126   676    28    29  0.697333  {1,0,0}     35    1
80    676   191   194  0.236327  {0,2,0}     40    0
104   678   101   102  0.123007  {0,2,0}     23    1
116   694    32    33  0.452013  {0,3,0}     24    1
101   713    50    52  0.415468  {1,0,0}     21    1
108   717   107   108  0.372910  {0,3,0}     20    1
109   718    88    89  0.030341  {1,0,0}     37    1
8     719    81    82  0.160668  {0,2,0}     23    0
102   720   207   208  0.683946  {0,1,1}     24    1
35    720   147   148  0.992676  {0,1,0}     23    1
17    722    81    84  0.086892  {0,1,0}     23    0
95    727   142   144  0.745840  {0,2,0}     34    0
50    743    39    72  0.803041  {0,2,0}     32    1
94    749    49    56  0.426930  {0,2,0}     37    1
63    753   114   115  0.752789  {0,1,0}     33    1
84    758   225   226  0.338039  {1,1,0}     23    1
67    766   157   158  0.787506  {0,1,0}     36    1
99    767   150   151  0.159217  {1,2,0}     33    1
91    769   112   114  0.754784  {1,1,0}     38    1
66    776    81    82  0.333365  {0,1,1}     39    1
42    785    75    77  0.943548  {1,0,0}     25    1
41    786   107   108  0.604431  {1,0,0}     38    1
89    789   102   110  0.244883  {0,0,1}     36    0
24    810   246   247  0.440681  {0,3,0}     21    0
79    816    46    47  0.701365  {0,2,0}     30    1
106   821   173   181  0.723185  {0,1,0}     33    1
13    821    40    41  0.688100  {1,1,0}     27    1
15    823   129   130  0.957298  {0,3,0}     20    1
85    826   185   192  0.170426  {1,2,0}     25    1
49    838   160   164  0.533959  {1,0,0}     24    1
97    838   101   110  0.912235  {0,1,0}     24    1
68    842   142   143  0.924595  {0,3,0}     24    1
33    862    94    95  0.732235  {0,1,0}     21    1
82    893    81    82  0.093103  {1,1,0}     37    1
32    897   176   179  0.259564  {0,2,0}     21    0
34    898   219   221  0.560013  {0,3,0}     25    0
61    900   105   107  0.200142  {0,2,0}     35    1
88    901    23    86  0.251335  {0,3,0}     28    0
14    910    56    57  0.005468  {0,2,0}     35    0
55    919    82    83  0.291661  {0,1,0}     21    0
26    926    49    50  0.742379  {0,1,1}     36    1
51    927   112   113  0.266912  {0,2,0}     22    1
12    934   135   136  0.592284  {0,2,0}     20    1
2     934   166   167  0.792312  {0,0,1}     31    1
38    957    24    26  0.822778  {0,1,0}     20    1
73    962    59    60  0.224772  {0,1,0}     39    1
28    979    27    30  0.160517  {0,2,0}     24    0
57    983   144   147  0.887509  {0,1,1}     24    1
77    996    94    98  0.179548  {0,2,0}     37    0
124  1004   177   178  0.655668  {0,1,1}     32    0
70   1006    59    60  0.351378  {0,1,0}     31    0
54   1010   118   119  0.257405  {0,2,0}     32    0
117  1019   166   167  0.542689  {0,1,0}     27    1
64   1020    29    30  0.533410  {0,2,0}     32    1
53   1066   142   144  0.663500  {0,1,0}     38    1
6    1072    50    53  0.352825  {0,1,1}     21    0
52   1085     7    30  0.990123  {0,1,0}     31    0
3    1086    32    34  0.296358  {0,3,0}     26    1
78   1087    25    26  0.815573  {0,3,0}     29    1
65   1097   180   181  0.391958  {1,0,0}     22    1
21   1110     7     8  0.026428  {0,3,0}     38    0
100  1111   163   168  0.885979  {1,1,0}     26    1
81   1124    83    85  0.619833  {0,2,0}     20    1
31   1128    86    87  0.543954  {0,1,0}     36    0
114  1137    83    85  0.572121  {0,1,0}     31    0
29   1149   180   181  0.564157  {0,2,0}     28    0
115  1153   123   124  0.837867  {0,2,0}     28    1
72   1156    62    63  0.938946  {0,1,0}     30    0
125  1156   245   246  0.012811  {0,0,1}     39    1
62   1164    98   130  0.893906  {0,1,1}     27    0
118  1173   204   209  0.277676  {0,2,0}     26    1
30   1178    12    16  0.007517  {1,0,0}     37    1
111  1185   169   173  0.188915  {0,1,0}     37    0
18   1194   156   162  0.781268  {0,1,1}     21    1
1    1197    34    41  0.626091  {0,1,1}     37    1
10   1219    90    95  0.127199  {1,1,0}     36    1
43   1229   134   146  0.946366  {0,1,0}     38    0
69   1233   228   230  0.811243  {0,1,0}     30    1
122  1237   102   103  0.356100  {0,1,1}     28    1
39   1239   140   141  0.055209  {0,1,0}     29    0
0    1249    17    19  0.247281  {0,2,0}     27    1
113  1285    56    57  0.384073  {0,2,0}     26    1
44   1305    19    25  0.945301  {0,0,1}     20    0
119  1309   180   181  0.795784  {1,0,0}     38    1
47   1320   111   112  0.253457  {1,0,0}     26    1
107  1324   147   148  0.696424  {0,1,0}     28    0
120  1335   118   119  0.000649  {1,0,0}     27    1
11   1346    69    78  0.395790  {0,3,0}     40    1
7    1358   207   209  0.234513  {1,0,0}     27    1
16   1427   131   132  0.575747  {0,1,0}     35    1
