map EGL-G1-B
fac 5 10 {0,107,240,118,223}
hosp 2 {0,131}
n_ALS 5 1 {1:0,2:107,2:223}
n_BLS 22 1 {7:0,3:107,3:240,6:118,3:223}
n_CLS 7 0 {1:0,2:240,2:118,2:223}
      c_m  head  tail      c_af      c_d  c_tau  c_h
78      1   125   126  0.917196  {0,2,0}     23    0
21     11   177   178  0.909960  {1,0,0}     23    1
117    14   116   117  0.184032  {0,1,1}     25    1
97     24    56    57  0.662055  {1,3,0}     22    1
92     25    97   126  0.682363  {0,2,0}     28    0
4      37    23   229  0.638632  {1,0,0}     31    1
116    80   195   196  0.249787  {1,0,0}     21    1
50    107    56    57  0.375800  {0,3,0}     35    1
87    118   244   248  0.340362  {0,1,0}     38    0
22    156   219   220  0.313071  {1,0,0}     24    1
74    180   100   111  0.326130  {0,1,1}     40    1
88    199    80    81  0.675391  {1,1,0}     40    1
96    231    89    91  0.484083  {1,0,0}     38    1
110   255   135   145  0.349851  {0,1,1}     39    0
55    269   136   137  0.454109  {1,0,0}     25    1
101   295   127   138  0.458083  {0,1,0}     36    0
56    316    22    24  0.458458  {0,1,0}     39    1
95    335    17    22  0.958364  {0,2,0}     35    1
44    358    25    26  0.301276  {1,2,0}     21    1
34    365   178   182  0.796047  {0,2,0}     32    1
112   428   163   164  0.156937  {0,1,0}     33    0
27    454   228   230  0.784573  {1,1,0}     20    1
46    464     4     5  0.074752  {1,0,0}     23    0
40    486    36    38  0.071221  {0,2,0}     37    0
57    491   199   201  0.312294  {1,1,0}     28    1
100   493   144   145  0.683905  {0,2,0}     32    1
9     512   115   116  0.633405  {0,1,0}     36    0
17    529    75    77  0.740207  {1,1,0}     37    1
122   541    57    61  0.048019  {0,1,0}     29    1
104   541    10    41  0.352648  {0,2,0}     36    0
23    545   100   101  0.570661  {0,2,0}     40    0
120   556     5    23  0.793854  {0,1,0}     32    1
118   574    78    79  0.531151  {0,3,0}     37    1
68    593    41    51  0.996005  {1,0,0}     30    1
3     612    65    66  0.537073  {0,3,0}     24    1
60    612   199   202  0.812976  {0,2,0}     31    0
32    618   193   194  0.779351  {0,2,0}     37    1
86    624     8    33  0.006053  {0,1,0}     32    1
33    634   120   121  0.989995  {1,1,0}     21    1
43    646   175   176  0.265064  {0,3,0}     33    1
45    651   170   171  0.112376  {0,0,1}     29    1
64    663   238   240  0.003574  {0,2,0}     31    1
115   677   149   150  0.480402  {0,1,0}     37    1
109   677   158   159  0.691682  {1,1,0}     28    1
71    680   112   114  0.978060  {0,2,0}     21    0
83    685   128   137  0.291118  {0,1,0}     20    1
47    696     1     2  0.114468  {1,1,0}     36    1
31    701   225   248  0.502138  {0,2,0}     29    1
10    703   190   191  0.662896  {0,2,0}     22    1
30    705   103   104  0.221876  {0,0,1}     21    1
91    708    51    52  0.047494  {0,1,0}     23    1
29    709   207   209  0.310028  {0,3,0}     36    1
15    714   132   134  0.142672  {1,0,0}     31    1
108   724   142   143  0.445922  {0,1,0}     33    1
51    726   245   246  0.367177  {0,1,0}     38    0
5     734    72    73  0.944388  {0,2,0}     36    1
54    735    39    72  0.505708  {1,0,0}     34    1
63    736    36    38  0.753125  {0,2,0}     23    0
125   738     8     9  0.785340  {0,2,0}     39    0
66    741   155   161  0.918869  {1,0,0}     29    1
94    756    51    52  0.441636  {0,3,0}     26    1
76    760   240   241  0.643425  {0,3,0}     34    0
61    762   202   204  0.128198  {0,1,0}     20    1
1     766   166   167  0.359907  {0,1,0}     23    1
98    767   128   129  0.379554  {0,0,1}     23    1
6     784   174   176  0.321933  {0,2,0}     32    1
99    796   103   104  0.252484  {0,1,1}     23    1
80    816   206   207  0.004594  {1,1,0}     38    1
93    817    15    17  0.353552  {0,0,1}     40    1
79    820    32    33  0.664150  {1,1,0}     34    1
107   828   116   120  0.107644  {1,0,0}     22    1
24    833    83    85  0.923167  {0,1,0}     34    1
39    841   106   107  0.412601  {0,3,0}     36    0
62    857   101   102  0.220057  {1,1,0}     24    1
113   862    22    24  0.912471  {0,1,0}     26    0
124   879    65    66  0.503431  {0,2,0}     25    1
48    900    92    93  0.890033  {0,1,0}     34    0
37    903   190   192  0.910367  {1,0,0}     21    1
42    907    17    19  0.218342  {1,0,0}     26    1
127   914   130   131  0.036706  {0,3,0}     35    1
114   927   199   201  0.325229  {1,0,0}     29    0
58    929   116   117  0.593479  {1,1,0}     23    0
