map EGL-G1-B
fac 5 10 {0,185,22,145,14}
hosp 2 {0,28}
n_ALS 6 1 {1:185,1:22,3:145,1:14}
n_BLS 24 1 {8:0,1:185,2:22,6:145,7:14}
n_CLS 5 0 {3:185,1:22,1:14}
      c_m  head  tail      c_af      c_d  c_tau  c_h
124    10   242   243  0.687482  {0,3,0}     35    1
105    16     5    23  0.095076  {1,1,0}     37    1
89     92    23   229  0.506428  {1,0,0}     35    1
98    172    32    33  0.061453  {0,1,0}     21    0
90    202   124   149  0.617394  {1,1,0}     26    0
95    204   226   231  0.756981  {1,3,0}     26    1
10    211     1     2  0.010796  {0,3,0}     31    0
87    212    36    39  0.642147  {1,0,0}     40    1
32    236     5     6  0.581824  {1,2,0}     37    1
109   259   223   224  0.552248  {0,3,0}     26    1
63    292   129   130  0.211813  {1,0,0}     27    1
53    309    19    25  0.756390  {0,2,0}     28    1
40    369   174   175  0.521100  {0,2,0}     25    1
48    405   116   118  0.886126  {0,1,1}     39    1
11    429   135   136  0.416597  {0,0,1}     27    1
119   439   125   149  0.619853  {0,0,1}     34    1
127   441   144   147  0.903249  {0,1,0}     22    1
12    442     0     1  0.523382  {1,1,0}     22    0
103   445    55    56  0.605310  {1,1,0}     31    1
35    449   142   143  0.181471  {0,2,0}     30    1
72    455    66    68  0.546467  {0,1,0}     35    0
101   467    69    70  0.732024  {1,1,0}     26    0
88    498   210   211  0.330740  {0,2,0}     34    0
0     508    17    22  0.728931  {0,2,0}     28    1
118   514     3    23  0.345953  {0,1,0}     23    0
31    516   196   197  0.618864  {1,1,0}     27    1
125   518   223   224  0.985181  {1,0,0}     38    1
113   528    92    93  0.566356  {1,1,0}     32    1
9     528     5     6  0.936481  {1,1,0}     20    1
85    534   165   166  0.341989  {0,2,0}     37    0
16    543    88    89  0.985135  {0,2,0}     27    1
6     543   106   107  0.892723  {0,1,0}     33    0
8     550   162   167  0.245030  {0,0,1}     38    1
108   558    28    29  0.426600  {0,3,0}     22    1
100   570   176   179  0.423057  {1,0,0}     34    1
92    577     3    23  0.237104  {0,3,0}     29    0
14    584   225   248  0.057857  {1,0,0}     39    1
79    594   231   232  0.737509  {1,1,0}     30    0
121   594    70    72  0.899065  {0,1,0}     31    1
37    605    24    26  0.535162  {0,1,0}     30    1
82    614   167   175  0.133057  {0,2,0}     39    0
71    621   213   216  0.254066  {0,1,1}     23    1
104   627   103   104  0.226014  {0,0,1}     38    0
52    628   245   246  0.575321  {1,1,0}     21    1
57    649   174   176  0.488812  {1,1,0}     20    1
38    649   163   164  0.431545  {0,2,0}     23    1
49    650   176   180  0.497086  {0,3,0}     20    1
21    669   234   236  0.241013  {0,1,0}     32    0
27    707   135   136  0.803828  {0,3,0}     24    0
102   716   196   197  0.982339  {0,1,0}     31    1
5     722   220   222  0.113252  {0,1,0}     22    1
2     725    83    84  0.659157  {1,1,0}     25    1
96    727   129   136  0.870676  {0,1,0}     34    1
78    733   132   134  0.065597  {0,1,0}     23    0
41    737    18    19  0.625762  {1,0,0}     25    1
1     754   158   159  0.676260  {0,1,1}     20    0
13    767   102   110  0.760706  {0,2,0}     20    1
77    776   104   105  0.771201  {1,0,0}     35    1
54    783   126   127  0.640984  {1,0,0}     34    1
60    788    86    87  0.386609  {0,3,0}     33    1
22    793    50    52  0.602619  {0,1,0}     32    0
65    806    31    38  0.376280  {0,1,1}     35    1
25    807    49    56  0.746127  {0,2,0}     37    1
19    816    27    30  0.634547  {0,2,0}     36    0
81    819   216   217  0.119008  {0,1,0}     23    1
3     823   158   159  0.507280  {0,2,0}     29    1
106   844   226   227  0.303275  {0,1,1}     29    0
30    853    12    16  0.076722  {0,2,0}     27    1
43    855   123   124  0.467100  {0,1,0}     36    1
66    856     6    27  0.161496  {0,3,0}     34    0
34    856   124   149  0.935029  {0,1,0}     30    0
111   857   128   129  0.587994  {0,0,1}     40    1
80    857    67    68  0.210929  {1,1,0}     30    1
44    864    31    32  0.468149  {0,1,0}     21    1
122   868   180   181  0.018701  {0,2,0}     31    1
74    869   119   169  0.436584  {1,1,0}     29    1
69    896   246   247  0.027084  {0,0,1}     32    0
