map EGL-G1-C
fac 5 10 {0,193,13,116,108}
hosp 1 {0}
n_ALS 6 1 {2:193,4:116}
n_BLS 16 1 {4:193,6:116,6:108}
n_CLS 8 0 {3:0,1:193,2:13,2:108}
      c_m  head  tail      c_af      c_d  c_tau  c_h
35     14     6     7  0.702220  {0,3,0}     39    1
72     35   125   126  0.780072  {1,1,0}     29    1
85     38   227   228  0.044315  {0,2,0}     32    1
30     38   243   244  0.600294  {1,0,0}     20    1
115    63    88    96  0.148059  {0,3,0}     28    0
65     68   129   130  0.196310  {0,2,0}     36    1
11     77   135   136  0.747170  {0,3,0}     38    1
19    112     2     3  0.748007  {0,2,0}     23    0
124   125   142   143  0.317388  {0,3,0}     34    1
112   125    17    22  0.602983  {0,3,0}     23    1
34    141   190   191  0.311170  {1,0,0}     38    1
111   154    49    50  0.375317  {1,0,0}     21    1
107   164   165   177  0.407052  {0,1,0}     31    1
81    196   140   149  0.233951  {1,0,0}     24    1
20    196    39    72  0.246649  {0,0,1}     22    1
70    209    48    49  0.208889  {0,2,0}     33    0
14    252   155   161  0.201987  {0,1,0}     28    1
49    303   141   142  0.834377  {0,1,0}     23    0
98    306   245   246  0.062373  {0,1,0}     39    1
116   335    53    55  0.087326  {0,2,0}     30    1
109   347   196   197  0.585661  {1,2,0}     27    1
29    351   163   164  0.060352  {0,3,0}     32    0
1     380   115   122  0.294397  {0,1,0}     26    0
2     400   162   167  0.011068  {1,1,0}     24    1
91    412   171   172  0.250931  {1,1,0}     29    1
23    425     4     5  0.106473  {0,3,0}     24    1
25    456    53    54  0.112051  {1,1,0}     30    1
118   458   131   132  0.033090  {0,3,0}     40    0
3     465   142   143  0.300408  {0,1,1}     24    0
12    487   141   142  0.393842  {1,1,0}     34    1
18    500   135   145  0.082036  {0,1,0}     26    1
13    505   185   186  0.091736  {0,2,0}     21    0
108   510    91    92  0.350536  {0,0,1}     22    1
100   511   128   129  0.956262  {0,0,1}     23    1
53    515    88    96  0.771832  {0,2,0}     26    1
73    519     4     5  0.265374  {0,1,0}     23    1
57    525    80    81  0.085846  {1,0,0}     35    1
106   551   123   124  0.482092  {0,2,0}     35    1
60    552    65    92  0.719799  {0,1,0}     27    1
119   560   105   117  0.875301  {0,1,0}     34    1
84    569   194   195  0.960494  {0,1,1}     26    0
67    572   144   147  0.427403  {0,1,0}     29    1
6     577    12    16  0.978788  {0,1,0}     21    1
125   578    42    43  0.651803  {1,1,0}     31    1
71    602   135   145  0.083107  {0,1,0}     37    1
77    605    28    29  0.064319  {0,0,1}     25    1
38    605   231   232  0.909271  {1,0,0}     33    1
41    607   238   239  0.685636  {1,0,0}     35    1
87    608   102   103  0.662313  {0,2,0}     22    1
51    631    59    71  0.948432  {0,1,1}     28    0
64    634    95    97  0.805509  {1,0,0}     24    1
76    670   229   230  0.211095  {0,3,0}     36    1
9     671    79    80  0.410214  {0,2,0}     25    0
104   674    46    47  0.669848  {0,1,0}     39    0
26    685   226   231  0.968956  {0,1,0}     22    1
126   689    23   170  0.338275  {0,3,0}     30    1
93    696   157   158  0.978060  {0,1,0}     21    0
24    703    73    74  0.599243  {0,1,0}     24    1
5     709   111   112  0.311138  {0,1,0}     29    0
80    715   175   176  0.778840  {0,2,0}     32    0
123   724   154   155  0.636016  {1,0,0}     23    1
