map EGL-G1-C
fac 5 10 {0,157,31,98,73}
hosp 1 {0}
n_ALS 5 1 {3:0,2:31}
n_BLS 23 1 {4:0,6:157,7:31,6:98}
n_CLS 5 0 {1:0,2:98,2:73}
      c_m  head  tail      c_af      c_d  c_tau  c_h
3      17   125   149  0.400743  {1,1,0}     33    1
78     42   167   175  0.124004  {0,0,1}     26    1
17     73    80    81  0.021782  {0,1,0}     37    0
42    128   161   162  0.073002  {0,1,0}     33    1
23    133    32    34  0.014752  {0,1,1}     27    0
77    135   192   193  0.232204  {1,3,0}     31    1
5     148     0     1  0.849169  {1,3,0}     21    1
102   170    96    97  0.959807  {0,3,0}     30    1
14    188   240   242  0.775660  {0,3,0}     22    0
39    203   154   155  0.476368  {0,1,0}     40    1
70    233   178   179  0.844430  {0,2,0}     32    1
31    264    65    91  0.122717  {0,2,0}     40    1
103   278   169   173  0.919434  {1,0,0}     38    1
65    290    75    77  0.168287  {0,2,0}     24    1
32    303    43    45  0.469193  {0,3,0}     28    1
106   305   225   227  0.981395  {1,1,0}     26    1
120   330   152   153  0.413909  {1,1,0}     33    1
16    374   162   166  0.994812  {1,1,0}     21    1
94    385   244   248  0.714290  {0,0,1}     34    1
125   391   105   107  0.474402  {1,1,0}     40    1
112   397    29    31  0.501913  {0,0,1}     33    1
110   401    66    68  0.915739  {0,1,0}     25    1
35    426    55    56  0.009850  {0,1,1}     36    1
44    429   246   247  0.855903  {0,1,0}     31    1
49    439    98   131  0.564009  {0,0,1}     26    1
19    455   149   150  0.275207  {0,3,0}     33    0
18    485    39    52  0.069810  {1,1,0}     23    1
10    502   219   221  0.658301  {1,1,0}     20    1
90    503    55    56  0.593437  {0,1,0}     25    0
83    507   103   113  0.238499  {0,1,0}     20    0
73    532    26    28  0.579094  {0,0,1}     38    1
21    543    66    67  0.130126  {0,1,0}     30    0
123   553   153   156  0.204132  {1,2,0}     32    1
99    554    98   131  0.565151  {0,1,0}     20    1
29    557    72    73  0.738392  {0,1,0}     36    1
80    570     7    30  0.011831  {0,2,0}     32    1
57    580   242   243  0.114812  {1,1,0}     27    1
121   582     5     6  0.332975  {1,1,0}     31    1
88    590   225   226  0.580711  {0,0,1}     28    1
74    596   150   152  0.669979  {0,1,0}     38    1
71    600   118   119  0.365600  {0,0,1}     22    0
20    605    42    43  0.821768  {0,2,0}     21    1
53    615   229   230  0.295005  {0,1,0}     22    1
100   615    46    47  0.957292  {1,2,0}     22    1
36    616   178   183  0.570805  {1,1,0}     30    1
7     640    14    15  0.391096  {0,0,1}     30    0
47    641    94    95  0.208518  {0,1,0}     22    1
81    645   228   230  0.274321  {0,3,0}     35    0
84    648   189   190  0.718054  {1,0,0}     34    0
13    659   204   209  0.712811  {1,0,0}     20    1
1     664   147   148  0.473889  {1,0,0}     30    0
