map EGL-G1-C
fac 5 10 {0,165,100,51,86}
hosp 2 {0,129}
n_ALS 7 1 {1:165,3:51,3:86}
n_BLS 21 1 {5:165,4:100,5:51,7:86}
n_CLS 10 0 {4:165,5:100,1:51}
      c_m  head  tail      c_af      c_d  c_tau  c_h
87      0   237   240  0.890016  {0,2,0}     34    1
47     12   241   242  0.256049  {1,1,0}     28    1
11     20    49    50  0.799758  {0,3,0}     40    1
86     42   100   101  0.139625  {0,1,0}     35    0
93     42   103   113  0.385933  {0,2,0}     29    1
49     63    60    67  0.412434  {0,1,1}     20    0
104    70   135   145  0.276171  {1,1,0}     34    1
46     70   165   177  0.873383  {0,2,0}     21    1
88     76   195   197  0.431677  {1,1,0}     37    1
5     111   153   157  0.192838  {1,0,0}     22    1
83    115   125   126  0.901657  {0,2,0}     20    1
96    204   164   165  0.775724  {1,0,0}     24    1
55    245    59    71  0.898697  {1,1,0}     23    1
52    269   117   118  0.315312  {1,0,0}     33    1
112   283    88    89  0.875396  {1,1,0}     20    1
61    295    46    47  0.211424  {1,1,0}     40    1
56    306   120   121  0.835699  {0,3,0}     36    1
60    307   121   122  0.265490  {0,3,0}     37    1
90    393   163   168  0.772122  {1,0,0}     25    1
107   411   127   138  0.483873  {1,1,0}     35    1
3     445   237   240  0.787783  {0,1,0}     25    1
109   446   128   137  0.178572  {1,0,0}     23    1
27    468   108   109  0.371540  {0,1,1}     37    1
72    483    83    84  0.101514  {1,0,0}     22    1
7     521    43    44  0.171243  {1,0,0}     33    1
38    540    81    82  0.091947  {1,0,0}     28    1
99    561   162   167  0.300458  {0,1,0}     26    0
123   566   190   191  0.586289  {0,2,0}     24    1
122   573   107   108  0.511543  {0,1,0}     32    1
22    574    71    72  0.551183  {0,2,0}     34    1
2     575   129   130  0.589652  {0,1,0}     25    1
21    585    23   149  0.442564  {0,1,0}     32    1
78    588   125   126  0.163187  {0,1,0}     33    1
71    590    98   131  0.680890  {0,1,0}     34    1
23    599   174   176  0.318430  {1,1,0}     30    1
67    606    40    41  0.694523  {0,2,0}     23    1
42    607   199   201  0.722144  {1,0,0}     29    0
25    610   195   197  0.922018  {0,3,0}     26    1
68    613    25    26  0.351485  {1,0,0}     30    1
101   630    15    17  0.485997  {1,1,0}     33    1
26    631    70    71  0.213571  {0,2,0}     25    1
18    636   138   139  0.302815  {0,3,0}     25    1
4     645    42    43  0.472835  {1,0,0}     24    1
73    653    18    20  0.786129  {1,3,0}     26    1
17    666   127   128  0.257978  {1,0,0}     24    1
120   694   115   116  0.880136  {0,2,0}     22    1
6     694    92    93  0.888026  {1,0,0}     27    1
28    696    48    49  0.573649  {0,1,0}     33    0
103   709    95    97  0.105944  {0,2,0}     30    0
44    716    67    68  0.782516  {0,1,0}     38    0
35    724   116   120  0.609463  {0,3,0}     27    0
114   732     5    26  0.825909  {1,0,0}     26    1
70    737   191   193  0.794178  {0,2,0}     40    1
33    740   178   183  0.567112  {0,2,0}     22    0
30    769   202   204  0.892608  {1,1,0}     39    1
100   778     6     7  0.442137  {0,2,0}     31    1
50    793    73    75  0.167970  {0,3,0}     28    0
92    801   127   128  0.604528  {1,0,0}     20    1
14    802    20    21  0.339299  {1,1,0}     30    1
13    803   228   229  0.024776  {1,1,0}     33    1
