map EGL-G1-C
fac 5 10 {0,79,216,177,244}
hosp 2 {0,73}
n_ALS 9 1 {2:0,2:79,2:216,2:177,1:244}
n_BLS 24 1 {6:79,7:216,6:177,5:244}
n_CLS 7 0 {2:0,2:177,3:244}
      c_m  head  tail      c_af      c_d  c_tau  c_h
39     23    43    44  0.690299  {1,1,0}     37    1
23     70   226   231  0.600149  {0,2,0}     40    1
95     86   244   248  0.090136  {0,3,0}     31    0
25     87   115   116  0.540919  {1,1,0}     36    1
57    120   120   154  0.317602  {1,0,0}     33    1
104   196    96    97  0.005252  {0,1,0}     20    1
113   233   242   245  0.145188  {1,1,0}     37    1
48    254     3    15  0.778393  {1,0,0}     30    1
10    291     3    23  0.321650  {0,1,1}     28    0
82    400    23   229  0.036841  {0,1,1}     36    1
46    405   147   148  0.613064  {0,1,0}     28    0
124   406   245   246  0.985470  {0,3,0}     34    1
92    437   226   231  0.078527  {0,1,0}     34    1
98    440   195   196  0.132683  {0,1,0}     23    0
41    454   240   242  0.764970  {0,3,0}     29    1
0     458     2    14  0.515816  {0,2,0}     31    0
52    463    66    68  0.135295  {0,3,0}     26    1
55    466    45    64  0.543354  {0,2,0}     24    0
125   468   121   123  0.270677  {0,2,0}     29    0
37    471   244   245  0.289439  {0,1,0}     22    1
111   479   191   194  0.491556  {0,1,0}     36    1
7     481    54    58  0.886692  {1,0,0}     31    1
121   484   145   146  0.282297  {1,1,0}     38    1
97    486   184   185  0.172391  {0,1,0}     25    0
72    495     5     6  0.946343  {1,1,0}     23    1
5     504   119   169  0.546381  {0,2,0}     30    0
74    508   198   200  0.099910  {0,1,0}     29    0
81    514   195   196  0.467368  {0,1,0}     29    0
76    515     3     4  0.031634  {0,2,0}     32    1
32    526   219   221  0.919855  {0,3,0}     39    0
62    533   103   104  0.103078  {1,3,0}     36    1
65    537   137   138  0.490517  {0,2,0}     38    1
122   559   226   231  0.474572  {0,2,0}     29    1
117   569    89    91  0.390082  {0,2,0}     25    0
30    594    71    72  0.619884  {0,3,0}     27    1
109   595    12    13  0.248252  {1,1,0}     27    1
126   608    73    75  0.727870  {0,2,0}     33    1
101   613   204   209  0.946978  {0,1,0}     22    1
56    616   203   210  0.357612  {0,3,0}     36    1
75    620   150   152  0.978385  {0,2,0}     34    1
88    627     7    30  0.261459  {0,1,0}     36    0
90    627   106   108  0.929648  {0,3,0}     26    0
123   629   226   227  0.993787  {0,2,0}     21    1
79    646   203   210  0.732528  {1,0,0}     30    1
42    652   158   159  0.854111  {0,1,0}     25    1
9     665   151   152  0.129718  {0,1,0}     28    1
100   667   139   141  0.137094  {1,0,0}     37    0
69    690   244   249  0.625888  {0,2,0}     28    1
119   699   192   193  0.744745  {0,0,1}     25    0
49    701   128   137  0.907100  {1,1,0}     21    1
16    708   120   154  0.106602  {0,0,1}     28    1
67    709   231   232  0.639697  {1,1,0}     34    1
58    709   157   159  0.765495  {0,0,1}     34    0
77    718   211   213  0.711914  {0,2,0}     24    0
44    721    10    11  0.523933  {1,0,0}     28    1
29    734   185   186  0.108073  {0,3,0}     26    1
31    740   131   132  0.137806  {0,2,0}     27    1
89    749    47    48  0.839186  {0,3,0}     32    1
94    750    95    97  0.513735  {0,1,1}     36    1
40    754   100   111  0.115701  {1,3,0}     31    1
47    767    43    44  0.718051  {0,3,0}     30    0
83    788   124   125  0.801238  {0,2,0}     29    1
116   796    67    68  0.317603  {0,2,0}     22    1
19    798    70    72  0.413257  {1,0,0}     36    1
51    799    50    53  0.159487  {1,0,0}     38    1
110   813    22    24  0.094189  {0,3,0}     40    0
63    832    12    16  0.637156  {1,2,0}     31    1
45    839    14    15  0.920204  {0,3,0}     35    1
115   853   238   239  0.716655  {0,0,1}     21    1
43    879   106   108  0.472332  {1,0,0}     29    1
24    891   193   194  0.640471  {0,0,1}     38    1
106   896   119   161  0.412108  {0,2,0}     29    0
85    917    58    59  0.450770  {1,0,0}     36    1
14    924   131   132  0.372703  {0,2,0}     21    0
120   928    92    93  0.352484  {1,0,0}     23    1
61    937     1    12  0.646484  {0,3,0}     36    1
68    938     6    27  0.169478  {0,3,0}     26    0
118   945   188   189  0.726568  {1,0,0}     39    1
112   945   134   146  0.655506  {0,2,0}     38    0
13    949    39    72  0.476168  {0,2,0}     35    0
91    950   110   113  0.099626  {0,2,0}     21    1
33    953    16    18  0.601401  {0,3,0}     23    0
50    953   212   243  0.110661  {1,0,0}     21    1
108   954   151   154  0.898955  {1,1,0}     30    1
4     957   127   138  0.355246  {1,0,0}     23    1
70    970   177   178  0.967666  {0,2,0}     28    0
78    985    28    29  0.022967  {1,0,0}     26    1
80    997   165   177  0.546573  {0,1,0}     33    1
21   1012   101   110  0.914921  {0,2,0}     26    1
3    1022    19    25  0.865746  {0,2,0}     37    1
11   1033   206   207  0.648822  {0,2,0}     39    1
17   1039   115   122  0.453996  {1,0,0}     38    1
59   1039     9    34  0.222554  {1,0,0}     33    1
86   1042   170   171  0.666638  {0,1,1}     26    1
127  1047    90    95  0.055368  {0,0,1}     26    0
93   1049   212   218  0.917072  {0,3,0}     32    1
71   1050    51    52  0.419684  {0,1,0}     32    1
2    1079   156   162  0.643195  {0,1,1}     37    1
6    1082   229   230  0.682861  {0,2,0}     27    1
73   1082   184   185  0.765747  {1,0,0}     20    1
53   1111   242   243  0.610370  {0,3,0}     40    1
99   1115   135   136  0.365057  {0,1,0}     25    0
36   1119   129   130  0.038603  {0,3,0}     26    1
96   1122    77    81  0.882337  {1,0,0}     28    0
114  1125    24    25  0.295717  {0,2,0}     28    1
27   1129    16    17  0.748947  {1,0,0}     26    1
26   1143   210   212  0.665576  {1,0,0}     29    1
38   1161   231   232  0.956973  {0,1,1}     21    0
34   1168   207   209  0.721052  {1,0,0}     30    1
35   1179   238   239  0.894074  {0,1,0}     24    0
54   1180   240   242  0.041190  {0,3,0}     33    1
20   1193    48    49  0.849916  {1,1,0}     32    1
60   1201   232   233  0.023167  {0,2,0}     40    0
18   1201    89    90  0.439611  {0,2,0}     34    0
1    1206   184   185  0.252265  {0,1,1}     35    0
8    1230   111   112  0.736121  {1,1,0}     36    1
64   1274    12    16  0.450286  {1,1,0}     35    1
107  1277     3    23  0.893363  {0,1,1}     25    0
22   1283   213   216  0.453961  {1,1,0}     32    0
103  1286    69    78  0.393601  {1,1,0}     37    1
15   1305   118   119  0.622520  {0,3,0}     21    1
105  1305   240   241  0.531223  {1,1,0}     32    1
87   1335    45    64  0.086525  {0,1,0}     34    0
28   1381   134   146  0.887605  {1,0,0}     28    1
12   1385     3     4  0.245732  {1,1,0}     38    1
66   1388   106   108  0.724682  {0,1,1}     37    1
102  1416     0     1  0.477942  {0,1,0}     29    1
84   1429    37    74  0.214347  {0,1,0}     29    1
