map EGL-G1-C
fac 5 10 {0,199,245,158,230}
hosp 1 {0}
n_ALS 9 1 {1:0,2:245,2:158,4:230}
n_BLS 18 1 {5:0,3:199,3:245,4:158,3:230}
n_CLS 9 0 {2:0,4:245,3:230}
      c_m  head  tail      c_af      c_d  c_tau  c_h
88      3   118   119  0.731862  {0,2,0}     35    1
65     46   174   176  0.668603  {1,1,0}     20    0
100    48    70    71  0.866527  {1,1,0}     22    1
92     90   177   178  0.909278  {0,3,0}     37    1
76    107   165   174  0.890065  {0,2,0}     23    1
19    115    42    43  0.712415  {1,1,0}     20    1
27    117    39    40  0.192956  {1,3,0}     35    1
28    126   242   245  0.553478  {0,2,0}     35    1
0     134   232   234  0.868269  {0,2,0}     32    0
49    138   134   135  0.671382  {1,0,0}     22    1
113   146   125   126  0.969882  {1,0,0}     38    1
4     151   111   112  0.516992  {0,2,0}     21    1
29    156    98   131  0.675006  {1,1,0}     25    1
103   170    35    36  0.860184  {0,1,1}     23    1
3     179   102   103  0.517710  {0,2,0}     34    1
23    207   202   203  0.616517  {0,3,0}     35    1
105   210   121   122  0.016472  {1,0,0}     24    1
121   222     2    14  0.481170  {0,3,0}     24    1
91    243   129   130  0.865677  {1,0,0}     29    1
115   277    25    26  0.930264  {0,3,0}     29    1
124   287    59    71  0.340917  {0,1,0}     31    0
20    305   150   152  0.129047  {1,2,0}     30    1
17    312   177   178  0.358836  {1,1,0}     22    1
66    338    98   131  0.744475  {0,2,0}     37    1
40    431   189   241  0.387265  {1,0,0}     33    1
63    455   238   239  0.295403  {0,2,0}     32    1
2     464   114   115  0.494561  {0,2,0}     40    0
122   465   140   149  0.428541  {0,1,0}     31    1
90    478    19    25  0.596829  {0,2,0}     39    1
7     489   204   209  0.209902  {0,1,1}     24    0
55    500    37    74  0.914172  {1,1,0}     20    1
44    507   155   156  0.404406  {1,0,0}     26    1
80    522   104   106  0.388209  {1,0,0}     24    1
72    529    20    21  0.793542  {0,1,0}     25    1
78    531    96   111  0.652434  {0,1,0}     32    1
33    542   174   175  0.329652  {0,1,0}     20    1
86    543   135   145  0.132774  {1,0,0}     32    1
5     549    57    61  0.441735  {1,3,0}     36    1
41    574    10    41  0.206415  {0,2,0}     26    1
18    577   237   238  0.140622  {0,2,0}     32    0
112   579     7     8  0.562579  {0,2,0}     27    0
25    582   165   174  0.531069  {0,1,0}     33    1
93    591   227   228  0.122045  {0,1,0}     38    0
10    596   129   130  0.518802  {0,2,0}     38    0
117   598    13    14  0.007908  {0,2,0}     24    1
52    600   242   243  0.112069  {1,0,0}     38    0
31    604   153   157  0.174095  {0,3,0}     29    0
16    609   121   122  0.430739  {0,2,0}     20    1
60    621    37    74  0.369564  {0,2,0}     35    1
56    631   165   166  0.417011  {1,3,0}     32    1
54    648    43    46  0.426693  {0,1,0}     35    1
83    648   190   191  0.017205  {0,1,0}     23    1
46    654   147   148  0.495786  {1,1,0}     20    1
14    665    12    16  0.991407  {1,1,0}     25    1
114   668   156   162  0.141139  {0,1,0}     27    1
81    671    85    86  0.146816  {0,3,0}     28    1
37    674   213   216  0.964589  {0,3,0}     23    0
96    680    67    68  0.798455  {1,1,0}     40    1
82    721    23   170  0.741777  {1,3,0}     28    1
97    721    48    57  0.795153  {0,1,0}     20    0
8     728   153   156  0.645600  {0,1,0}     30    1
74    731   175   176  0.154747  {1,1,0}     35    1
61    731   223   224  0.225299  {0,2,0}     25    0
84    754   154   155  0.426813  {0,0,1}     40    1
89    784    17    22  0.212415  {0,2,0}     35    1
