map EGL-G1-C
fac 5 10 {0,77,12,212,207}
hosp 2 {0,23}
n_ALS 8 1 {1:0,2:77,1:12,3:212,1:207}
n_BLS 25 1 {8:0,2:77,7:12,3:212,5:207}
n_CLS 8 0 {3:77,2:12,3:207}
      c_m  head  tail      c_af      c_d  c_tau  c_h
10      1    17    22  0.249643  {0,2,0}     22    1
49      3   101   110  0.016825  {0,2,0}     27    1
25     15   198   200  0.561592  {1,1,0}     30    1
24     56   165   166  0.059988  {0,2,0}     23    1
76     71   211   212  0.683516  {1,1,0}     29    0
100   116   228   229  0.722434  {0,1,0}     40    0
108   137   212   243  0.193322  {0,2,0}     23    0
22    137   120   121  0.111471  {0,3,0}     28    1
3     255   153   156  0.094401  {0,2,0}     37    1
32    294   219   221  0.174024  {0,1,0}     35    0
33    310   188   189  0.079450  {1,1,0}     29    1
74    337   225   226  0.691955  {1,1,0}     38    1
12    339   123   124  0.328275  {0,1,0}     37    0
110   374    96   111  0.331015  {1,0,0}     38    1
114   384   146   147  0.669033  {0,3,0}     24    0
8     402    65    91  0.890728  {0,3,0}     28    1
57    436    20    21  0.346579  {0,1,0}     29    0
43    439    73    74  0.756940  {0,2,0}     23    1
70    442   102   110  0.312299  {1,0,0}     28    1
14    477    36    38  0.285534  {0,3,0}     38    1
98    492   152   153  0.489081  {0,1,0}     25    1
80    495   222   223  0.525990  {0,3,0}     40    1
105   501   229   230  0.421789  {0,2,0}     38    1
62    502   185   192  0.765669  {1,1,0}     35    1
96    548   112   114  0.234646  {1,0,0}     28    1
79    550   242   245  0.978532  {1,1,0}     28    1
123   556   167   175  0.081083  {0,2,0}     31    1
94    558   112   114  0.782890  {0,1,1}     34    1
68    562   226   227  0.313300  {1,0,0}     32    1
42    565   110   113  0.515925  {1,1,0}     24    1
61    570   193   194  0.586144  {1,1,0}     28    1
91    571   216   217  0.941964  {1,1,0}     35    1
34    579   229   230  0.437606  {1,0,0}     38    1
36    580    12    16  0.107534  {0,1,0}     38    0
121   580   129   130  0.457407  {0,2,0}     35    1
72    586   120   154  0.367764  {1,1,0}     25    1
103   588    43    45  0.909813  {1,1,0}     25    1
122   589    43    45  0.236527  {0,1,0}     29    1
118   593    37    74  0.028283  {1,1,0}     26    1
48    609   102   103  0.815090  {0,2,0}     36    1
52    609    22    24  0.983978  {1,1,0}     27    1
101   614   156   162  0.940493  {0,3,0}     37    0
75    617    69    70  0.482232  {1,0,0}     21    1
87    636   211   212  0.133043  {0,3,0}     30    1
120   648   149   150  0.901048  {0,1,1}     32    1
93    659    86    87  0.700650  {0,2,0}     39    0
89    680    53    54  0.335746  {0,1,1}     24    0
15    684    16    17  0.382698  {0,1,0}     36    0
38    687     9    10  0.423633  {0,1,0}     29    1
60    703    43    46  0.431327  {0,2,0}     26    0
81    705    46    47  0.830706  {1,1,0}     23    1
18    711   171   172  0.260357  {0,3,0}     26    1
30    720   145   146  0.826253  {0,1,0}     26    0
88    722    39    52  0.272760  {0,1,1}     33    0
28    722   142   144  0.358063  {0,1,0}     35    1
1     722   232   234  0.741585  {0,3,0}     35    1
2     747    54    58  0.955232  {0,3,0}     32    1
83    755   129   130  0.592076  {0,1,1}     37    1
64    761   216   217  0.330666  {0,0,1}     39    0
37    767   240   242  0.651251  {1,1,0}     27    1
92    773   151   152  0.187652  {1,1,0}     23    1
82    777    65    92  0.476728  {0,2,0}     24    0
107   780    43    45  0.372991  {0,1,0}     40    0
112   787    35    36  0.779029  {0,0,1}     25    1
6     795    36    37  0.627327  {0,1,1}     30    1
31    795   142   144  0.400226  {0,3,0}     24    1
111   808    18    19  0.132102  {0,2,0}     22    1
102   811    36    39  0.992693  {0,1,0}     31    0
109   832    69    70  0.739848  {0,3,0}     30    0
5     843    58    59  0.175246  {0,1,0}     23    1
113   869    27    28  0.385424  {1,0,0}     40    1
95    869   234   236  0.032784  {0,1,0}     32    1
9     875    16    18  0.188882  {0,1,0}     30    1
59    878   155   161  0.713866  {0,3,0}     39    1
56    879   237   240  0.556099  {0,2,0}     30    1
119   883    36    39  0.711766  {0,1,0}     40    0
117   891    19    25  0.680983  {0,2,0}     36    1
127   893   226   231  0.410393  {0,2,0}     27    1
99    896     6    27  0.104827  {1,1,0}     38    1
53    908    86    87  0.379223  {0,1,0}     40    0
85    909   140   141  0.958494  {0,1,1}     36    1
69    917   104   106  0.917896  {0,3,0}     33    1
115   918   151   154  0.192471  {1,0,0}     31    1
73    925   144   147  0.837198  {0,1,1}     24    1
40    932   177   178  0.638511  {1,1,0}     28    1
39    945   116   117  0.426895  {0,1,0}     23    1
19    950    16    18  0.419458  {0,1,0}     29    0
116   951   157   159  0.103744  {0,3,0}     31    0
