map EGL-G1-D
fac 5 10 {0,185,195,34,20}
hosp 1 {0}
n_ALS 5 1 {1:0,4:20}
n_BLS 20 1 {3:0,6:185,7:34,4:20}
n_CLS 8 0 {3:185,4:195,1:34}
      c_m  head  tail      c_af      c_d  c_tau  c_h
124    16    23   170  0.610212  {0,2,0}     23    1
82     26    77    78  0.733210  {1,2,0}     37    1
76     40    96   111  0.060255  {0,1,0}     37    1
13     46   103   104  0.700528  {0,1,0}     38    1
111    51   240   242  0.182992  {0,2,0}     29    1
91    141   104   106  0.612852  {0,3,0}     27    1
120   199    65    66  0.503943  {1,1,0}     29    1
125   242   137   138  0.277623  {0,3,0}     25    1
56    258   126   127  0.835941  {1,0,0}     38    0
36    259   146   147  0.168899  {0,2,0}     37    1
37    268   173   181  0.733313  {0,1,0}     29    1
10    290   238   239  0.612872  {0,2,0}     29    1
78    319     2    14  0.851774  {0,1,0}     29    1
2     322    39    40  0.586191  {0,1,0}     28    1
25    412    61    62  0.257085  {1,1,0}     24    1
45    420    93    94  0.752364  {1,0,0}     30    1
39    423   142   143  0.781682  {0,1,0}     40    0
65    445   132   133  0.064035  {0,2,0}     28    1
72    452    59    71  0.140857  {0,3,0}     25    1
15    470     4     5  0.547933  {0,1,0}     21    0
47    479   158   159  0.059110  {0,3,0}     25    1
49    501    75    76  0.164683  {0,3,0}     32    1
18    509    13    14  0.748188  {0,3,0}     33    1
53    521    96    97  0.447928  {0,1,0}     39    0
62    525   157   158  0.072316  {0,2,0}     39    1
61    533   228   229  0.617784  {0,3,0}     34    1
29    535    39    52  0.836164  {1,1,0}     39    1
7     539    16    17  0.289263  {1,2,0}     40    1
57    541    69    78  0.388260  {0,1,0}     25    0
34    555    83    84  0.720567  {0,1,0}     38    1
55    562   246   247  0.445204  {0,2,0}     34    1
123   567    73    74  0.297688  {1,1,0}     36    1
107   581   186   187  0.670171  {0,0,1}     37    0
67    582   132   133  0.142429  {0,2,0}     37    1
26    588   121   122  0.272010  {1,1,0}     20    1
81    592    36    38  0.725973  {0,2,0}     37    0
119   592     5     6  0.119352  {0,1,0}     38    1
60    594   244   248  0.127601  {0,2,0}     37    1
50    599    36    39  0.578497  {0,2,0}     21    1
83    609   102   110  0.213136  {1,2,0}     25    1
69    624    27    28  0.978343  {0,3,0}     25    1
58    647   166   167  0.561622  {1,0,0}     34    0
19    647   178   182  0.665262  {1,1,0}     38    1
54    658     6     7  0.233035  {0,3,0}     20    1
118   678   140   149  0.902500  {0,1,0}     35    1
32    678     0     1  0.976996  {0,3,0}     39    1
66    678   169   170  0.949322  {0,2,0}     23    1
104   693    26    28  0.778986  {1,1,0}     30    1
16    705    53    55  0.497332  {1,1,0}     20    1
100   713   129   130  0.577470  {1,0,0}     37    1
20    759    13    14  0.949106  {0,1,0}     30    0
103   772   130   131  0.432805  {1,1,0}     23    1
23    777    19    25  0.318499  {0,1,0}     25    0
51    782   169   170  0.934374  {1,1,0}     32    1
24    784    68    79  0.860279  {0,2,0}     34    0
27    790    37    74  0.479035  {0,3,0}     27    0
79    799   156   162  0.590000  {0,1,0}     29    1
30    806   193   194  0.384659  {0,1,0}     24    0
95    812    96   111  0.050131  {0,1,0}     30    0
42    823    34    41  0.103874  {0,1,0}     21    1
90    826    68    69  0.743751  {0,0,1}     37    1
33    836    81    82  0.472482  {0,2,0}     26    0
80    839    10    41  0.744089  {0,2,0}     30    1
73    841   216   217  0.053372  {0,0,1}     34    1
106   848    80    81  0.830575  {0,1,1}     36    1
98    856    19    25  0.452146  {1,1,0}     40    0
0     864     8     9  0.998459  {1,0,0}     23    1
43    869   204   209  0.476784  {0,1,1}     40    0
114   870    58    59  0.374981  {1,0,0}     39    1
5     883   127   138  0.018086  {1,0,0}     40    1
112   887    98   131  0.726435  {0,2,0}     23    1
17    890    82    83  0.163419  {1,0,0}     29    1
9     901   160   163  0.337838  {0,1,0}     35    0
4     921   156   160  0.987110  {1,1,0}     27    1
113   928   162   167  0.244142  {0,1,0}     28    0
35    935   100   111  0.168372  {0,1,0}     37    1
8     940    54    55  0.783595  {0,1,1}     22    0
87    954   245   246  0.859169  {1,1,0}     32    1
68    973    86    87  0.953883  {1,1,0}     24    1
28    978   108   109  0.029751  {0,0,1}     40    0
6     982    39    72  0.326207  {1,1,0}     28    1
74   1006   121   123  0.893824  {1,0,0}     38    1
121  1021   213   216  0.159419  {1,0,0}     26    1
108  1024   106   107  0.627896  {1,1,0}     34    1
38   1024    14    15  0.753066  {0,3,0}     38    1
40   1027   104   105  0.829350  {0,2,0}     20    0
122  1042    86    87  0.754687  {0,1,0}     33    0
11   1050    36    38  0.454366  {1,1,0}     25    1
85   1057   157   158  0.900887  {0,1,1}     35    0
3    1060   186   187  0.143371  {0,1,0}     27    1
48   1073   150   152  0.490298  {0,2,0}     34    1
75   1074   122   123  0.481382  {0,0,1}     31    0
126  1082   122   123  0.701283  {0,3,0}     21    1
1    1083   118   119  0.495203  {1,1,0}     32    1
99   1103    20    21  0.493031  {0,3,0}     24    1
109  1107    95    97  0.811670  {0,2,0}     27    0
102  1117   116   120  0.801812  {0,2,0}     25    1
46   1121    67    68  0.400908  {1,0,0}     37    1
86   1122     9    34  0.267900  {0,1,0}     32    0
