map EGL-G1-D
fac 5 10 {0,68,171,78,65}
hosp 2 {0,175}
n_ALS 7 1 {1:0,4:68,2:171}
n_BLS 16 1 {6:0,2:68,3:171,3:78,2:65}
n_CLS 8 0 {1:0,2:68,2:171,3:78}
      c_m  head  tail      c_af      c_d  c_tau  c_h
64      3   127   138  0.315572  {0,1,0}     39    0
51      7    23   229  0.859229  {0,2,0}     36    1
14     11    31    32  0.908601  {1,0,0}     38    1
124    18   170   171  0.208685  {1,1,0}     22    1
42     20   202   204  0.432319  {0,1,0}     38    1
106    24   195   197  0.464035  {0,1,0}     23    0
125    34     5     6  0.434783  {0,1,0}     31    0
17     40   222   223  0.735962  {0,0,1}     24    1
85     59   116   117  0.840396  {0,1,0}     24    1
109    60    82    83  0.286646  {1,1,0}     38    1
92     82   228   230  0.360797  {0,1,0}     30    1
65    132    75    77  0.721939  {0,3,0}     31    1
11    134    72    73  0.517040  {0,2,0}     23    0
116   137   206   207  0.942315  {1,0,0}     25    1
73    158    49    56  0.396817  {1,0,0}     23    1
49    179   225   248  0.757645  {0,1,0}     37    0
0     199    98   130  0.697066  {1,1,0}     27    1
100   222   124   151  0.043656  {0,1,0}     23    1
19    234    47    48  0.346137  {0,3,0}     33    1
43    293   165   177  0.175811  {0,1,0}     25    1
86    339    54    58  0.008471  {0,2,0}     22    0
102   350   106   107  0.417122  {1,0,0}     35    1
36    352    59    60  0.971685  {0,3,0}     30    1
55    366   191   194  0.995427  {0,0,1}     35    1
77    394   114   115  0.398184  {0,1,0}     36    0
35    421   212   243  0.049038  {1,0,0}     38    1
3     426   112   113  0.458752  {1,1,0}     22    1
31    476   101   102  0.326373  {0,0,1}     23    1
101   489   227   228  0.309670  {1,1,0}     29    1
41    491    23   170  0.041121  {0,2,0}     34    1
15    507    98   130  0.596347  {0,2,0}     39    1
69    552   212   243  0.641429  {0,2,0}     25    1
87    565   101   102  0.451770  {0,3,0}     24    0
47    570    29    31  0.109265  {1,0,0}     34    1
113   573    41    51  0.984027  {0,1,1}     23    1
24    575   191   193  0.299517  {0,0,1}     26    0
105   626   202   204  0.640016  {0,1,0}     32    1
58    629   177   178  0.682178  {0,2,0}     21    1
44    630    90    91  0.436127  {0,3,0}     28    0
52    630   106   107  0.078771  {0,0,1}     28    1
94    634   173   181  0.713753  {0,1,1}     36    1
54    646   212   243  0.440793  {1,1,0}     30    1
45    653    90    91  0.007380  {0,1,0}     21    0
103   661   207   208  0.637475  {0,2,0}     27    0
98    663    54    58  0.314382  {0,2,0}     40    1
10    673    48    49  0.471295  {0,3,0}     26    1
8     673   171   172  0.696640  {1,0,0}     31    1
96    675    10    11  0.358617  {1,1,0}     40    1
39    680   142   143  0.373100  {0,1,0}     39    0
30    691   131   132  0.936266  {0,2,0}     36    0
7     697    47    64  0.156366  {0,2,0}     32    0
90    697   141   142  0.251296  {0,1,0}     37    1
68    700   104   106  0.505901  {0,1,0}     25    1
63    702   226   227  0.747689  {0,1,0}     28    0
46    706   229   230  0.485130  {1,1,0}     24    1
127   713    59    60  0.797045  {0,1,0}     24    0
120   720   171   172  0.254332  {0,1,1}     27    1
99    722    83    85  0.523704  {0,1,0}     21    0
26    723   154   155  0.818451  {0,1,0}     39    1
60    727    32    34  0.112427  {0,2,0}     20    1
5     746   156   160  0.724214  {0,0,1}     23    1
50    748   176   179  0.165474  {0,2,0}     28    1
56    774   180   181  0.360997  {0,0,1}     27    1
75    774   203   210  0.634569  {0,1,0}     35    0
33    776   177   178  0.197016  {1,1,0}     27    1
25    780   165   174  0.714428  {0,1,0}     40    1
27    794    48    57  0.071109  {0,1,0}     37    0
59    795   151   152  0.707963  {0,2,0}     32    1
34    801   231   232  0.901774  {0,1,1}     20    1
23    827   213   216  0.221468  {0,2,0}     20    1
71    837    28    29  0.893664  {0,3,0}     31    1
48    837    98    99  0.052383  {0,3,0}     20    0
82    844    47    48  0.193574  {1,0,0}     32    1
83    847   202   203  0.516546  {0,2,0}     26    0
91    849   101   110  0.104534  {0,1,0}     30    1
114   850    96   111  0.291448  {1,1,0}     29    0
32    886    23   170  0.969188  {0,2,0}     33    1
80    903   229   230  0.442450  {0,2,0}     31    1
93    912    91    92  0.818192  {0,1,0}     36    0
29    920   244   248  0.327897  {1,1,0}     39    1
123   932   100   101  0.903498  {0,3,0}     40    1
53    944   146   147  0.630494  {0,3,0}     36    1
97    949    60    67  0.882701  {0,2,0}     21    1
4     950   177   178  0.250321  {0,2,0}     21    0
84    959    43    44  0.913361  {0,1,0}     34    1
6     959     9    34  0.988872  {0,2,0}     29    0
79    968   186   187  0.750792  {0,2,0}     30    0
126   969   106   107  0.524303  {0,1,0}     26    1
38   1003   231   232  0.069162  {1,1,0}     23    1
111  1014    70    71  0.497246  {0,2,0}     28    0
76   1041    23    86  0.130560  {0,0,1}     31    1
37   1047   222   225  0.064045  {1,0,0}     30    1
57   1049   199   202  0.636411  {1,0,0}     32    1
112  1071   166   167  0.881089  {0,2,0}     34    1
61   1074   115   122  0.125023  {0,1,0}     27    0
20   1077   212   218  0.606200  {0,3,0}     39    0
13   1077   207   209  0.511853  {1,1,0}     22    1
1    1082   150   151  0.792938  {0,2,0}     34    1
62   1128   210   211  0.870360  {0,2,0}     32    0
89   1134   169   170  0.865686  {1,0,0}     37    1
110  1152    71    72  0.015549  {0,1,1}     20    0
21   1155   153   157  0.807052  {0,0,1}     37    1
88   1165    16    18  0.792987  {0,2,0}     24    0
122  1173    49    50  0.150960  {1,0,0}     21    1
67   1178    49    56  0.776383  {1,0,0}     40    1
22   1180     3    23  0.948573  {0,1,1}     39    1
78   1221     6     7  0.509326  {0,3,0}     38    1
40   1227   210   211  0.642178  {0,2,0}     39    0
74   1231   231   232  0.718566  {1,0,0}     32    1
2    1232    88    96  0.899688  {1,0,0}     37    1
9    1245    47    48  0.382733  {0,2,0}     36    0
115  1275    69    70  0.385760  {0,1,1}     33    1
118  1276   195   196  0.242629  {1,1,0}     36    1
121  1280    50    51  0.313683  {1,0,0}     33    1
108  1285   116   117  0.102480  {0,2,0}     33    0
16   1324   151   154  0.540719  {0,2,0}     28    1
81   1325   175   176  0.105784  {0,0,1}     29    1
104  1327   102   110  0.875628  {1,0,0}     24    1
70   1345   203   210  0.114503  {0,1,1}     21    1
117  1352   104   106  0.700665  {0,3,0}     34    1
66   1365    81    82  0.135079  {0,2,0}     22    0
12   1365    18    19  0.142055  {1,0,0}     31    1
119  1385     5    26  0.541715  {1,1,0}     30    1
95   1389   142   144  0.789211  {0,0,1}     20    0
18   1401   228   230  0.389755  {0,0,1}     34    1
28   1414     7    30  0.619870  {1,0,0}     20    1
107  1421    25    26  0.560981  {1,2,0}     35    1
72   1433   116   120  0.477937  {0,3,0}     31    0
