map EGL-G1-D
fac 5 10 {0,18,144,221,38}
hosp 2 {0,107}
n_ALS 7 1 {4:18,3:38}
n_BLS 19 1 {1:0,4:18,4:144,3:221,7:38}
n_CLS 5 0 {1:0,2:18,2:144}
      c_m  head  tail      c_af      c_d  c_tau  c_h
122     3   232   233  0.996801  {0,3,0}     30    1
91      6   207   208  0.581857  {1,2,0}     21    1
64     51    41    51  0.151122  {0,2,0}     32    1
79     62    67    68  0.668312  {0,1,0}     36    1
124    98   100   111  0.709681  {0,3,0}     23    1
77     98    51    52  0.672953  {1,0,0}     37    1
21    108    17    19  0.748743  {0,0,1}     37    0
127   113     4     5  0.918630  {1,0,0}     31    1
89    129    59    71  0.009247  {0,3,0}     26    1
83    133   151   152  0.281892  {0,1,0}     26    0
96    134   162   167  0.796893  {0,3,0}     33    1
46    154   127   138  0.852412  {0,0,1}     40    1
13    211   244   245  0.075257  {1,1,0}     22    1
37    269     9    34  0.974332  {0,3,0}     35    0
108   310    27    28  0.138310  {1,0,0}     38    0
45    323    26    28  0.868091  {1,0,0}     34    1
40    351   246   248  0.981859  {0,2,0}     29    0
36    451    80    81  0.635592  {1,0,0}     23    1
113   453    35    36  0.743469  {1,3,0}     20    1
106   453   156   162  0.578668  {0,2,0}     24    0
71    468    39    52  0.706125  {0,1,0}     30    0
72    494   189   190  0.737409  {0,1,0}     22    0
90    507   132   134  0.582732  {0,1,0}     34    0
97    530   156   162  0.495360  {1,1,0}     28    1
78    533   185   192  0.211214  {0,2,0}     20    1
82    549    32    33  0.996031  {0,2,0}     26    0
42    551   155   156  0.219632  {0,1,0}     37    1
48    553    10    11  0.116002  {1,0,0}     40    1
34    557    13    14  0.537718  {1,0,0}     27    1
101   567    65    92  0.720098  {0,2,0}     23    0
75    567   207   208  0.486632  {0,2,0}     29    0
41    595    31    38  0.444193  {0,3,0}     27    1
28    602    69    70  0.472359  {0,1,0}     39    1
7     604    16    17  0.018641  {1,1,0}     38    1
103   605   243   244  0.303565  {1,0,0}     38    1
120   617    67    68  0.557457  {0,0,1}     40    1
1     620    94    98  0.682848  {1,1,0}     27    1
11    623    42    43  0.870887  {1,0,0}     36    1
53    638     6     7  0.066413  {0,1,0}     39    0
125   651    49    50  0.399476  {0,2,0}     25    1
12    651   124   151  0.077480  {0,2,0}     26    1
47    651    10    41  0.931139  {0,1,0}     31    1
87    654   129   136  0.125009  {0,1,0}     28    1
118   656     8     9  0.454221  {0,3,0}     20    1
54    660   240   241  0.616106  {0,3,0}     32    0
19    666   179   180  0.236488  {1,1,0}     38    1
20    679     9    34  0.585982  {0,1,0}     22    1
112   692    51    52  0.169498  {0,3,0}     20    0
114   695   165   177  0.494530  {0,1,0}     29    1
33    704   204   209  0.658392  {1,1,0}     29    1
29    709   226   227  0.821904  {0,3,0}     33    0
3     710    29    31  0.900414  {0,1,0}     30    1
9     725   178   183  0.190445  {0,3,0}     22    0
58    727   157   158  0.979852  {0,1,0}     23    1
4     739    96   114  0.860643  {1,1,0}     20    1
121   747    18    20  0.997555  {1,1,0}     31    1
70    771   160   163  0.995838  {0,3,0}     36    1
99    775   155   161  0.064013  {0,1,0}     29    0
109   777    29    30  0.779454  {0,1,1}     34    0
81    783   211   212  0.502890  {0,2,0}     24    1
61    784   232   234  0.653058  {0,2,0}     23    0
2     785   213   214  0.641527  {0,1,0}     30    1
66    791   241   242  0.386048  {0,2,0}     22    1
123   792    29    31  0.452637  {0,3,0}     40    0
102   795   157   158  0.295432  {0,0,1}     22    0
84    801   198   199  0.509387  {0,2,0}     28    1
65    824    32    33  0.223637  {0,1,0}     22    1
0     830    54    58  0.992057  {0,1,0}     38    1
68    836   150   152  0.706325  {0,3,0}     30    0
8     840    49    56  0.238943  {0,1,1}     33    0
43    847    85    86  0.456505  {1,0,0}     25    0
6     860    98   130  0.782039  {1,1,0}     40    1
49    866   219   220  0.374867  {0,1,0}     37    1
88    875   196   197  0.518896  {0,2,0}     29    0
119   891    43    45  0.347897  {0,2,0}     39    1
98    899    56    57  0.510592  {1,0,0}     26    1
74    900    34    41  0.255107  {1,0,0}     30    1
67    919   207   208  0.653566  {0,1,0}     28    0
22    932   184   185  0.095947  {1,1,0}     20    1
17    934   135   136  0.921396  {0,3,0}     39    0
59    944   165   177  0.292494  {0,1,0}     23    1
31    946   103   104  0.284548  {0,2,0}     24    0
80    964    85    86  0.960939  {0,3,0}     25    1
63    967   211   213  0.978297  {1,1,0}     20    1
26    972   150   152  0.146228  {1,2,0}     27    1
57   1000   237   238  0.128275  {0,3,0}     30    1
85   1015    73    75  0.963446  {0,1,0}     29    1
16   1023   150   152  0.007439  {0,2,0}     33    1
92   1023   119   169  0.286754  {1,0,0}     39    1
51   1044    51    52  0.037839  {1,1,0}     35    1
24   1051   162   166  0.648564  {0,0,1}     28    1
107  1052    58    59  0.532977  {1,0,0}     24    1
116  1057     7    30  0.599257  {1,1,0}     35    1
27   1064    29    30  0.096964  {1,0,0}     32    1
110  1067   171   172  0.960347  {0,1,0}     32    1
69   1072   115   116  0.001641  {0,1,0}     21    0
73   1076   242   243  0.970318  {0,1,1}     35    1
32   1076   178   179  0.604205  {0,1,1}     37    0
60   1079    65    91  0.912740  {0,0,1}     22    0
115  1084   223   224  0.317117  {0,2,0}     38    0
56   1096     8     9  0.080365  {0,3,0}     30    1
39   1097    30    33  0.814347  {0,2,0}     40    0
94   1104   135   136  0.838346  {1,0,0}     24    0
111  1107    16    17  0.748958  {0,0,1}     37    0
35   1127    24    26  0.727221  {0,1,0}     39    1
38   1136   203   210  0.849780  {1,0,0}     30    1
44   1145   164   165  0.864864  {1,0,0}     27    1
14   1156   156   162  0.183947  {0,1,1}     31    1
76   1164   226   227  0.192815  {0,2,0}     38    1
95   1183     9    34  0.257934  {0,2,0}     31    0
15   1185    45    46  0.511842  {1,1,0}     32    1
25   1198    96   114  0.535009  {0,2,0}     29    1
30   1203    66    67  0.108351  {0,1,0}     23    0
10   1215     2     3  0.702027  {0,2,0}     34    1
86   1235    93    94  0.525062  {1,0,0}     25    1
50   1256    19    20  0.057036  {0,1,0}     22    1
126  1280    75    76  0.359776  {0,1,0}     31    1
100  1301    98    99  0.489025  {0,2,0}     40    1
93   1308    66    67  0.129540  {1,1,0}     38    1
62   1313    43    44  0.408828  {1,0,0}     29    1
105  1352   228   229  0.173754  {0,3,0}     35    0
55   1357     5    23  0.076231  {0,2,0}     21    1
104  1361   189   190  0.132448  {1,1,0}     31    1
117  1380   196   197  0.493600  {0,2,0}     39    0
52   1390   116   117  0.297696  {1,2,0}     23    1
5    1401   210   211  0.542109  {0,2,0}     24    1
18   1418    19    25  0.612456  {0,3,0}     27    0
23   1438   107   108  0.144860  {0,3,0}     28    1
