map EGL-G1-D
fac 5 10 {0,178,181,39,203}
hosp 1 {0}
n_ALS 8 1 {5:0,1:178,2:203}
n_BLS 19 1 {2:0,4:178,3:181,4:39,6:203}
n_CLS 10 0 {1:0,2:178,4:181,1:39,2:203}
      c_m  head  tail      c_af      c_d  c_tau  c_h
26      2   121   123  0.204949  {0,0,1}     34    0
5      12   244   245  0.042559  {0,1,1}     32    1
95     17   197   198  0.135181  {0,2,0}     34    1
15     46   180   181  0.305278  {0,1,0}     39    0
125    56     9    10  0.181794  {0,2,0}     36    1
93     67    57    61  0.475319  {0,2,0}     27    1
34     82    49    50  0.852335  {0,3,0}     31    1
105   140   234   235  0.467226  {0,1,0}     27    0
17    191   190   191  0.344639  {0,1,0}     37    0
102   239    45    64  0.202757  {0,1,0}     33    1
113   285    98    99  0.494319  {0,3,0}     36    0
88    346    23   229  0.169627  {1,1,0}     22    0
70    356   117   118  0.473776  {1,1,0}     28    1
81    416   244   248  0.769029  {0,2,0}     32    0
4     438     6     7  0.162009  {0,1,0}     40    1
48    445   119   169  0.809382  {0,1,0}     40    0
112   464    75    77  0.862023  {0,2,0}     29    1
24    485    68    69  0.636499  {0,1,1}     29    0
126   488   231   236  0.809496  {0,3,0}     32    1
117   494   174   176  0.315321  {1,1,0}     32    1
87    509    27    30  0.464720  {1,0,0}     21    1
59    512    11    42  0.754062  {0,2,0}     25    1
9     523    45    64  0.432818  {1,1,0}     34    1
8     523    84   100  0.662443  {0,3,0}     23    1
82    532   149   150  0.714786  {1,0,0}     36    1
116   539     5    26  0.834076  {1,1,0}     34    0
19    547   237   238  0.872626  {0,1,1}     26    0
49    547   220   222  0.693778  {0,1,1}     22    1
60    557   225   248  0.450536  {1,0,0}     30    1
29    588   234   236  0.749536  {0,1,0}     38    0
45    588   240   241  0.397584  {0,2,0}     28    0
92    593     3    23  0.217936  {0,1,0}     27    0
53    594   178   183  0.996976  {0,3,0}     25    0
97    596   211   213  0.342164  {1,0,0}     28    1
14    610    48    49  0.476669  {0,1,1}     31    1
69    631    20    21  0.154495  {0,1,0}     30    0
104   640    59    71  0.395407  {1,1,0}     37    1
103   666   196   203  0.044507  {1,0,0}     37    1
22    670   162   167  0.917875  {0,1,0}     32    1
30    685   170   171  0.213737  {0,2,0}     36    0
89    688   146   147  0.381638  {1,1,0}     23    1
83    705   155   161  0.975317  {0,2,0}     21    1
96    709   128   129  0.057020  {1,1,0}     40    1
90    712   144   145  0.304164  {0,2,0}     23    0
3     730    24    25  0.006915  {0,1,0}     38    0
47    730    20    21  0.941221  {1,1,0}     38    1
120   739   202   203  0.715341  {0,3,0}     35    0
68    739   242   245  0.822553  {0,1,0}     25    0
114   742    26    28  0.188145  {0,2,0}     22    1
31    772   237   238  0.764507  {0,2,0}     37    0
54    776    66    68  0.942560  {1,0,0}     30    1
1     781    96   114  0.316125  {0,1,0}     36    0
52    787    65    91  0.265416  {0,0,1}     28    0
101   794   185   186  0.443127  {1,0,0}     38    1
38    809    69    78  0.363601  {0,3,0}     24    0
58    809    92    93  0.468599  {1,1,0}     35    1
40    821    51    52  0.500386  {0,1,0}     38    1
75    825   101   102  0.785503  {0,1,0}     21    1
100   830    98    99  0.280820  {0,1,0}     35    1
67    835   173   181  0.497143  {0,2,0}     33    0
44    842    23   170  0.799892  {0,2,0}     20    1
36    856    54    58  0.571965  {0,2,0}     22    0
25    857   139   140  0.014740  {0,0,1}     39    1
66    864   137   138  0.588703  {0,3,0}     40    1
109   871    37    74  0.779483  {1,1,0}     25    0
41    873   140   149  0.890244  {0,2,0}     32    0
37    875    89    91  0.657603  {1,1,0}     27    1
7     882    26    28  0.429122  {0,2,0}     23    1
46    896    89    90  0.207742  {1,0,0}     20    1
20    902   112   114  0.045488  {0,1,0}     21    1
0     904   123   124  0.165389  {0,1,0}     26    0
94    911   128   129  0.818323  {0,1,1}     23    1
62    915   174   176  0.986738  {0,1,0}     39    0
110   926     1    12  0.160718  {0,1,0}     37    1
23    945   117   118  0.435189  {0,2,0}     31    1
80    946   189   190  0.292507  {0,1,0}     24    1
16    961   202   204  0.756507  {0,2,0}     28    0
65    965    59    71  0.225586  {1,0,0}     20    1
76    995    97   126  0.565861  {1,3,0}     37    1
12    995   132   134  0.016656  {0,1,1}     25    1
119  1005    69    70  0.782914  {1,1,0}     30    1
91   1016   180   181  0.513595  {0,3,0}     34    0
61   1017     0     1  0.695820  {0,2,0}     33    1
63   1024    85    86  0.448832  {0,0,1}     33    0
42   1031    36    38  0.978296  {0,1,1}     22    1
28   1038    18    20  0.201322  {1,0,0}     26    1
122  1043   244   248  0.620332  {0,3,0}     33    1
57   1056   142   143  0.509711  {0,1,0}     38    1
27   1058    69    78  0.735214  {0,2,0}     34    0
6    1059    65    66  0.667714  {1,0,0}     31    1
39   1059   174   175  0.043292  {0,3,0}     28    1
32   1059   106   108  0.954456  {0,1,0}     23    1
121  1066     1    12  0.274927  {1,0,0}     36    1
79   1068   197   198  0.245619  {0,1,0}     35    1
64   1071   219   220  0.640087  {0,3,0}     34    0
13   1093   199   202  0.706399  {1,0,0}     20    1
84   1093   145   146  0.122842  {1,1,0}     38    1
72   1108   103   113  0.563827  {0,1,0}     30    1
21   1121   196   203  0.752830  {1,0,0}     24    1
111  1131   232   234  0.277667  {0,1,0}     36    0
56   1146    49    56  0.500992  {0,1,0}     24    0
124  1151   111   112  0.046033  {0,1,0}     23    0
77   1156   176   180  0.722092  {0,1,0}     25    1
10   1158    88    96  0.350117  {0,2,0}     24    1
2    1161    51    52  0.291941  {1,1,0}     34    1
85   1184   178   182  0.392180  {0,1,0}     28    1
18   1197   234   236  0.349346  {0,1,1}     28    1
73   1207   188   189  0.031138  {0,3,0}     35    1
108  1212   171   172  0.319215  {0,2,0}     39    1
99   1234   246   247  0.537452  {0,1,0}     38    0
33   1250    81    82  0.751965  {0,1,0}     22    0
107  1256    36    39  0.134833  {0,3,0}     25    0
35   1264   212   218  0.245489  {0,2,0}     35    1
55   1285   128   137  0.753623  {0,0,1}     38    1
115  1289   135   145  0.718175  {0,2,0}     36    1
106  1291   116   118  0.233411  {0,1,1}     40    0
127  1294    62    63  0.094100  {0,0,1}     32    0
43   1294    10    41  0.018040  {0,2,0}     29    1
51   1302   197   198  0.144676  {0,1,1}     26    0
11   1328    89    91  0.750120  {0,1,0}     39    0
50   1348    46    47  0.119661  {0,3,0}     23    1
86   1356    23   149  0.065933  {0,3,0}     25    1
123  1366   121   123  0.463086  {0,2,0}     40    0
78   1396   115   122  0.022814  {0,0,1}     32    1
74   1406    98    99  0.568506  {0,1,1}     28    1
118  1426    68    69  0.345654  {0,2,0}     37    1
98   1433   244   249  0.387948  {0,2,0}     26    1
71   1436   135   145  0.794102  {0,3,0}     27    1
