map EGL-G1-A
fac 5 10 {0,19,175,242,105}
hosp 1 {0}
n_ALS 8 1 {1:0,4:19,1:242,2:105}
n_BLS 15 1 {6:0,7:242,2:105}
n_CLS 9 0 {2:0,1:19,3:175,2:242,1:105}
      c_m  head  tail      c_af      c_d  c_tau  c_h
58      7    43    45  0.613137  {1,0,0}     38    1
7       7    80    81  0.100664  {0,3,0}     34    0
46     18   210   211  0.742719  {0,1,0}     23    1
104    20   116   117  0.970983  {0,1,0}     22    0
88     20    98   131  0.372594  {1,0,0}     23    1
78     36   186   187  0.311056  {0,1,0}     22    1
87     42   198   200  0.619519  {0,2,0}     40    1
89     49   116   118  0.357345  {0,3,0}     22    1
109    62   104   106  0.144483  {0,2,0}     32    0
36     99   244   248  0.558471  {0,0,1}     33    1
107   146    54    58  0.243553  {1,1,0}     34    1
116   146   138   139  0.471216  {0,1,0}     25    1
19    172    81    82  0.607879  {0,1,0}     34    1
102   202   145   146  0.636828  {0,2,0}     36    0
100   206    91    92  0.705195  {0,3,0}     31    1
65    235   153   156  0.648628  {0,2,0}     34    1
112   251   103   104  0.475282  {0,1,1}     25    0
84    274    18    20  0.444606  {1,0,0}     28    0
64    297   160   164  0.572083  {0,1,0}     37    1
95    333   197   198  0.059291  {1,0,0}     26    1
94    343    14    15  0.887482  {0,0,1}     29    1
127   343   222   225  0.020922  {1,1,0}     35    1
48    361   180   181  0.890238  {0,2,0}     39    0
44    362   246   247  0.948155  {0,3,0}     32    1
70    422    12    13  0.016396  {1,1,0}     36    1
52    438    77    81  0.603421  {1,2,0}     31    1
74    444   178   182  0.257739  {0,3,0}     36    1
54    472    25    26  0.903779  {0,3,0}     26    1
14    475   153   156  0.896137  {1,1,0}     30    1
120   480   196   197  0.502760  {1,0,0}     40    0
49    490    82    83  0.122944  {1,0,0}     22    1
24    493   241   242  0.798028  {1,1,0}     24    1
17    493   131   132  0.514772  {1,0,0}     27    1
35    509   140   149  0.471738  {0,2,0}     36    0
85    528   237   240  0.159581  {1,1,0}     23    1
50    539    59    60  0.521721  {0,2,0}     34    1
37    541   206   207  0.766081  {1,1,0}     20    1
79    554    35    36  0.107762  {1,0,0}     30    1
72    557    53    55  0.261633  {0,3,0}     35    0
92    563   171   172  0.116894  {1,1,0}     36    1
47    596   169   173  0.864866  {1,1,0}     35    1
55    597   213   216  0.443853  {0,1,0}     30    1
15    611    82    83  0.359959  {0,2,0}     36    1
9     615   171   172  0.979989  {1,0,0}     23    1
91    623   195   196  0.287620  {0,3,0}     32    1
56    641   135   136  0.321012  {0,2,0}     30    1
73    645   127   138  0.891136  {0,0,1}     39    0
59    648   153   156  0.307673  {0,2,0}     33    1
66    667   178   183  0.074176  {0,2,0}     28    1
2     669    42    43  0.124207  {0,2,0}     36    1
93    679    30    33  0.910807  {1,0,0}     23    0
101   699    90    91  0.649951  {1,1,0}     27    1
1     702   215   216  0.797843  {0,0,1}     28    0
126   702    49    56  0.174342  {1,1,0}     36    1
86    706   225   248  0.105651  {0,2,0}     39    1
103   707   222   223  0.662517  {1,0,0}     27    1
