map EGL-G1-E
fac 5 10 {0,235,85,39,76}
hosp 1 {0}
n_ALS 7 1 {3:0,1:85,2:39,1:76}
n_BLS 21 1 {6:0,2:235,5:85,4:39,4:76}
n_CLS 8 0 {3:235,4:85,1:39}
      c_m  head  tail      c_af      c_d  c_tau  c_h
42     20   130   131  0.156891  {0,1,1}     24    0
94     33   225   226  0.842817  {0,1,0}     23    1
74     48    22    24  0.117375  {0,2,0}     33    1
0      56    47    48  0.165543  {0,0,1}     40    1
62    124    27    30  0.007216  {0,1,0}     21    1
59    142   114   115  0.907413  {1,1,0}     36    1
37    163   140   141  0.491893  {1,2,0}     38    1
96    169   210   211  0.179073  {0,1,1}     22    0
46    189    56    57  0.606415  {1,1,0}     27    1
64    193   106   108  0.827161  {0,3,0}     21    0
45    196    88    96  0.339060  {0,3,0}     34    1
27    211   138   139  0.160210  {0,0,1}     31    0
29    216    19    20  0.930714  {0,3,0}     26    1
115   224   100   111  0.674800  {0,2,0}     25    0
53    270   153   156  0.814824  {1,0,0}     27    1
106   284   202   204  0.714492  {1,0,0}     32    1
28    307   185   192  0.386729  {0,2,0}     27    1
18    324   237   238  0.708720  {0,3,0}     37    0
83    342    92    93  0.816114  {0,3,0}     25    0
118   378   102   110  0.474433  {0,1,0}     27    1
98    392    85    86  0.109118  {0,0,1}     23    0
76    402   177   178  0.509183  {0,3,0}     27    1
25    405   242   245  0.976885  {0,2,0}     24    1
38    453    53    55  0.265668  {1,1,0}     37    1
69    454   119   169  0.330694  {0,0,1}     22    1
16    486   106   108  0.374894  {1,0,0}     30    1
40    496     9    34  0.246426  {0,1,1}     25    1
119   506   196   203  0.434350  {0,1,0}     21    1
34    512   112   114  0.771997  {0,2,0}     28    1
63    523   163   164  0.739372  {1,0,0}     29    1
79    526   238   240  0.648285  {0,2,0}     30    0
36    527    62    63  0.040458  {1,1,0}     24    1
22    534     5    26  0.206819  {0,2,0}     24    0
120   538   240   241  0.859428  {0,2,0}     36    1
43    555    53    54  0.510172  {0,2,0}     22    0
6     594   169   170  0.019479  {0,2,0}     22    1
7     599   125   149  0.516828  {1,0,0}     25    1
82    611   246   248  0.649142  {0,1,0}     37    1
32    622   238   240  0.376377  {0,0,1}     24    1
5     627    31    38  0.700135  {0,1,0}     39    1
68    627   138   139  0.892292  {0,2,0}     37    1
41    632    18    20  0.759952  {1,1,0}     23    1
91    638   204   205  0.450582  {0,3,0}     33    1
100   639   152   153  0.663890  {0,1,0}     23    1
78    651   238   240  0.966239  {0,1,0}     35    0
127   665   162   166  0.278138  {0,3,0}     36    0
8     669   244   249  0.276837  {0,2,0}     38    1
51    694   156   162  0.901896  {0,3,0}     29    1
49    723   160   164  0.058293  {0,1,0}     29    0
107   729   135   145  0.829233  {0,1,0}     26    1
1     730   210   211  0.134101  {1,0,0}     24    1
15    731   212   218  0.252235  {1,0,0}     29    1
24    738    90    95  0.202145  {0,3,0}     22    1
113   738   191   193  0.814405  {0,1,0}     32    1
111   738     4    22  0.213665  {1,1,0}     32    1
73    744   158   159  0.631667  {0,0,1}     28    0
55    746   156   162  0.606667  {1,0,0}     35    1
109   756    65    66  0.007649  {0,0,1}     39    0
121   757   225   248  0.479581  {0,1,1}     28    0
89    760    10    41  0.424772  {0,1,0}     23    1
26    769   104   106  0.088611  {0,3,0}     26    0
44    773   162   167  0.390857  {0,0,1}     27    0
112   786    95    97  0.495898  {1,1,0}     21    1
67    797    22    24  0.667281  {0,1,1}     28    0
57    805   228   230  0.973551  {1,0,0}     33    1
23    815   107   108  0.786976  {1,1,0}     35    1
39    847   178   183  0.150713  {0,2,0}     37    1
99    864   125   126  0.203409  {1,2,0}     40    1
117   865    48    57  0.140407  {0,3,0}     31    1
10    870   104   106  0.013551  {0,1,0}     24    1
52    876   244   245  0.483466  {1,1,0}     40    1
61    884   177   184  0.577758  {0,3,0}     34    1
58    896   219   221  0.264536  {1,0,0}     29    1
116   900   173   181  0.306992  {1,0,0}     33    0
103   903   175   176  0.959949  {1,1,0}     31    1
50    909   116   118  0.175091  {0,1,1}     23    1
2     910    75    77  0.154778  {0,2,0}     22    0
30    917    96   114  0.650904  {0,1,1}     38    0
12    922   116   120  0.235382  {0,2,0}     27    1
66    923    24    26  0.675382  {0,2,0}     29    0
11    959    81    82  0.627488  {0,1,1}     28    0
90    963    55    56  0.275768  {0,1,0}     40    1
93    968    47    64  0.120968  {0,1,0}     27    1
105   981   132   134  0.143602  {1,1,0}     22    1
114   985    50    51  0.241510  {0,3,0}     24    1
126   987   132   134  0.551745  {0,1,0}     20    0
21    998     1    12  0.252596  {0,2,0}     23    0
9    1011    31    32  0.461717  {1,0,0}     31    1
80   1025   112   113  0.387780  {0,1,0}     27    1
95   1031    82    83  0.355189  {0,0,1}     28    1
54   1056   134   135  0.777140  {0,1,0}     30    1
77   1059   125   126  0.856774  {0,2,0}     21    0
4    1074    17    19  0.095902  {0,3,0}     39    0
87   1081   246   248  0.161371  {0,1,0}     25    1
48   1083   132   134  0.928627  {0,3,0}     29    0
75   1090    50    53  0.045185  {0,3,0}     31    1
122  1104    73    74  0.116564  {0,2,0}     29    1
108  1108    39    52  0.416608  {0,0,1}     29    1
71   1117   151   152  0.791450  {0,1,0}     38    1
81   1120   202   204  0.205359  {1,1,0}     37    1
3    1131   116   118  0.906734  {0,2,0}     35    1
17   1145    19    20  0.991475  {1,0,0}     29    1
72   1162   165   174  0.811233  {0,1,0}     25    1
124  1168   243   244  0.249110  {0,0,1}     30    0
33   1175    23   229  0.352535  {0,3,0}     30    1
84   1177    84   100  0.086564  {0,3,0}     38    1
20   1178   174   175  0.547497  {1,1,0}     20    1
60   1179    73    75  0.523457  {0,2,0}     24    1
125  1180   131   132  0.388348  {0,3,0}     38    1
86   1185   210   212  0.185376  {1,0,0}     24    1
47   1190   124   151  0.574246  {0,2,0}     37    0
31   1195   163   168  0.117080  {1,1,0}     28    1
85   1198   234   236  0.557781  {0,2,0}     21    0
92   1206    23   229  0.680546  {1,0,0}     33    1
35   1221    26    28  0.498141  {0,1,0}     27    0
70   1238    48    49  0.222369  {0,1,0}     39    1
65   1239   225   226  0.265497  {0,1,0}     29    1
14   1244   127   128  0.287567  {0,1,1}     23    1
97   1250   134   146  0.398678  {0,3,0}     26    0
13   1251   163   168  0.008513  {0,2,0}     23    1
56   1260    23   170  0.630362  {1,1,0}     25    1
102  1293    82    83  0.577601  {0,1,0}     21    1
19   1296   167   175  0.788522  {0,1,0}     28    1
88   1354   134   146  0.840147  {0,1,1}     23    1
104  1355    75    76  0.852245  {0,1,0}     38    0
101  1392    94    98  0.677942  {0,2,0}     29    0
123  1422    97   126  0.745109  {0,3,0}     31    0
110  1432   204   209  0.928857  {0,2,0}     27    0
