map EGL-G1-E
fac 5 10 {0,67,241,152,196}
hosp 1 {0}
n_ALS 5 1 {2:0,2:67,1:152}
n_BLS 18 1 {3:0,3:67,4:241,5:152,3:196}
n_CLS 10 0 {3:0,2:67,1:152,4:196}
      c_m  head  tail      c_af      c_d  c_tau  c_h
70     12    75    76  0.446580  {1,1,0}     28    1
54     71    23   229  0.296417  {1,0,0}     40    1
47     93   210   212  0.234207  {0,1,0}     33    1
36    136   202   203  0.400787  {0,1,0}     35    1
57    160     9    10  0.774106  {0,3,0}     37    1
113   206    32    33  0.641824  {0,0,1}     22    1
77    212   207   208  0.787566  {0,3,0}     39    1
16    264   126   127  0.064704  {1,1,0}     25    1
88    299   116   117  0.906037  {0,0,1}     33    0
21    314    68    69  0.871956  {0,2,0}     31    1
30    343    73    75  0.638846  {0,3,0}     38    0
91    345   129   136  0.005711  {1,0,0}     24    1
75    347    47    64  0.357200  {0,3,0}     33    0
110   384   210   212  0.223853  {0,2,0}     38    1
25    406    37    74  0.816542  {0,2,0}     38    1
112   411    17    22  0.765538  {1,1,0}     24    1
20    413   149   150  0.495293  {0,1,0}     28    0
97    430   105   117  0.252593  {0,1,1}     38    0
73    438    39    52  0.861005  {0,3,0}     25    1
65    475   174   175  0.110500  {1,0,0}     23    1
64    475    30    33  0.266476  {1,1,0}     23    1
104   478   134   135  0.011838  {0,1,1}     36    1
10    491   222   223  0.768233  {0,0,1}     25    0
15    499   106   108  0.557637  {1,1,0}     23    1
51    501    80    81  0.094716  {0,3,0}     26    1
76    503    23   170  0.572838  {0,0,1}     26    0
5     513    79    80  0.047270  {0,1,0}     31    1
19    520   100   101  0.892724  {1,0,0}     27    1
63    560   191   193  0.612215  {0,1,0}     39    0
11    596    37    74  0.304463  {0,1,1}     40    1
4     602    98   131  0.735752  {0,1,0}     39    0
71    603   167   175  0.150468  {0,2,0}     37    0
111   606   153   157  0.450453  {1,1,0}     36    1
53    613   112   113  0.424660  {1,0,0}     24    1
69    620    50    53  0.675721  {1,0,0}     30    1
18    621   100   101  0.384200  {0,1,0}     27    0
107   634     1     2  0.314464  {0,3,0}     38    1
58    643    23   229  0.918689  {0,1,0}     32    1
13    657   112   114  0.852778  {0,1,0}     26    0
123   659    47    48  0.534971  {1,0,0}     22    1
31    661   210   211  0.066118  {0,2,0}     31    1
67    661    59    71  0.923841  {0,2,0}     28    1
87    671   152   153  0.174349  {0,1,1}     34    0
114   678   197   198  0.117113  {1,1,0}     22    1
100   680    25    26  0.724663  {0,1,0}     30    1
39    689   139   140  0.398904  {0,2,0}     40    1
81    695   111   112  0.813968  {0,1,0}     36    1
98    702   193   194  0.307065  {0,2,0}     23    0
7     705   153   157  0.562147  {0,0,1}     21    0
33    712   165   174  0.537168  {0,3,0}     25    0
99    718    91    92  0.569106  {0,0,1}     40    1
49    729     2    14  0.094596  {0,2,0}     23    0
48    730   207   208  0.366823  {0,2,0}     22    1
3     734    43    46  0.319116  {0,3,0}     39    0
103   737    15    17  0.762223  {0,2,0}     34    0
105   744   125   149  0.504774  {1,0,0}     38    1
92    762    94    95  0.990278  {0,0,1}     26    1
60    766   220   222  0.972127  {0,1,0}     29    1
1     770   118   119  0.149379  {1,1,0}     34    1
86    779    34    41  0.248581  {0,2,0}     30    1
32    779   116   118  0.655566  {0,2,0}     20    1
40    785    49    50  0.760027  {0,1,0}     26    1
45    788    45    64  0.082830  {0,1,1}     24    1
62    793    23   229  0.501747  {0,1,0}     28    0
106   806   114   115  0.012092  {0,2,0}     30    0
8     808    75    77  0.124870  {0,2,0}     39    0
119   809   184   185  0.372269  {1,0,0}     33    1
126   810   139   140  0.250622  {0,1,0}     26    1
9     823    59    60  0.566908  {0,0,1}     36    1
2     825    49    50  0.630496  {1,2,0}     38    1
101   832    47    64  0.027090  {0,0,1}     30    1
124   840    29    31  0.136845  {1,1,0}     37    1
34    844   154   155  0.082339  {0,1,1}     20    0
27    857    36    37  0.805023  {0,2,0}     36    1
46    863   211   213  0.510935  {0,0,1}     23    1
50    875   115   122  0.314936  {1,1,0}     39    1
117   877   195   197  0.390221  {0,3,0}     23    0
23    878    19    20  0.182229  {0,1,0}     20    0
17    893    69    70  0.547422  {0,1,0}     23    1
43    898    68    79  0.433856  {0,1,1}     35    1
6     899   231   236  0.249779  {1,1,0}     24    1
78    911   246   248  0.483883  {0,1,0}     40    1
56    923   127   138  0.721424  {1,0,0}     28    1
14    924   104   106  0.748795  {1,1,0}     21    1
89    952    46    47  0.174791  {0,1,0}     21    1
74    963   117   118  0.948796  {0,2,0}     36    0
90    977   199   201  0.959080  {1,0,0}     34    1
118   980     2    14  0.440536  {0,1,0}     24    0
38    989   119   161  0.042035  {0,2,0}     34    1
83    993    80    81  0.671425  {0,1,1}     36    1
42   1001    31    38  0.193001  {1,0,0}     36    1
108  1042   178   179  0.998634  {0,2,0}     26    0
41   1057    70    72  0.270990  {0,3,0}     32    0
66   1058   132   134  0.297685  {0,3,0}     30    0
84   1061   226   231  0.886157  {0,1,0}     29    1
109  1067   190   191  0.796893  {1,0,0}     30    1
82   1068   138   139  0.406895  {0,0,1}     35    1
121  1069   150   152  0.168854  {1,1,0}     29    1
68   1070    13    14  0.396073  {0,2,0}     34    1
59   1101    56    57  0.988009  {1,0,0}     23    1
85   1112     7    30  0.463477  {0,2,0}     23    0
61   1116   232   233  0.444935  {1,1,0}     36    1
120  1122   240   242  0.467799  {0,1,0}     28    1
93   1122    45    46  0.296798  {0,2,0}     34    0
94   1135    46    47  0.106297  {0,1,0}     21    1
96   1136   155   156  0.751058  {0,0,1}     21    1
115  1151    23   149  0.852979  {0,2,0}     29    1
22   1159    50    51  0.468707  {1,0,0}     38    1
28   1164   153   157  0.091089  {0,2,0}     25    0
79   1167    14    15  0.058987  {0,3,0}     32    0
44   1169   244   245  0.040699  {0,1,0}     28    1
29   1179    98    99  0.325540  {1,0,0}     27    1
102  1180   229   230  0.064206  {1,2,0}     35    1
26   1229    11    42  0.554440  {0,2,0}     28    1
24   1230   196   197  0.814604  {0,3,0}     37    0
116  1239    41    51  0.867856  {1,0,0}     40    1
122  1243    60    67  0.210953  {0,3,0}     37    1
72   1255    36    39  0.855868  {0,3,0}     36    1
52   1279    70    72  0.454677  {0,0,1}     29    0
35   1288   146   147  0.155096  {0,2,0}     30    1
125  1295    49    56  0.417172  {1,1,0}     21    1
12   1296    80    81  0.981687  {0,1,0}     32    0
0    1316    66    67  0.923962  {1,0,0}     40    1
80   1353    81    82  0.463992  {1,0,0}     33    1
127  1371   191   194  0.620978  {0,1,1}     26    1
95   1423    75    77  0.149715  {0,1,1}     23    1
55   1427   207   209  0.228776  {1,1,0}     32    1
37   1429    68    79  0.833679  {0,1,0}     30    1
