map EGL-G1-E
fac 5 10 {0,135,10,81,95}
hosp 2 {0,242}
n_ALS 9 1 {1:0,2:10,2:81,4:95}
n_BLS 15 1 {6:0,4:135,1:10,4:95}
n_CLS 7 0 {2:0,1:135,4:10}
      c_m  head  tail      c_af      c_d  c_tau  c_h
108    18   212   243  0.997155  {1,0,0}     21    1
1      71   115   116  0.824131  {0,2,0}     21    1
13    114    45    46  0.270868  {0,1,0}     28    1
59    115   191   193  0.022670  {0,1,0}     34    1
38    117   222   223  0.998660  {0,2,0}     37    1
45    141    53    54  0.855233  {0,1,0}     36    1
66    145    31    32  0.199580  {1,0,0}     30    1
70    151   198   199  0.565013  {1,1,0}     25    0
23    194     4     5  0.231703  {1,0,0}     28    1
99    194   116   118  0.301008  {0,3,0}     37    1
17    200    59    71  0.885602  {0,1,1}     21    1
68    200   222   225  0.073477  {1,1,0}     35    1
57    208    29    31  0.877906  {1,0,0}     38    1
92    218   151   154  0.383144  {0,3,0}     28    1
30    236   222   223  0.708162  {0,2,0}     32    0
69    317   173   181  0.550401  {0,2,0}     30    0
123   325   155   161  0.154926  {0,3,0}     28    0
49    347   130   131  0.537514  {0,2,0}     23    1
48    354   156   162  0.161633  {0,2,0}     35    0
40    376    17    19  0.206574  {0,1,0}     37    0
91    382    65    92  0.553929  {0,1,0}     32    0
32    422    50    51  0.998960  {1,3,0}     20    1
52    444   219   220  0.117165  {0,2,0}     40    1
2     445   137   138  0.316956  {0,2,0}     40    0
107   461    23   229  0.767292  {1,1,0}     25    1
125   500     3    23  0.681918  {1,0,0}     30    1
74    512   164   165  0.175070  {0,1,0}     21    1
75    525   204   209  0.295675  {1,1,0}     38    0
55    533    50    53  0.717326  {0,1,0}     34    0
54    534   105   107  0.262661  {1,1,0}     32    1
67    541    41    51  0.206874  {1,1,0}     22    1
44    576   220   222  0.751249  {0,1,0}     37    1
79    588    66    68  0.563917  {0,1,0}     22    1
101   588    68    69  0.933823  {1,1,0}     39    1
31    591     5    23  0.760745  {0,2,0}     40    1
12    603   191   194  0.598598  {1,1,0}     22    1
6     603    98   130  0.595062  {1,1,0}     28    1
89    613    88    89  0.662090  {0,2,0}     27    1
14    618   220   222  0.814199  {1,0,0}     21    1
15    619    22    24  0.597634  {1,1,0}     32    1
36    627   157   159  0.152745  {0,3,0}     33    1
16    648     6     7  0.939870  {0,3,0}     28    0
65    652   199   202  0.754980  {1,0,0}     28    1
78    676     7    30  0.202842  {1,0,0}     27    1
96    679   215   216  0.176400  {0,1,0}     20    1
5     683   240   242  0.544402  {1,0,0}     32    1
58    691    25    26  0.077888  {1,0,0}     38    1
122   691   145   146  0.134593  {1,3,0}     24    1
90    694   158   159  0.125842  {0,2,0}     37    1
29    697   237   240  0.152522  {0,0,1}     39    1
53    703   188   189  0.426147  {0,1,0}     37    1
88    716    29    31  0.133065  {0,3,0}     39    1
39    718   139   140  0.172422  {0,3,0}     26    1
34    723    50    52  0.421902  {0,1,0}     31    1
76    723   202   204  0.933673  {1,1,0}     28    0
41    729    70    72  0.932679  {1,0,0}     38    0
83    736   132   134  0.733483  {1,0,0}     39    1
126   738   173   181  0.748590  {0,0,1}     25    1
115   743   238   239  0.553686  {0,1,0}     39    1
9     761   101   102  0.970543  {0,0,1}     26    1
11    769   231   232  0.757572  {0,2,0}     21    1
102   788    98   131  0.505791  {0,2,0}     31    0
71    789    75    76  0.404101  {1,0,0}     36    1
98    792    28    29  0.876392  {0,1,0}     39    1
121   796    68    79  0.858417  {0,2,0}     26    1
84    808   135   145  0.013081  {1,1,0}     26    1
106   813    16    18  0.649953  {0,1,0}     23    0
33    818     9    34  0.526467  {1,0,0}     40    1
113   836   134   146  0.728637  {0,1,0}     25    1
82    845    90    95  0.671655  {0,1,0}     27    1
10    845   207   208  0.563873  {0,2,0}     26    1
114   847    46    47  0.594356  {0,3,0}     33    0
19    851   122   123  0.376981  {0,3,0}     39    0
4     861    65    66  0.747193  {0,2,0}     22    1
109   864   165   174  0.775756  {0,3,0}     39    1
105   875   150   152  0.101277  {0,0,1}     23    1
103   884    34    41  0.611550  {0,1,0}     34    0
