map EGL-G1-E
fac 5 10 {0,39,6,85,68}
hosp 1 {0}
n_ALS 7 1 {2:0,2:39,1:6,1:85,1:68}
n_BLS 18 1 {7:39,3:6,4:85,4:68}
n_CLS 5 0 {2:0,2:6,1:85}
      c_m  head  tail      c_af      c_d  c_tau  c_h
122     5   244   248  0.885844  {1,0,0}     33    0
1      11    49    50  0.951662  {1,1,0}     35    1
91     11   105   107  0.646171  {0,2,0}     37    0
64     48   108   109  0.487878  {0,0,1}     21    0
47     56    12    16  0.105955  {0,3,0}     25    1
24     64    83    85  0.852235  {1,1,0}     20    1
68     82   163   164  0.613162  {1,0,0}     27    1
35     82   157   158  0.861798  {0,1,0}     34    0
52    108   163   164  0.096492  {0,2,0}     30    1
40    116   131   132  0.448180  {0,2,0}     25    0
105   120    94    95  0.789484  {0,2,0}     27    0
28    143   245   246  0.338090  {0,2,0}     30    1
54    147   127   128  0.278604  {0,1,0}     33    1
10    151   246   247  0.343072  {1,0,0}     27    0
78    182   169   173  0.908347  {1,0,0}     35    1
112   214   122   123  0.348327  {0,2,0}     32    1
107   220   238   240  0.615543  {0,2,0}     28    0
22    323   131   132  0.782218  {0,3,0}     20    0
103   337   192   193  0.074770  {0,1,0}     28    1
101   370    50    51  0.194323  {0,1,0}     28    1
75    382   108   109  0.815419  {0,1,0}     34    1
86    384     6     7  0.771768  {0,3,0}     36    1
46    394   170   171  0.053911  {0,1,0}     25    1
118   416    85    86  0.742967  {0,3,0}     36    1
115   422    30    33  0.224181  {0,1,0}     38    1
125   424    68    69  0.286260  {0,2,0}     29    0
43    436   119   169  0.433272  {0,3,0}     40    1
11    442   116   117  0.326714  {1,1,0}     36    1
8     466   240   242  0.315589  {0,2,0}     24    1
16    486    57    61  0.369226  {1,0,0}     22    0
7     528    16    17  0.503589  {1,1,0}     20    1
34    538   141   142  0.829849  {1,0,0}     21    1
104   542   112   113  0.840926  {1,0,0}     40    1
53    546   160   163  0.623808  {0,2,0}     24    1
70    547   104   106  0.833228  {0,0,1}     23    0
77    550    15    17  0.233013  {0,1,1}     36    1
109   551     6    27  0.834242  {1,0,0}     32    1
13    594   210   211  0.140186  {1,0,0}     33    1
20    602     1     2  0.768130  {1,1,0}     36    1
6     602   102   103  0.901600  {0,2,0}     35    1
60    614    59    60  0.561130  {0,1,0}     27    1
57    647    61    62  0.693906  {0,3,0}     31    0
14    648    10    41  0.410660  {1,1,0}     40    1
5     651   106   107  0.000286  {0,0,1}     28    0
41    651   232   233  0.247566  {1,1,0}     20    1
127   655    23   229  0.608783  {1,2,0}     24    1
117   664     4    22  0.007018  {1,1,0}     23    1
95    671    20    21  0.742854  {0,3,0}     33    1
79    671    57    61  0.639880  {0,2,0}     31    0
63    672    60    67  0.442775  {0,3,0}     25    0
102   677   212   243  0.122900  {0,1,0}     34    1
42    681    93    94  0.033606  {0,2,0}     26    0
85    683   132   133  0.155369  {1,0,0}     29    1
3     686     3     4  0.993829  {0,3,0}     24    1
76    687    22    24  0.225081  {0,1,0}     22    1
90    689    50    52  0.447497  {0,2,0}     21    1
83    694   246   247  0.060725  {0,2,0}     35    0
65    695    91    92  0.393606  {1,0,0}     22    1
17    698   144   145  0.335732  {0,3,0}     21    0
26    700   198   200  0.719303  {0,1,0}     21    1
58    703   106   108  0.698572  {1,0,0}     38    1
69    705    24    26  0.664655  {0,2,0}     28    0
108   708    11    42  0.233044  {0,3,0}     27    1
0     713    54    55  0.579084  {0,1,0}     24    0
123   713     2    14  0.396212  {0,2,0}     28    0
116   724    54    55  0.347066  {0,2,0}     30    1
55    724   244   249  0.039537  {1,1,0}     39    1
97    735   121   123  0.541477  {1,1,0}     29    1
44    736    98   131  0.795760  {0,1,0}     36    1
126   746   207   208  0.922169  {1,0,0}     32    1
62    750   132   133  0.915860  {0,1,0}     40    0
49    767   244   248  0.499603  {1,1,0}     26    1
9     794     5    23  0.301661  {0,1,1}     39    1
48    799   196   203  0.278811  {1,0,0}     39    1
82    827   162   167  0.180933  {0,3,0}     28    0
80    837   146   147  0.863829  {1,1,0}     31    1
19    841   228   230  0.637783  {1,0,0}     28    1
99    847    11    42  0.502315  {0,3,0}     34    0
110   851   210   212  0.780122  {0,1,0}     20    1
29    866   116   120  0.219215  {1,1,0}     28    1
88    882    23   229  0.114562  {0,1,0}     38    1
21    893    98   131  0.039206  {0,1,0}     39    0
39    897   138   139  0.070063  {1,1,0}     29    1
27    898    98   130  0.162956  {0,1,1}     25    0
74    899   154   155  0.093296  {1,1,0}     26    1
119   902   245   246  0.577426  {0,1,0}     27    1
45    905   175   176  0.169728  {1,0,0}     39    1
51    911   234   236  0.028721  {0,0,1}     36    0
113   916    63    64  0.149292  {1,0,0}     35    1
87    920   142   143  0.292975  {0,3,0}     30    1
12    920    59    71  0.408525  {1,1,0}     29    1
121   922   241   242  0.066084  {0,3,0}     23    1
32    932    75    77  0.012571  {0,2,0}     21    1
61    988   204   209  0.672957  {0,1,0}     20    1
33    994   204   205  0.834043  {1,1,0}     20    1
72   1008    55    56  0.477277  {0,3,0}     39    0
106  1008   115   122  0.542395  {0,1,0}     31    1
15   1016    68    79  0.091705  {1,0,0}     37    1
38   1020    98   130  0.153163  {0,2,0}     35    1
84   1029    16    18  0.954519  {0,0,1}     24    0
81   1049     4    22  0.020761  {1,3,0}     27    1
111  1050    78    79  0.947279  {1,1,0}     37    1
100  1057    59    60  0.180569  {0,1,0}     24    0
30   1083   184   185  0.505893  {0,2,0}     23    1
37   1086    18    19  0.326640  {1,1,0}     31    1
92   1094    83    85  0.477906  {0,1,0}     25    0
73   1103    65    92  0.404238  {1,1,0}     25    1
31   1122    81    84  0.701472  {1,0,0}     38    1
25   1124    29    30  0.312555  {0,0,1}     20    1
56   1163   123   124  0.833926  {0,3,0}     26    1
66   1174    86    87  0.534572  {0,2,0}     32    1
89   1202    88    89  0.113830  {1,1,0}     31    1
36   1242    85    86  0.606802  {0,2,0}     21    1
2    1262   118   119  0.608146  {1,0,0}     26    1
4    1272   191   193  0.247304  {0,2,0}     25    0
18   1286   238   240  0.836544  {1,3,0}     37    1
96   1299    41    51  0.700720  {0,1,0}     34    1
23   1318   225   226  0.710463  {1,1,0}     23    1
71   1324    47    64  0.267087  {0,2,0}     26    1
120  1337   178   179  0.532110  {0,1,0}     24    0
59   1340    50    52  0.598591  {0,1,0}     32    0
67   1354   240   242  0.839801  {1,0,0}     25    1
94   1377   136   137  0.649530  {0,1,0}     30    1
114  1380    32    33  0.209072  {0,1,0}     27    1
50   1380    39    40  0.473164  {0,3,0}     36    0
124  1386   121   122  0.774081  {0,1,0}     24    0
93   1398   139   141  0.158412  {0,1,0}     37    1
98   1406    48    49  0.651903  {0,1,0}     37    1
