map EGL-G1-E
fac 5 10 {0,177,152,42,144}
hosp 2 {0,113}
n_ALS 9 1 {5:152,2:42,2:144}
n_BLS 16 1 {4:0,4:177,1:152,4:42,3:144}
n_CLS 8 0 {1:0,1:177,1:152,1:42,4:144}
      c_m  head  tail      c_af      c_d  c_tau  c_h
109    73    81    82  0.286431  {0,1,0}     28    1
46     94   180   181  0.945538  {0,2,0}     39    0
32    100   238   240  0.950582  {0,1,0}     25    1
116   106   126   127  0.292422  {0,3,0}     36    1
68    117   102   103  0.137747  {1,1,0}     21    1
69    163    17    19  0.061294  {1,0,0}     32    1
15    164   105   107  0.395583  {0,0,1}     31    1
70    170   151   154  0.020055  {1,1,0}     32    1
14    178    31    38  0.890056  {0,1,0}     40    0
118   221   107   108  0.973802  {1,0,0}     37    1
8     243   195   196  0.262150  {0,1,1}     23    0
22    360    81    84  0.645891  {1,0,0}     32    1
39    379   237   238  0.290537  {0,1,1}     27    0
117   385   128   129  0.462942  {0,0,1}     21    0
71    410   124   125  0.441929  {0,1,0}     23    1
97    468   177   184  0.410500  {0,1,0}     37    0
26    468   197   198  0.793710  {1,1,0}     30    1
103   475   196   197  0.083267  {1,0,0}     39    1
66    481     5    26  0.702955  {0,2,0}     21    1
30    503   129   130  0.375808  {0,2,0}     36    0
47    519    75    77  0.936108  {0,0,1}     38    1
100   527   129   130  0.406997  {0,1,0}     20    1
86    527    89    91  0.285524  {1,1,0}     35    1
20    529    86    87  0.710354  {0,3,0}     30    1
107   530   157   158  0.522368  {0,2,0}     30    0
64    536    96   114  0.530610  {1,0,0}     34    1
72    538    54    55  0.017600  {0,2,0}     40    0
35    546    29    30  0.874984  {0,2,0}     38    0
33    555    23    86  0.833287  {0,0,1}     32    1
82    557    18    19  0.524167  {0,0,1}     29    1
10    557   231   236  0.212920  {0,1,0}     36    0
98    559   238   240  0.864614  {0,3,0}     20    0
124   565   127   138  0.592289  {0,1,1}     36    1
120   573   176   179  0.631028  {0,1,0}     25    0
9     609     1    12  0.669930  {1,1,0}     30    1
43    609     9    34  0.405230  {0,2,0}     22    1
6     609    13    14  0.357583  {0,2,0}     24    1
34    625   232   234  0.483859  {1,1,0}     23    1
84    631   116   120  0.876099  {0,1,0}     34    1
61    639   240   241  0.708002  {1,0,0}     27    1
53    653   225   248  0.614033  {0,2,0}     34    0
36    664   149   150  0.743896  {0,2,0}     34    1
105   672   175   176  0.687061  {0,3,0}     35    0
38    680    14    15  0.941834  {0,2,0}     20    0
79    680    80    81  0.542935  {0,1,0}     21    1
96    681   210   211  0.605428  {0,3,0}     29    1
92    688     3    15  0.768808  {0,2,0}     27    1
11    689    91    92  0.234591  {0,3,0}     38    1
73    691   237   240  0.270884  {0,2,0}     28    1
48    696    24    26  0.471886  {0,1,0}     22    1
0     709    65    91  0.608906  {0,2,0}     35    1
119   717    36    37  0.522663  {0,2,0}     21    0
94    722   100   111  0.215178  {0,1,0}     35    0
101   740     9    10  0.981392  {1,0,0}     31    1
28    747   244   245  0.728121  {1,1,0}     32    1
49    760   171   172  0.919801  {0,1,0}     31    0
24    765    85    86  0.454145  {1,3,0}     37    1
85    768   173   181  0.455608  {0,1,0}     24    1
17    774   195   196  0.420946  {0,1,0}     30    0
21    779    46    47  0.573921  {0,2,0}     21    1
78    779   213   214  0.066249  {0,1,0}     32    1
56    784   112   114  0.443250  {0,2,0}     27    1
77    796    96   111  0.285259  {1,0,0}     26    1
62    803    50    52  0.134956  {0,2,0}     33    0
59    825   119   161  0.482624  {0,1,0}     33    0
57    839    37    74  0.044049  {0,1,1}     23    1
113   840   179   180  0.403743  {0,3,0}     34    1
42    840    17    22  0.048603  {0,3,0}     22    0
4     844   157   158  0.044258  {1,1,0}     29    1
93    851   212   243  0.585579  {0,2,0}     34    1
19    852    65    66  0.402612  {0,2,0}     22    0
55    878   115   116  0.271289  {0,1,0}     25    1
106   886   246   248  0.532201  {1,1,0}     33    1
27    891   157   158  0.969447  {0,1,1}     36    0
29    892   129   130  0.453832  {0,1,1}     23    0
87    903    13    14  0.993480  {0,1,0}     27    1
104   910    85    86  0.093342  {1,2,0}     27    1
111   921    94    95  0.082913  {0,3,0}     24    1
90    924   149   150  0.612887  {0,2,0}     33    0
52    926   150   152  0.728607  {0,0,1}     34    1
25    951    83    85  0.565638  {0,1,0}     26    0
74    967   176   179  0.650296  {0,2,0}     37    1
1     968    47    48  0.013940  {0,1,0}     21    1
67    973   101   102  0.209725  {0,3,0}     38    0
95    996    95    97  0.605642  {1,1,0}     40    1
122  1011   121   123  0.538913  {0,3,0}     31    1
3    1020   226   227  0.172047  {1,1,0}     21    1
112  1025    32    33  0.858702  {0,3,0}     37    1
45   1028    85    86  0.268364  {0,1,0}     24    0
7    1038   199   202  0.379741  {0,1,0}     40    1
13   1048   210   212  0.177943  {0,1,0}     23    1
114  1059    39    40  0.516088  {0,2,0}     22    1
12   1069     3     4  0.510011  {0,1,0}     30    1
40   1069    57    61  0.460168  {1,1,0}     25    1
121  1075   170   171  0.873759  {0,1,0}     27    0
91   1085    43    45  0.803477  {0,2,0}     23    1
89   1090   207   208  0.349176  {1,1,0}     20    1
88   1108    88    96  0.292492  {0,2,0}     31    0
76   1109    18    19  0.295178  {0,2,0}     31    1
108  1109    29    31  0.951554  {1,0,0}     32    0
81   1116   190   192  0.260635  {1,0,0}     22    1
50   1126   114   115  0.841004  {1,0,0}     32    1
54   1127   226   227  0.209812  {1,0,0}     30    1
125  1131    95    97  0.083865  {0,1,0}     24    0
41   1133   134   146  0.196878  {0,2,0}     20    0
31   1135    46    47  0.624933  {1,0,0}     30    1
5    1137   173   181  0.847867  {1,0,0}     24    1
75   1140    24    25  0.717165  {0,2,0}     32    1
115  1145   116   120  0.044300  {1,1,0}     33    1
37   1172   199   201  0.939387  {0,1,0}     40    1
60   1173    85    86  0.948160  {0,2,0}     34    1
44   1190   242   245  0.113242  {0,0,1}     38    1
83   1215    90    91  0.191952  {1,1,0}     31    1
99   1222    45    46  0.213687  {0,2,0}     38    0
58   1248   145   146  0.169768  {0,1,0}     25    1
16   1255    39    52  0.567639  {0,1,1}     23    1
