map EGL-G1-E
fac 5 10 {0,225,242,30,11}
hosp 2 {0,161}
n_ALS 9 1 {3:225,2:242,2:30,2:11}
n_BLS 24 1 {5:0,7:225,3:242,4:30,5:11}
n_CLS 7 0 {4:0,1:242,2:11}
      c_m  head  tail      c_af      c_d  c_tau  c_h
93     16    66    68  0.060798  {1,1,0}     23    1
30     26   212   243  0.765488  {1,0,0}     32    1
88     34   176   180  0.268547  {0,3,0}     39    0
57     39   231   236  0.845587  {0,2,0}     27    1
105    40    88    89  0.732855  {0,2,0}     31    1
60     47    25    26  0.548952  {0,0,1}     34    0
108    72   226   227  0.383246  {1,0,0}     40    1
99     95    95    97  0.181218  {0,3,0}     25    1
97    129   191   194  0.724913  {0,3,0}     29    1
29    143   144   145  0.052114  {0,3,0}     23    1
80    158    96   111  0.773610  {0,0,1}     40    0
67    163    19    20  0.201241  {0,1,0}     40    0
109   172    54    58  0.527402  {0,1,0}     28    0
59    192   211   213  0.669883  {0,2,0}     22    1
13    222     1     2  0.521972  {1,1,0}     27    1
49    227   237   240  0.604531  {1,1,0}     35    1
86    243   207   209  0.599196  {0,1,0}     28    0
76    249    56    57  0.437351  {0,1,1}     39    1
36    343   216   217  0.333773  {1,0,0}     39    1
44    348    39    40  0.483483  {0,2,0}     20    1
84    375    96    97  0.207745  {0,0,1}     23    1
104   433   153   157  0.448745  {0,3,0}     31    0
100   438   246   247  0.015170  {0,2,0}     26    0
87    442    43    46  0.866757  {0,1,0}     26    1
10    448    49    56  0.649957  {0,1,1}     24    0
123   478   170   171  0.957662  {0,2,0}     21    0
19    485    97   126  0.309267  {1,0,0}     36    1
26    489   169   173  0.702489  {0,3,0}     22    1
40    494   105   117  0.678051  {1,1,0}     29    1
50    503     1     2  0.650032  {0,3,0}     26    0
116   511   102   103  0.810783  {0,2,0}     40    1
0     519    63    64  0.494890  {0,1,1}     29    0
69    520     3    15  0.010671  {0,2,0}     39    0
124   539    45    46  0.247458  {0,2,0}     38    1
115   544   193   194  0.037495  {1,1,0}     20    1
5     556   128   137  0.433983  {0,2,0}     38    0
101   567   195   197  0.551967  {0,1,0}     21    0
89    580   179   180  0.577817  {0,3,0}     36    1
73    587   127   138  0.866426  {0,2,0}     23    1
75    588     4     5  0.973304  {0,1,0}     21    1
27    594    96    97  0.110870  {0,2,0}     36    1
41    595   130   131  0.237958  {0,2,0}     22    1
96    614    39    52  0.398416  {1,1,0}     37    1
11    619   174   175  0.583507  {0,1,0}     31    1
28    619   153   157  0.296071  {0,2,0}     28    1
31    637   173   181  0.120370  {0,1,0}     36    1
127   639   116   117  0.325929  {0,1,0}     37    0
70    642   212   243  0.260101  {1,0,0}     20    1
82    650   127   138  0.693468  {1,1,0}     23    1
81    653   112   114  0.488616  {1,0,0}     28    1
103   654    70    72  0.057675  {0,1,0}     22    1
79    674   225   226  0.443711  {0,2,0}     30    1
46    685   129   136  0.875828  {0,2,0}     27    0
23    694   116   117  0.125413  {0,2,0}     28    1
52    697    55    56  0.203651  {0,1,0}     40    0
24    710   238   239  0.994605  {0,1,0}     25    1
117   713   145   146  0.808356  {0,1,0}     24    1
119   715   245   246  0.022615  {0,2,0}     26    0
1     750   128   137  0.260825  {0,0,1}     28    0
63    766   137   138  0.064220  {0,1,1}     39    1
20    774   228   229  0.294306  {0,1,0}     35    1
16    782    32    33  0.534843  {0,3,0}     25    0
55    795   191   194  0.933704  {0,1,0}     20    1
39    815   125   149  0.395257  {1,1,0}     27    1
38    829   144   147  0.423872  {0,1,0}     37    0
7     831    54    58  0.936935  {0,2,0}     38    0
121   839   116   118  0.010884  {1,1,0}     38    1
61    854    34    41  0.448794  {0,1,0}     40    0
53    865   196   203  0.735842  {0,1,0}     29    0
4     874    12    13  0.673512  {0,0,1}     34    1
92    877    22    24  0.063090  {1,1,0}     22    1
98    879   237   238  0.909014  {0,1,0}     32    1
94    893    73    74  0.527178  {0,2,0}     21    1
111   896   142   143  0.969887  {0,0,1}     37    1
45    902   150   152  0.560951  {0,2,0}     32    1
120   902    10    41  0.558254  {0,1,0}     39    1
54    903    11    42  0.306290  {0,3,0}     25    1
15    911    15    17  0.562091  {1,1,0}     23    1
107   911   238   239  0.133012  {0,2,0}     21    1
37    921    51    52  0.245845  {0,1,0}     23    1
65    925   147   148  0.164762  {1,0,0}     20    1
71    926    43    46  0.406868  {0,0,1}     40    1
22    951   186   187  0.147454  {0,1,0}     20    0
14    958    10    11  0.898033  {0,1,1}     20    0
33    976   140   141  0.704984  {0,0,1}     31    1
12    977    43    44  0.296232  {0,3,0}     27    0
106   998   117   118  0.152373  {0,2,0}     37    0
21   1006    45    46  0.960010  {0,2,0}     35    1
56   1024    38    40  0.559999  {0,1,1}     39    0
6    1025   138   139  0.760114  {0,1,0}     31    1
3    1025   134   135  0.985338  {0,3,0}     32    0
8    1045   234   236  0.572377  {0,1,1}     21    0
122  1062    19    25  0.267816  {1,0,0}     20    1
48   1066   158   159  0.343837  {0,3,0}     21    0
35   1076   212   218  0.102637  {1,1,0}     23    1
112  1086    46    47  0.588898  {1,0,0}     33    1
32   1093   207   209  0.254396  {0,3,0}     30    0
110  1095   137   138  0.182938  {1,0,0}     23    1
64   1124   108   109  0.118000  {0,1,0}     35    0
126  1141   238   239  0.298637  {0,1,0}     20    1
85   1152     3    15  0.422940  {1,1,0}     23    1
25   1154    17    19  0.347365  {0,2,0}     21    1
42   1159    70    72  0.722311  {1,0,0}     21    1
34   1163   222   225  0.174731  {1,1,0}     21    1
68   1166   246   248  0.824050  {1,1,0}     34    1
18   1167   116   117  0.465859  {1,0,0}     37    1
77   1176    82    83  0.672226  {0,3,0}     20    1
62   1181   124   149  0.078506  {0,1,1}     31    0
118  1187    32    33  0.477676  {1,0,0}     30    0
78   1188   220   222  0.380194  {1,0,0}     34    1
72   1194    59    60  0.238113  {0,3,0}     28    1
9    1195    19    20  0.644466  {1,0,0}     36    1
47   1215    81    84  0.329402  {1,0,0}     20    1
51   1235    39    72  0.861251  {0,2,0}     35    0
102  1239   190   191  0.331254  {0,3,0}     30    1
74   1245    12    13  0.505934  {0,2,0}     21    0
83   1248     7    30  0.671728  {0,3,0}     27    1
95   1269   157   158  0.844757  {1,1,0}     25    1
58   1273   129   130  0.625788  {0,1,0}     30    1
2    1274   211   213  0.852616  {0,3,0}     21    1
114  1291   114   115  0.008622  {1,0,0}     32    1
113  1292    81    84  0.753356  {0,2,0}     30    0
125  1351   207   209  0.976576  {0,2,0}     29    1
43   1353   120   121  0.875840  {1,0,0}     31    0
91   1359   242   245  0.664407  {0,3,0}     27    1
90   1375    68    69  0.570459  {0,2,0}     30    1
