map EGL-G1-E
fac 5 10 {0,105,118,36,10}
hosp 1 {0}
n_ALS 5 1 {3:0,2:10}
n_BLS 18 1 {2:0,4:105,4:118,4:36,4:10}
n_CLS 5 0 {1:0,2:118,2:10}
      c_m  head  tail      c_af      c_d  c_tau  c_h
63      1    80    88  0.561161  {0,1,0}     27    0
2       1    89    90  0.142892  {1,1,0}     29    1
46      9   155   161  0.314151  {1,0,0}     21    1
103    12   231   236  0.468710  {0,3,0}     30    1
79     19   125   149  0.508392  {0,2,0}     29    0
32     27   227   228  0.647288  {0,3,0}     22    0
24     28   140   141  0.237848  {0,3,0}     22    0
97     40   244   245  0.906953  {0,1,0}     27    1
109    45   160   163  0.438499  {0,1,0}     29    1
93     50    45    64  0.705996  {0,0,1}     27    1
84     54    60    67  0.632817  {0,0,1}     26    0
75     55   203   210  0.730522  {0,1,1}     40    1
125    56    90    91  0.324356  {0,2,0}     26    1
112    73   225   226  0.258480  {0,2,0}     37    1
72     82   174   176  0.334737  {0,3,0}     33    1
89     86   245   246  0.625941  {0,3,0}     40    1
59    139   116   120  0.196582  {0,3,0}     29    1
21    160    68    79  0.671602  {0,1,0}     38    1
115   201    55    56  0.204903  {0,1,0}     37    1
74    215   244   248  0.949401  {0,2,0}     29    1
25    230   215   216  0.528027  {0,1,0}     38    1
50    262   191   194  0.625055  {0,0,1}     37    0
15    319   105   117  0.651037  {0,1,1}     26    0
52    347   103   104  0.729727  {1,2,0}     30    1
122   367   178   183  0.726274  {0,2,0}     25    0
96    376   225   227  0.209867  {0,2,0}     34    0
113   389   189   241  0.751752  {1,1,0}     29    1
14    399    70    72  0.442900  {1,0,0}     26    1
45    399   156   162  0.205247  {0,1,0}     31    1
65    435   165   174  0.321785  {0,1,0}     27    0
53    445   196   197  0.589175  {0,1,0}     40    1
27    449   156   162  0.562679  {0,1,0}     31    1
99    467     8     9  0.176403  {1,0,0}     28    0
41    470   223   224  0.213684  {0,2,0}     39    1
29    470    48    57  0.243376  {0,1,0}     37    1
92    490   229   230  0.458950  {1,0,0}     33    0
19    496   192   193  0.981235  {0,2,0}     25    1
16    507   131   132  0.806868  {1,2,0}     25    1
17    517   101   110  0.208395  {0,1,1}     39    0
30    541   104   106  0.173124  {1,1,0}     31    1
82    544   170   171  0.174325  {0,1,1}     37    1
80    553   190   192  0.561409  {0,1,0}     32    0
126   556   129   136  0.385225  {1,1,0}     38    1
106   559   103   104  0.131908  {0,2,0}     26    1
26    587    17    22  0.191283  {0,1,0}     27    1
6     597    73    75  0.613439  {0,0,1}     29    1
105   617    81    82  0.899773  {0,2,0}     26    1
124   624   112   114  0.061213  {0,1,0}     30    1
57    641    36    39  0.770115  {0,2,0}     32    1
40    642   150   151  0.997114  {0,0,1}     32    0
87    664    66    68  0.626845  {0,1,0}     35    1
31    675   125   149  0.048900  {0,2,0}     33    1
102   678    13    14  0.579050  {0,2,0}     36    0
88    684   166   167  0.840553  {0,3,0}     20    1
121   688   105   117  0.661169  {0,2,0}     26    1
95    698     2    14  0.850022  {0,3,0}     31    0
5     705    59    71  0.863193  {0,1,0}     22    1
43    706   124   125  0.227188  {1,1,0}     38    1
120   745   193   194  0.161795  {0,1,0}     31    1
11    747    50    53  0.413089  {0,1,0}     32    1
58    748   115   116  0.130285  {0,1,1}     29    1
47    754    57    61  0.488967  {0,2,0}     30    1
37    756   102   110  0.282747  {0,2,0}     24    0
83    765    57    61  0.099252  {0,1,0}     20    1
34    771   131   132  0.400628  {1,0,0}     39    1
127   780   151   152  0.420249  {1,0,0}     29    1
33    780    82    83  0.482926  {0,0,1}     27    1
71    783   189   241  0.791535  {0,0,1}     40    1
66    785   244   245  0.529323  {0,2,0}     36    1
22    787    65    92  0.832621  {0,1,0}     21    0
36    793   140   141  0.676607  {1,1,0}     21    1
10    797    23   229  0.108427  {0,2,0}     31    0
42    815   100   111  0.862212  {0,0,1}     22    0
0     822   180   181  0.686582  {0,0,1}     33    0
1     837   237   240  0.028696  {0,1,0}     22    1
108   860   167   175  0.110789  {0,1,0}     37    1
35    862    82    83  0.575136  {1,0,0}     31    1
13    862    20    21  0.834830  {0,2,0}     22    1
44    870   246   248  0.273861  {0,3,0}     40    1
39    880   132   134  0.408101  {0,1,0}     27    1
55    881    41    51  0.512635  {0,1,0}     31    0
101   884    36    37  0.501922  {1,2,0}     35    1
12    894    15    17  0.796210  {1,0,0}     37    1
78    899   138   139  0.625768  {0,3,0}     32    1
117   904    50    51  0.993136  {1,3,0}     30    1
23    912   140   149  0.940960  {1,0,0}     31    1
7     940   198   199  0.883726  {0,0,1}     25    1
48    958   144   147  0.585887  {0,1,0}     30    1
67    958   212   243  0.045796  {0,2,0}     27    0
86    983    53    55  0.885778  {0,2,0}     28    1
81    985   160   164  0.979558  {0,1,0}     31    1
60   1004   213   214  0.567068  {1,1,0}     20    1
119  1017   145   146  0.974871  {0,1,0}     37    0
107  1037   150   151  0.560424  {1,0,0}     22    1
114  1040   226   227  0.805633  {1,0,0}     39    1
70   1041   222   223  0.944397  {1,0,0}     20    1
49   1055     2     3  0.022621  {0,1,1}     28    1
62   1055    88    89  0.788912  {1,1,0}     32    1
100  1068   134   146  0.709273  {1,0,0}     32    1
85   1070   185   186  0.362731  {0,1,0}     40    1
94   1076   103   104  0.637855  {1,1,0}     24    1
9    1078    32    34  0.359014  {0,1,1}     36    0
8    1083   190   191  0.575571  {0,2,0}     40    1
90   1105   170   171  0.150214  {0,1,0}     25    0
64   1119    89    90  0.568258  {0,1,0}     22    1
38   1148   117   118  0.845791  {1,1,0}     34    1
20   1173    95    97  0.246679  {0,2,0}     30    1
91   1180    70    72  0.778513  {0,2,0}     29    1
68   1181    91    92  0.782147  {1,1,0}     21    1
18   1189    54    55  0.877554  {1,1,0}     34    1
116  1192   191   194  0.060113  {0,2,0}     39    1
118  1201    92    93  0.909098  {1,1,0}     38    1
76   1202    40    41  0.798774  {0,3,0}     31    1
61   1211    53    55  0.687082  {0,2,0}     33    1
73   1255   193   194  0.155310  {1,1,0}     33    1
56   1257   215   216  0.690171  {0,1,0}     24    0
3    1260   149   150  0.368490  {0,2,0}     22    1
110  1274    69    70  0.477481  {1,1,0}     25    1
28   1285   193   194  0.395465  {1,0,0}     26    1
54   1296   105   117  0.633020  {0,1,1}     31    0
