map EGL-G1-A
fac 5 10 {0,78,181,137,203}
hosp 3 {0,124,202}
n_ALS 8 1 {1:0,4:181,3:203}
n_BLS 24 1 {4:0,5:78,6:181,3:137,6:203}
n_CLS 5 0 {3:0,1:78,1:203}
      c_m  head  tail      c_af      c_d  c_tau  c_h
2      20    32    33  0.659560  {0,2,0}     32    1
29     21   186   187  0.572635  {1,1,0}     37    1
122    37   222   225  0.627106  {1,1,0}     36    1
76     39   114   115  0.548227  {0,1,0}     35    0
48     97   121   123  0.166494  {0,1,0}     22    1
124   147   213   214  0.960290  {0,1,1}     35    1
66    156     0     1  0.882639  {1,0,0}     39    1
51    203   164   165  0.441488  {1,0,0}     25    1
15    212   110   113  0.381559  {1,1,0}     34    1
99    287   211   212  0.318588  {0,1,0}     34    0
21    291   174   176  0.177394  {0,2,0}     24    1
102   295    39    72  0.406795  {0,1,0}     26    1
18    296     9    10  0.647947  {0,3,0}     25    0
116   299     2    14  0.030443  {0,0,1}     22    0
38    349    48    57  0.146011  {0,2,0}     23    1
72    356   212   243  0.686791  {0,1,0}     24    1
91    375   161   162  0.685462  {0,3,0}     23    1
44    390   105   107  0.067274  {0,2,0}     40    1
92    393    34    41  0.570301  {0,1,0}     34    0
115   393   129   130  0.535234  {0,1,0}     27    1
80    411    39    40  0.202150  {0,1,0}     40    1
23    443    98    99  0.634408  {1,0,0}     23    1
9     476    31    32  0.002798  {0,1,1}     33    0
117   489   110   113  0.961314  {1,1,0}     26    1
123   507   130   131  0.289756  {0,2,0}     20    0
103   546    90    95  0.075994  {0,3,0}     36    0
75    551   119   169  0.169053  {0,1,0}     36    1
27    562    84   100  0.491504  {0,3,0}     27    0
89    572    23   170  0.343839  {0,0,1}     25    1
65    572   124   125  0.022324  {0,2,0}     34    1
49    582    39    40  0.248828  {0,0,1}     26    1
28    593    48    57  0.960457  {0,1,0}     40    1
126   604   135   145  0.312363  {1,0,0}     29    1
86    606    59    71  0.105149  {0,1,0}     26    1
81    608    78    79  0.912263  {0,2,0}     30    1
26    608   171   172  0.777872  {0,1,0}     40    0
105   614   114   115  0.607714  {0,3,0}     27    0
11    618   213   214  0.149428  {0,1,1}     34    1
4     630   242   245  0.572623  {0,0,1}     36    0
84    637    65    92  0.916256  {0,1,0}     39    1
16    640   222   225  0.846502  {0,2,0}     22    1
68    646   226   227  0.747334  {0,3,0}     21    1
95    664   132   134  0.350658  {0,2,0}     26    0
40    671    82    83  0.643533  {1,0,0}     21    1
58    673    57    61  0.067584  {0,2,0}     21    1
37    677   157   159  0.305847  {1,1,0}     36    1
120   693    51    52  0.586535  {0,2,0}     32    0
7     699   116   117  0.537848  {0,3,0}     30    1
108   702    39    72  0.838422  {0,2,0}     24    1
50    709    91    92  0.858758  {1,1,0}     22    1
24    729    17    22  0.015846  {0,2,0}     31    0
31    732    27    28  0.672533  {0,3,0}     34    1
45    744    96    97  0.707734  {0,2,0}     37    1
114   747    88    89  0.805149  {0,1,1}     23    1
107   757    23   149  0.654888  {0,3,0}     21    0
1     761   194   195  0.285610  {1,0,0}     37    1
56    767   228   229  0.040704  {0,2,0}     33    1
64    769   112   113  0.258604  {0,1,0}     37    0
30    770   128   129  0.181403  {0,3,0}     23    0
90    773    50    51  0.591791  {1,1,0}     34    1
35    775   112   113  0.514913  {1,0,0}     24    1
74    793   198   199  0.385731  {0,3,0}     37    1
22    796    98   131  0.252465  {0,0,1}     30    1
19    804    13    14  0.233878  {0,2,0}     32    1
88    822   141   142  0.804385  {0,1,0}     40    0
121   837   225   226  0.083486  {1,1,0}     28    1
33    845   162   166  0.251659  {1,1,0}     23    1
53    849   212   243  0.293016  {1,1,0}     40    1
46    850     9    10  0.566347  {0,2,0}     33    0
96    850   150   152  0.722124  {1,0,0}     34    1
106   854   225   226  0.694772  {0,1,0}     32    0
85    855   178   179  0.568385  {1,1,0}     39    1
111   856   245   246  0.695583  {0,1,0}     23    0
5     857   226   227  0.131454  {0,1,0}     26    0
59    860   153   157  0.701683  {0,3,0}     24    0
79    865    36    37  0.509902  {1,1,0}     32    1
125   877     9    10  0.377604  {0,2,0}     40    1
100   877     4     5  0.369250  {1,2,0}     34    1
42    878   202   203  0.813965  {0,3,0}     28    1
70    887    72    73  0.292882  {0,1,0}     21    0
32    889    27    28  0.980598  {0,2,0}     38    1
13    891    35    36  0.355059  {1,0,0}     20    1
54    908   165   177  0.734710  {0,2,0}     24    0
94    911   116   118  0.174018  {1,1,0}     37    1
14    924   112   113  0.044869  {0,1,0}     27    1
113   931    62    63  0.640104  {0,3,0}     37    1
10    945     1    12  0.960168  {0,1,0}     24    0
25    971    27    30  0.349470  {1,1,0}     25    1
73    990     9    10  0.466369  {1,1,0}     33    1
78    991   244   245  0.558114  {0,1,1}     24    1
55   1007   194   195  0.989849  {0,3,0}     27    1
12   1008    66    67  0.422102  {1,0,0}     40    1
62   1014   118   119  0.295748  {1,1,0}     30    1
63   1026   100   111  0.464402  {0,3,0}     37    1
109  1029   174   176  0.301562  {1,0,0}     30    1
69   1036   140   149  0.652696  {0,2,0}     36    1
104  1054   127   138  0.968683  {0,1,0}     36    1
71   1056   127   128  0.704071  {0,1,0}     27    1
8    1061   212   243  0.626207  {0,0,1}     29    1
118  1061   237   238  0.715043  {1,3,0}     40    1
41   1062   178   182  0.219459  {1,1,0}     23    1
20   1091   155   156  0.422812  {0,3,0}     39    1
67   1113   158   159  0.003290  {0,1,1}     32    1
17   1138   124   149  0.908972  {0,1,0}     23    1
36   1142   207   209  0.298000  {0,3,0}     38    1
3    1149    63    64  0.010782  {0,2,0}     40    1
112  1171    66    68  0.422748  {1,1,0}     34    1
127  1184   193   194  0.469803  {1,2,0}     39    1
57   1188    10    11  0.610082  {0,0,1}     20    1
93   1197   124   125  0.914062  {0,1,0}     26    0
77   1197   210   212  0.157226  {1,1,0}     38    1
61   1201     8     9  0.352630  {0,1,0}     27    1
110  1213     2    14  0.583902  {0,3,0}     26    1
43   1253    81    84  0.785983  {0,1,0}     28    1
60   1254    67    68  0.005564  {1,0,0}     26    1
52   1259   128   137  0.019762  {0,1,0}     27    0
0    1268   212   243  0.788468  {0,1,0}     37    1
