map EGL-G2-A
fac 5 10 {0,3,151,116,82}
hosp 1 {0}
n_ALS 6 1 {1:0,1:3,1:151,2:116,1:82}
n_BLS 17 1 {7:0,3:3,3:116,4:82}
n_CLS 8 0 {1:0,3:116,4:82}
      c_m  head  tail      c_af      c_d  c_tau  c_h
21      0    71    73  0.173195  {1,1,0}     20    1
65      1   103   104  0.653833  {1,0,0}     33    1
5      17    58    59  0.610353  {0,3,0}     31    1
122    26    13    14  0.242853  {0,1,0}     31    1
50     35   221   222  0.219773  {1,1,0}     27    1
60     70   148   149  0.252567  {0,2,0}     34    0
24     92   200   201  0.061139  {1,3,0}     31    1
27    103   195   248  0.850051  {0,2,0}     29    1
13    129    32    33  0.537790  {1,0,0}     28    1
85    139    68    69  0.312445  {0,1,0}     23    1
26    147   252   253  0.186791  {1,1,0}     29    1
9     175    49    50  0.579313  {0,3,0}     33    0
73    288    95    96  0.520610  {0,3,0}     27    1
117   315    90    91  0.313704  {0,1,0}     34    0
40    318   104   105  0.541505  {1,1,0}     26    1
56    350   166   175  0.426807  {1,1,0}     25    1
75    384    59    60  0.221858  {0,1,0}     28    1
64    411    76    78  0.511177  {0,1,0}     20    0
57    420   196   198  0.773599  {1,1,0}     22    1
59    423    12    16  0.737655  {1,0,0}     28    1
15    427   244   245  0.384003  {0,2,0}     27    1
96    431   117   118  0.441232  {0,2,0}     32    1
123   437    84    86  0.956458  {0,3,0}     27    1
25    457    23   171  0.885599  {0,2,0}     27    1
88    458    60    68  0.817421  {0,0,1}     35    0
98    480   119   120  0.329105  {0,0,1}     26    1
109   481   189   190  0.085843  {1,3,0}     40    0
118   501    82    83  0.741884  {0,1,0}     38    0
90    522    32    34  0.624829  {0,2,0}     40    1
6     527    12    16  0.556224  {0,3,0}     25    0
87    539   237   238  0.015390  {1,1,0}     30    1
30    549   122   124  0.998874  {0,3,0}     22    1
81    562   179   183  0.348087  {0,0,1}     38    1
92    563   159   160  0.863519  {1,1,0}     23    0
61    577   106   118  0.079410  {1,0,0}     26    1
44    596   246   247  0.150091  {0,1,1}     34    1
4     612   193   194  0.832013  {0,2,0}     39    1
102   634     6     7  0.379120  {1,0,0}     30    1
66    639   113   115  0.850486  {0,2,0}     21    1
114   643    66    92  0.802428  {0,3,0}     31    0
39    654   190   192  0.508832  {1,0,0}     38    1
11    655   163   167  0.669433  {0,1,0}     38    1
52    661    92    93  0.260127  {1,3,0}     32    1
80    663     5    23  0.417671  {1,1,0}     30    1
104   672   140   142  0.087729  {0,3,0}     38    0
12    681   172   173  0.102066  {0,1,0}     38    0
91    696    85   101  0.128509  {1,1,0}     37    1
107   726    56    57  0.857243  {0,3,0}     26    1
49    730   191   195  0.475722  {0,1,0}     38    1
47    732   216   218  0.563857  {0,3,0}     35    1
42    745     0    21  0.650685  {0,2,0}     35    1
127   751    35    36  0.457302  {0,1,0}     28    1
89    761   103   104  0.870711  {0,3,0}     36    0
1     767   228   229  0.617216  {0,2,0}     21    1
46    770    80    81  0.871724  {0,1,0}     21    0
2     783   166   175  0.665965  {0,3,0}     36    1
84    783    47    48  0.044203  {1,1,0}     23    1
78    787   101   102  0.918956  {0,1,0}     24    0
72    791    16    17  0.420373  {0,2,0}     39    1
33    792   204   205  0.747279  {0,1,0}     34    1
83    803    25    26  0.517816  {1,1,0}     31    1
126   813   128   139  0.805960  {1,1,0}     22    1
51    817    82    83  0.700467  {0,3,0}     38    1
101   824   172   173  0.635672  {0,1,0}     34    1
116   842    89    90  0.301859  {0,3,0}     37    1
103   857    53    54  0.724593  {1,0,0}     30    0
62    857    89    97  0.521373  {0,1,0}     20    0
53    865   143   145  0.044005  {0,0,1}     23    1
68    866    36    39  0.842587  {0,1,1}     33    1
28    867   227   229  0.672666  {0,2,0}     38    1
