map EGL-G2-A
fac 5 10 {0,48,233,82,43}
hosp 2 {0,30}
n_ALS 10 1 {3:0,3:48,1:233,3:43}
n_BLS 21 1 {4:0,5:48,7:82,5:43}
n_CLS 5 0 {1:0,2:48,2:233}
      c_m  head  tail      c_af      c_d  c_tau  c_h
42     14   125   152  0.519207  {0,1,0}     28    1
47     45   124   125  0.164612  {0,3,0}     40    1
4      82   178   185  0.824005  {0,0,1}     28    0
35    156   225   228  0.213360  {1,0,0}     35    1
76    157   228   230  0.015427  {1,0,0}     26    1
83    178   216   217  0.637637  {0,1,0}     40    0
66    199    91    96  0.194267  {0,3,0}     32    1
14    213   113   114  0.641747  {0,1,0}     20    0
18    254    39    40  0.247361  {0,1,0}     37    1
64    289    79    80  0.069813  {0,2,0}     34    1
8     301   104   105  0.725783  {0,1,0}     36    1
25    357    67    69  0.021418  {0,1,0}     26    1
58    366    95    96  0.639290  {0,2,0}     26    0
9     397    41    51  0.426392  {0,0,1}     23    1
125   439    27    28  0.541995  {0,1,0}     30    0
102   452   185   187  0.569134  {0,2,0}     38    1
104   455   201   202  0.998631  {0,2,0}     33    0
71    458    54    58  0.372340  {0,0,1}     26    0
108   474    78    82  0.771296  {0,1,1}     26    1
3     481     9    34  0.567523  {0,1,1}     25    0
32    482   143   144  0.948410  {1,1,0}     24    1
106   482   191   195  0.907735  {1,0,0}     30    1
41    492   157   163  0.556267  {0,2,0}     35    1
43    492   233   235  0.309731  {0,3,0}     38    0
54    496   227   229  0.187608  {0,3,0}     20    1
11    497   208   209  0.798135  {0,1,0}     25    1
79    498   237   238  0.013257  {0,1,0}     27    0
5     531    14    15  0.314610  {0,2,0}     28    1
81    533   227   233  0.761246  {1,0,0}     29    1
115   540    79    80  0.759750  {1,1,0}     37    1
118   545   248   249  0.054749  {1,1,0}     28    1
28    546   251   254  0.376502  {0,3,0}     27    1
112   547   244   253  0.634101  {1,3,0}     26    1
60    549    45    64  0.421981  {1,2,0}     31    1
86    550    70    79  0.162989  {0,1,0}     22    1
55    554   137   138  0.577142  {0,2,0}     39    0
103   584   158   159  0.511874  {0,2,0}     39    1
110   586   143   145  0.511234  {0,2,0}     38    1
