map EGL-G2-A
fac 5 10 {0,233,237,65,99}
hosp 2 {0,223}
n_ALS 7 1 {3:233,2:237,2:99}
n_BLS 20 1 {2:0,4:233,3:237,3:65,8:99}
n_CLS 8 0 {3:0,2:233,2:237,1:65}
      c_m  head  tail      c_af      c_d  c_tau  c_h
92     44    62    63  0.067927  {1,1,0}     39    1
75     69   172   173  0.208545  {0,1,0}     30    1
113    90     5    26  0.179200  {0,1,0}     20    0
16     99   133   135  0.039220  {0,1,0}     27    0
108   104    34    41  0.228170  {0,1,1}     29    0
23    161    61    65  0.578684  {0,3,0}     23    0
127   202   125   150  0.341310  {0,2,0}     26    1
55    256   240   242  0.805322  {0,1,0}     21    1
103   294    82    83  0.286154  {1,1,0}     23    1
60    349   179   184  0.960454  {0,1,0}     27    1
119   369   217   219  0.415118  {0,0,1}     24    1
18    373   174   189  0.708343  {0,2,0}     31    0
89    427   220   221  0.890932  {0,3,0}     26    1
14    430    98   127  0.381790  {0,1,0}     28    0
50    439   251   252  0.151775  {0,1,0}     31    1
3     459   158   159  0.124996  {1,1,0}     40    1
121   468     1    12  0.305988  {0,0,1}     37    1
90    499    80    81  0.303398  {0,2,0}     39    1
114   499   155   156  0.150157  {0,1,0}     23    0
95    515   216   217  0.221409  {0,2,0}     20    1
1     526   104   105  0.286994  {0,3,0}     24    1
111   540    37    75  0.768815  {0,1,0}     22    1
107   552    17    19  0.856586  {0,0,1}     22    0
48    559    39    40  0.331663  {0,1,0}     27    0
73    560   153   154  0.988935  {1,3,0}     26    1
63    566    36    37  0.373013  {1,1,0}     25    1
53    579   181   182  0.135567  {0,3,0}     31    1
15    582   197   199  0.233579  {0,2,0}     29    1
45    591   195   248  0.631825  {0,1,0}     24    1
126   593   143   145  0.869299  {0,2,0}     31    1
7     614    90    92  0.879265  {1,1,0}     31    1
125   616    15    17  0.287286  {1,1,0}     22    1
118   620    12    16  0.476887  {0,2,0}     40    0
44    626   116   123  0.953823  {1,0,0}     34    1
101   634    29    30  0.453327  {0,3,0}     30    0
0     652   239   240  0.798653  {1,1,0}     22    1
27    656    19    25  0.600088  {0,3,0}     38    1
100   673   129   138  0.779993  {0,3,0}     29    1
36    682   223   224  0.182107  {1,2,0}     32    1
49    687   216   218  0.594966  {0,2,0}     38    0
71    692   177   180  0.768983  {1,3,0}     20    1
88    700   186   188  0.371482  {0,0,1}     22    0
35    708   128   129  0.715828  {1,0,0}     36    1
2     711   121   155  0.959374  {0,3,0}     24    0
6     731   155   156  0.300196  {0,2,0}     26    1
34    747   104   105  0.949617  {0,2,0}     21    0
52    751   179   184  0.444962  {0,2,0}     22    0
64    756    20    21  0.044720  {0,2,0}     38    1
93    763   170   171  0.424800  {0,1,0}     35    1
59    772   164   169  0.135512  {1,0,0}     40    0
72    796    70    79  0.267153  {1,2,0}     22    1
84    796   112   113  0.069104  {0,2,0}     27    1
47    799    29    30  0.827050  {0,2,0}     38    1
28    809     6    27  0.206204  {0,3,0}     39    0
11    810   155   156  0.361252  {0,3,0}     38    0
5     813   211   212  0.809539  {1,3,0}     38    0
10    838   113   115  0.022372  {1,0,0}     33    1
82    844    23    87  0.213560  {1,1,0}     34    1
68    853   248   249  0.124170  {1,1,0}     27    1
26    863    24    26  0.624537  {0,3,0}     39    1
51    863     3    23  0.660947  {0,2,0}     34    1
57    870   121   122  0.400704  {1,0,0}     33    1
117   878    90    91  0.747787  {0,2,0}     33    1
104   879    85   101  0.241267  {0,2,0}     26    1
122   879    53    55  0.710289  {1,1,0}     29    1
58    880    59    72  0.005407  {1,0,0}     38    1
96    902   252   253  0.432431  {0,3,0}     24    1
99    910   166   167  0.030766  {0,1,0}     26    1
98    911    69    70  0.515497  {0,1,0}     35    0
91    917   216   218  0.134991  {1,1,0}     23    1
62    918    19    25  0.876398  {1,1,0}     24    1
120   924   108   109  0.610614  {0,2,0}     24    0
38    926   174   182  0.563050  {0,2,0}     21    1
13    948   157   161  0.310150  {1,1,0}     34    1
30    969   226   229  0.287389  {1,0,0}     37    1
123   973   191   195  0.410404  {1,0,0}     28    0
85    974   122   123  0.311207  {0,1,0}     32    0
54    975    53    54  0.542840  {1,1,0}     37    1
40    976    61    62  0.250886  {1,1,0}     22    1
29    978   164   165  0.556718  {0,1,0}     28    0
24    991    10    11  0.056172  {1,0,0}     26    1
4     996     7     8  0.245623  {0,3,0}     39    0
116  1003   248   249  0.625325  {0,0,1}     34    0
21   1004     0    21  0.362598  {0,3,0}     21    1
78   1010   112   113  0.034966  {0,2,0}     31    1
67   1016   143   145  0.681854  {0,0,1}     29    0
94   1018    49    56  0.449585  {1,0,0}     31    1
70   1032     5    23  0.902101  {0,3,0}     39    1
8    1041    71    72  0.037133  {0,3,0}     39    1
9    1042   145   146  0.123846  {0,2,0}     20    0
69   1047   239   240  0.052646  {0,1,0}     29    0
79   1051   159   160  0.751041  {0,2,0}     33    1
109  1057   202   203  0.864202  {0,1,1}     32    1
61   1065   117   118  0.512361  {0,0,1}     38    1
83   1071    70    71  0.460889  {0,2,0}     40    0
87   1083   204   206  0.280449  {1,0,0}     33    1
77   1083   162   163  0.517962  {0,2,0}     28    1
80   1089   195   248  0.836671  {0,1,0}     26    1
19   1094     5     6  0.477283  {0,1,0}     40    1
41   1095   208   209  0.694756  {0,0,1}     34    1
81   1127   158   159  0.928791  {1,1,0}     20    1
106  1136    36    37  0.302354  {1,0,0}     26    1
31   1142   227   231  0.290558  {0,1,1}     26    0
25   1156     1     2  0.056348  {1,0,0}     21    1
39   1157     3    15  0.836765  {1,0,0}     23    1
105  1172   111   114  0.042954  {0,2,0}     36    1
32   1221   251   254  0.695024  {0,1,1}     38    1
97   1225   117   118  0.669412  {0,2,0}     35    1
65   1233   125   152  0.139855  {1,2,0}     24    1
110  1236   132   133  0.615042  {0,3,0}     25    1
20   1244    76    77  0.063360  {0,1,0}     27    1
74   1245     5    26  0.744631  {0,3,0}     40    1
102  1246   217   218  0.647527  {0,1,0}     27    1
17   1264   101   112  0.421963  {0,1,0}     32    1
66   1266   234   235  0.273986  {0,1,0}     26    0
12   1282    93    94  0.420639  {0,2,0}     22    1
37   1283    99   132  0.232670  {0,2,0}     38    1
22   1283    10    41  0.637626  {0,3,0}     36    1
76   1291   125   126  0.419538  {1,0,0}     36    1
43   1309   107   108  0.120978  {1,0,0}     36    1
112  1314   124   125  0.717234  {1,1,0}     25    1
33   1315   164   169  0.337654  {1,0,0}     25    1
46   1351   221   222  0.647803  {0,0,1}     34    0
42   1352    65    66  0.828760  {0,3,0}     33    0
56   1354   195   248  0.620168  {0,2,0}     28    1
124  1360    96    98  0.368121  {0,1,0}     24    1
86   1396   153   154  0.681833  {0,1,0}     34    0
115  1426   220   221  0.928812  {1,3,0}     27    1
