map EGL-G2-A
fac 5 10 {0,161,109,188,38}
hosp 1 {0}
n_ALS 9 1 {2:0,1:161,2:109,2:188,2:38}
n_BLS 25 1 {3:0,5:161,5:109,8:188,4:38}
n_CLS 6 0 {2:0,3:161,1:38}
      c_m  head  tail      c_af      c_d  c_tau  c_h
73     34   157   161  0.390448  {0,0,1}     27    1
109    64     4     5  0.125349  {1,3,0}     30    1
122    96   103   111  0.009575  {0,1,0}     30    1
70    148    95    99  0.834266  {1,0,0}     22    1
8     189   167   168  0.599746  {0,2,0}     27    1
118   191   140   141  0.346330  {1,0,0}     25    1
97    199   200   201  0.200933  {0,2,0}     27    0
55    200    50    52  0.339846  {0,1,1}     23    1
34    200   154   158  0.398523  {0,1,0}     23    1
71    201    48    49  0.842339  {0,3,0}     35    0
117   225   115   116  0.337626  {1,0,0}     38    0
11    242     8    33  0.918172  {0,1,0}     40    0
72    333    24    26  0.922830  {0,1,1}     30    1
40    381    99   132  0.518563  {0,2,0}     33    0
90    410   152   155  0.201389  {0,2,0}     27    0
10    413   112   113  0.046332  {0,2,0}     24    1
4     422   128   129  0.687912  {0,3,0}     21    1
93    428    23    87  0.543326  {0,1,0}     22    1
102   434    57    61  0.000338  {0,3,0}     30    0
83    441    95    99  0.169572  {0,0,1}     21    0
37    468   209   216  0.299980  {1,1,0}     34    1
94    470   201   202  0.529070  {0,2,0}     25    1
124   489   233   235  0.335700  {1,1,0}     33    1
53    500    42    43  0.283946  {0,1,0}     26    0
127   516   216   218  0.520856  {0,1,0}     30    0
39    520   247   249  0.145361  {0,3,0}     39    1
30    530    54    55  0.908994  {0,3,0}     36    0
87    549    99   131  0.362457  {0,1,0}     22    0
78    550   252   253  0.748921  {0,1,0}     25    1
6     569    20    21  0.646833  {0,1,0}     36    1
77    569    20    21  0.438651  {0,0,1}     35    0
79    579    10    11  0.762939  {0,1,1}     35    1
89    591    55    56  0.367283  {1,1,0}     26    0
105   596     9    10  0.465602  {0,1,0}     23    1
18    606   133   135  0.073651  {0,2,0}     38    1
23    616   192   193  0.433777  {0,2,0}     26    1
15    625   218   225  0.171237  {0,2,0}     21    1
111   627   112   113  0.098343  {0,3,0}     30    1
56    645   180   181  0.662637  {1,0,0}     37    1
104   648   205   208  0.380900  {0,0,1}     26    1
116   649   119   120  0.148076  {0,1,0}     37    0
16    661    51    52  0.692777  {0,3,0}     28    1
3     664    81    89  0.832631  {0,1,0}     23    1
95    664   101   102  0.335713  {0,1,0}     27    1
52    668    15    17  0.458266  {1,0,0}     36    1
51    675   203   204  0.157417  {0,3,0}     34    1
88    694   210   215  0.461729  {1,0,0}     26    1
25    701   165   166  0.586601  {0,2,0}     36    0
44    707    67    69  0.387769  {1,0,0}     25    1
68    712    47    48  0.255645  {0,1,0}     25    1
126   727    15    17  0.497906  {1,2,0}     38    1
59    729   176   177  0.487336  {1,1,0}     32    1
21    742   120   162  0.242625  {1,0,0}     40    1
48    744   163   167  0.673452  {0,3,0}     26    0
75    757   220   221  0.824819  {1,1,0}     26    1
84    757   205   208  0.695079  {1,1,0}     40    1
80    767   119   120  0.382225  {1,0,0}     27    1
82    775    99   131  0.652130  {0,2,0}     32    1
57    788    54    55  0.004825  {0,1,0}     35    1
22    788    53    54  0.127782  {1,0,0}     28    1
43    792   227   231  0.516110  {1,3,0}     26    1
14    800   184   188  0.701963  {0,0,1}     27    1
32    811   155   156  0.626855  {1,1,0}     36    1
26    844   111   114  0.090774  {0,1,0}     28    0
5     849    96    98  0.771169  {0,1,0}     23    0
31    850    41    51  0.661702  {0,0,1}     39    0
81    863    97    98  0.895345  {0,1,0}     24    1
107   865   251   252  0.298641  {0,2,0}     32    0
58    866   122   124  0.323308  {0,2,0}     37    0
13    867   146   147  0.676127  {1,0,0}     26    1
74    867   168   176  0.145575  {0,2,0}     22    0
64    876    43    46  0.168519  {0,1,0}     34    0
76    880   191   195  0.206255  {0,0,1}     36    1
50    883   186   188  0.063656  {0,1,1}     20    0
28    884   117   118  0.130040  {0,2,0}     27    0
106   891   122   124  0.089186  {0,1,1}     33    0
0     896    90    91  0.983201  {0,2,0}     33    0
98    903   127   128  0.670044  {1,0,0}     21    1
91    904    85   101  0.757402  {1,0,0}     25    1
2     906   193   246  0.736870  {1,1,0}     25    1
36    910    99   132  0.650356  {0,2,0}     21    1
85    913   104   105  0.081304  {0,1,0}     35    1
54    938   125   126  0.180531  {0,1,0}     28    0
99    967    65    66  0.538010  {1,0,0}     31    1
103   971   119   120  0.373827  {0,1,0}     23    0
113   974     6    27  0.724545  {0,3,0}     25    0
67    986   190   192  0.302092  {0,1,0}     37    0
49    989   190   192  0.853689  {1,0,0}     31    1
119   995    39    40  0.058571  {0,1,0}     22    1
120  1003   226   229  0.055516  {0,3,0}     28    1
29   1003   203   204  0.123734  {0,2,0}     28    0
20   1025   188   189  0.370008  {1,0,0}     30    0
63   1026   218   250  0.153762  {1,1,0}     37    1
9    1033   223   224  0.177545  {0,3,0}     39    1
69   1039   226   229  0.362863  {0,2,0}     26    0
108  1052    70    71  0.949671  {0,3,0}     31    0
66   1053   112   113  0.171525  {0,1,0}     29    1
115  1058   133   135  0.605286  {1,1,0}     37    1
24   1073    74    75  0.086418  {1,0,0}     26    1
92   1078   201   203  0.891509  {0,2,0}     29    1
114  1110   227   233  0.961912  {1,0,0}     27    1
47   1117   195   248  0.880419  {0,1,0}     40    0
112  1120   208   209  0.083829  {0,2,0}     23    0
86   1124   251   254  0.212603  {0,1,0}     29    1
123  1135   233   235  0.466406  {0,1,1}     36    1
61   1137   205   208  0.212106  {0,3,0}     28    1
96   1150   204   205  0.945204  {0,2,0}     30    0
121  1175   193   194  0.923039  {1,0,0}     33    0
125  1180   227   229  0.210780  {0,3,0}     29    1
38   1182   204   206  0.081553  {1,1,0}     23    1
45   1183   251   254  0.804380  {1,0,0}     39    1
60   1186   171   172  0.064572  {0,1,1}     29    0
27   1193   210   211  0.039919  {0,1,1}     36    1
65   1203   162   163  0.469035  {0,1,0}     34    0
12   1212   164   165  0.072204  {0,2,0}     24    1
100  1214   245   247  0.818202  {0,1,1}     31    1
110  1240     9    10  0.135821  {0,2,0}     34    1
1    1245    59    72  0.433401  {0,3,0}     33    1
46   1248    37    75  0.006089  {1,1,0}     39    1
7    1265   247   248  0.591439  {0,1,0}     20    0
19   1274   133   135  0.829710  {1,0,0}     31    1
35   1302   246   247  0.814373  {1,0,0}     37    1
33   1311    72    73  0.754721  {0,3,0}     21    1
42   1324   178   185  0.679882  {1,0,0}     20    1
17   1381   109   110  0.460292  {0,1,1}     40    1
41   1382    32    34  0.858669  {0,3,0}     36    1
62   1420     5    26  0.560961  {0,2,0}     24    1
101  1426   251   252  0.992534  {1,3,0}     24    1
