map EGL-G2-A
fac 5 10 {0,18,218,178,217}
hosp 1 {0}
n_ALS 8 1 {1:0,3:18,2:178,2:217}
n_BLS 20 1 {4:18,5:218,8:178,3:217}
n_CLS 5 0 {1:18,3:218,1:217}
      c_m  head  tail      c_af      c_d  c_tau  c_h
3      54   117   121  0.140222  {1,1,0}     22    0
58     63   105   107  0.953553  {0,1,0}     25    1
87     99   103   104  0.827260  {0,0,1}     39    0
63    162    68    69  0.675883  {0,3,0}     20    0
31    168   217   218  0.681245  {0,0,1}     36    0
46    181    99   132  0.257538  {1,3,0}     35    1
59    187   178   179  0.283849  {0,3,0}     21    1
67    206     8    33  0.062311  {0,3,0}     30    1
4     212    45    46  0.918606  {1,0,0}     21    1
42    249   168   176  0.138935  {1,0,0}     31    1
7     263    11    42  0.236047  {0,0,1}     20    1
125   269     6    27  0.311796  {0,2,0}     29    0
26    302     6    27  0.333020  {0,3,0}     23    1
126   385    50    52  0.211403  {0,1,0}     21    1
82    402    70    71  0.178851  {0,2,0}     40    0
36    408   226   227  0.183031  {1,1,0}     26    1
44    447   104   105  0.208621  {0,2,0}     29    1
16    460   203   204  0.006960  {0,3,0}     38    1
6     469    97   115  0.863041  {0,3,0}     26    1
115   503    76    77  0.331358  {0,1,1}     21    0
77    512    53    54  0.283126  {1,0,0}     30    1
111   541   135   147  0.925224  {0,3,0}     39    1
24    551   249   252  0.453021  {1,0,0}     21    1
108   557    73    74  0.540227  {0,1,0}     40    1
62    572   222   223  0.085710  {0,1,1}     35    1
47    574    50    52  0.199879  {0,2,0}     32    0
80    578   105   106  0.095137  {0,1,1}     29    0
30    590    97    98  0.534529  {1,1,0}     34    1
15    592   170   171  0.260008  {0,1,0}     24    1
70    610    16    17  0.315726  {0,2,0}     40    0
65    625   127   128  0.987907  {0,1,0}     24    0
97    649   163   167  0.690039  {1,1,0}     39    1
68    652    18    19  0.811809  {1,0,0}     38    1
5     653   113   115  0.053344  {0,1,0}     20    1
33    655    50    53  0.607438  {0,1,1}     22    0
45    662   140   142  0.928678  {0,1,0}     21    0
81    667   143   145  0.184327  {0,2,0}     38    0
107   692    19    25  0.389725  {1,1,0}     20    1
93    694   142   143  0.176843  {0,1,1}     24    0
84    695    43    45  0.510229  {0,1,0}     30    0
