map EGL-G2-A
fac 5 10 {0,184,46,170,203}
hosp 1 {0}
n_ALS 9 1 {4:0,1:46,3:170,1:203}
n_BLS 18 1 {6:0,4:184,4:46,2:170,2:203}
n_CLS 6 0 {2:46,1:170,3:203}
      c_m  head  tail      c_af      c_d  c_tau  c_h
96      3    78    79  0.574438  {0,2,0}     20    0
103    23   126   127  0.089195  {0,1,1}     20    1
108    68    66    67  0.308492  {1,1,0}     28    1
111    72   228   230  0.004738  {0,2,0}     37    1
63    111   141   142  0.223606  {0,1,0}     27    1
118   204   192   194  0.295636  {0,3,0}     32    1
100   204    43    44  0.379687  {1,1,0}     33    1
61    220    65    66  0.669331  {1,0,0}     20    1
27    288    73    74  0.991086  {1,1,0}     24    1
30    377    28    29  0.933029  {0,2,0}     30    1
40    389   251   254  0.789957  {0,1,0}     36    0
67    395   174   189  0.800492  {0,1,1}     22    1
19    407   179   183  0.230054  {1,0,0}     27    1
101   417    13    14  0.775704  {0,2,0}     40    0
104   419    97   112  0.145255  {1,1,0}     22    1
52    441   228   229  0.206079  {0,0,1}     35    1
11    480   219   220  0.908557  {0,2,0}     27    1
3     484   196   197  0.957199  {0,1,0}     33    0
37    516    89    97  0.970466  {0,1,0}     27    1
78    519   234   235  0.250546  {1,1,0}     34    1
110   530   126   150  0.861028  {0,2,0}     38    0
1     536    92    93  0.323660  {0,2,0}     22    1
80    543   253   254  0.725082  {0,1,0}     35    1
98    548   185   187  0.691323  {1,1,0}     33    1
66    561   170   171  0.870616  {0,2,0}     24    1
117   588   166   175  0.600120  {0,1,0}     21    1
116   589   247   249  0.140295  {0,2,0}     34    1
86    591    54    55  0.504279  {1,0,0}     29    1
126   596    53    54  0.650414  {0,1,0}     36    0
53    600    54    55  0.167789  {1,2,0}     33    1
41    604   168   176  0.376448  {1,0,0}     31    1
73    617   245   246  0.254610  {0,1,0}     31    1
47    623   175   176  0.305571  {0,3,0}     20    1
14    634   166   167  0.688131  {1,0,0}     24    1
99    646   248   249  0.916339  {0,2,0}     30    0
87    648   167   168  0.205748  {0,2,0}     25    1
45    651   205   208  0.479185  {1,0,0}     37    1
112   653   218   225  0.193267  {0,0,1}     37    0
48    664   108   109  0.539828  {1,0,0}     35    1
89    682   249   250  0.552651  {0,3,0}     29    1
15    693     1     2  0.778198  {0,1,0}     40    1
58    693    90    91  0.715681  {1,0,0}     25    1
5     696   159   161  0.590929  {0,1,0}     39    1
46    697   213   215  0.415840  {0,1,0}     30    1
2     699    19    20  0.154044  {1,1,0}     24    1
60    702   167   168  0.031067  {0,1,0}     40    1
71    728    24    25  0.664148  {0,3,0}     26    1
4     728    99   132  0.328423  {0,2,0}     37    0
34    728   147   148  0.218826  {0,1,0}     20    1
83    740   131   132  0.798035  {0,1,0}     29    1
120   759   190   192  0.549957  {0,1,0}     22    0
28    782   151   153  0.598292  {0,3,0}     20    0
31    802     6    27  0.226778  {0,0,1}     27    1
84    808    55    56  0.470070  {0,1,0}     37    1
74    809   130   137  0.997527  {0,2,0}     32    0
49    811    12    13  0.979584  {0,0,1}     37    1
42    835   250   251  0.409416  {1,1,0}     20    1
122   838   163   167  0.894086  {0,1,0}     28    1
57    862    23   171  0.140975  {0,2,0}     26    0
106   865   218   250  0.816554  {1,0,0}     30    1
72    866    66    92  0.471836  {0,2,0}     36    1
23    867    14    15  0.952240  {0,1,0}     23    0
125   877    17    22  0.499621  {1,0,0}     24    1
33    881    99   132  0.462731  {0,2,0}     31    1
115   888    94    95  0.061083  {0,0,1}     29    1
65    894   136   137  0.223049  {0,1,1}     33    1
124   900   147   148  0.724415  {1,0,0}     27    1
69    910    14    15  0.183942  {0,1,0}     40    1
22    916    81    89  0.955751  {0,2,0}     38    1
92    930    10    11  0.403351  {0,3,0}     29    1
24    949    32    33  0.930407  {0,2,0}     30    1
77    954   204   206  0.182360  {0,2,0}     22    0
54    958    97    98  0.388178  {1,1,0}     29    1
62    959   225   226  0.680734  {0,2,0}     27    1
114   976    67    69  0.536474  {0,1,0}     21    1
7     980   109   110  0.640091  {0,3,0}     31    1
70    991    12    16  0.488497  {0,3,0}     35    1
113  1002   197   199  0.658342  {1,1,0}     30    1
59   1014    78    82  0.489658  {0,3,0}     28    1
79   1016   213   215  0.998532  {1,1,0}     22    1
16   1017   104   105  0.276368  {0,2,0}     29    1
121  1021    89    97  0.920241  {1,1,0}     33    1
12   1030    63    64  0.807388  {0,1,0}     27    1
123  1051     5    26  0.299857  {0,3,0}     33    0
55   1052   154   158  0.795503  {0,1,0}     33    1
36   1070   189   190  0.798779  {1,0,0}     30    1
38   1092   210   215  0.883444  {0,1,0}     34    1
90   1095    12    13  0.131704  {0,3,0}     30    1
0    1096   166   167  0.143825  {0,3,0}     26    1
64   1119   188   189  0.682894  {1,0,0}     34    0
32   1123     5    23  0.686248  {1,0,0}     31    1
85   1124   247   249  0.430424  {1,0,0}     23    1
