map EGL-G1-A
fac 5 10 {0,1,69,40,72}
hosp 2 {0,190}
n_ALS 9 1 {2:0,1:1,2:69,1:40,3:72}
n_BLS 20 1 {3:1,7:69,3:40,7:72}
n_CLS 6 0 {3:0,1:1,2:40}
      c_m  head  tail      c_af      c_d  c_tau  c_h
79      7    22    24  0.928135  {0,1,0}     34    1
6       9    86    87  0.113109  {1,0,0}     25    1
71     11    10    11  0.316351  {0,1,0}     24    1
0      31   198   200  0.644456  {1,1,0}     30    1
89     32    47    48  0.897732  {0,1,0}     25    0
67     33     8     9  0.388553  {0,3,0}     40    1
85     50   169   173  0.817678  {0,1,0}     30    1
125    55   199   201  0.291814  {0,1,0}     25    1
59     78    11    42  0.752691  {0,1,0}     40    1
72    114    68    69  0.127661  {0,3,0}     21    1
5     124    66    67  0.730897  {0,1,0}     30    1
35    142    51    52  0.853728  {1,0,0}     25    1
56    232    26    28  0.710426  {1,2,0}     20    1
39    232    38    40  0.616252  {0,1,1}     20    1
52    253   167   175  0.219417  {0,1,0}     26    0
100   278   160   164  0.748055  {0,1,0}     40    1
53    323    61    62  0.489319  {0,0,1}     39    1
7     328   238   240  0.114355  {1,1,0}     34    0
99    346   155   156  0.894573  {0,0,1}     28    0
44    349   215   216  0.842675  {0,1,0}     24    0
33    357   165   177  0.631800  {0,1,1}     28    1
94    373   244   249  0.031734  {0,3,0}     28    1
113   408    51    52  0.552922  {1,1,0}     33    1
82    426   116   117  0.575154  {1,1,0}     33    1
115   469   179   180  0.924049  {0,2,0}     29    1
34    473   220   222  0.104636  {0,3,0}     20    0
31    477    66    68  0.096157  {0,1,0}     24    1
70    488    95    97  0.161998  {0,2,0}     30    0
104   496   142   143  0.166250  {1,2,0}     34    1
1     505    54    55  0.105777  {0,2,0}     21    0
81    509   194   195  0.602351  {0,2,0}     36    1
26    514     7    30  0.123458  {0,2,0}     20    0
4     541   245   246  0.423646  {1,0,0}     40    1
108   542   226   231  0.094553  {0,2,0}     33    1
57    545    73    74  0.549525  {0,3,0}     33    1
78    551    57    61  0.464764  {0,1,0}     27    1
27    574   210   212  0.681042  {1,0,0}     32    1
123   582   100   101  0.779515  {0,2,0}     40    1
120   591   106   108  0.682140  {1,0,0}     26    1
87    606    92    93  0.188905  {1,1,0}     33    1
69    618   169   170  0.708019  {0,2,0}     21    1
13    639   134   135  0.915114  {1,1,0}     35    1
112   649    54    55  0.036715  {0,2,0}     20    1
38    669   153   157  0.152816  {1,1,0}     35    1
45    670    88    96  0.774332  {1,2,0}     32    1
105   677   204   205  0.718958  {0,0,1}     32    0
49    678     4    22  0.823588  {0,0,1}     33    1
110   680   231   236  0.294835  {0,2,0}     32    1
18    688   185   192  0.037786  {1,0,0}     31    1
24    702   170   171  0.044003  {0,0,1}     29    0
74    716    43    45  0.144823  {1,1,0}     37    1
109   719    28    29  0.217958  {1,0,0}     38    1
98    720   102   103  0.787696  {1,0,0}     28    1
46    754    75    76  0.322404  {0,1,0}     27    0
96    755    90    95  0.120446  {0,2,0}     23    1
91    764   169   173  0.394687  {1,1,0}     26    1
73    765   102   110  0.602604  {0,2,0}     20    1
23    766   170   171  0.114420  {1,0,0}     39    1
68    770   193   194  0.693889  {0,2,0}     37    1
111   771   186   187  0.425600  {0,2,0}     37    1
28    771   210   211  0.707491  {0,0,1}     35    1
55    771   189   241  0.158902  {0,2,0}     28    1
65    775    81    84  0.886619  {0,0,1}     25    1
22    791     9    34  0.176184  {0,1,0}     39    1
10    797   196   203  0.367745  {0,3,0}     35    1
124   810   138   139  0.350089  {0,1,0}     29    1
54    819   150   151  0.206320  {0,1,0}     33    1
64    819   137   138  0.475068  {0,1,1}     35    1
40    820   211   213  0.365004  {1,2,0}     39    1
127   821   222   225  0.330220  {0,3,0}     29    1
77    827   197   198  0.828116  {0,2,0}     36    1
15    829    50    53  0.121206  {0,3,0}     26    0
126   837   106   108  0.076085  {0,3,0}     40    1
36    839   132   134  0.090318  {0,2,0}     21    1
114   841   207   209  0.974653  {1,2,0}     28    1
116   846   162   167  0.287614  {0,0,1}     27    1
62    850   216   217  0.596119  {0,3,0}     20    1
41    858   147   148  0.280994  {0,1,0}     23    0
93    873     4     5  0.789152  {0,2,0}     21    0
9     882     8     9  0.625341  {0,1,0}     38    1
21    906   179   180  0.383401  {1,0,0}     25    1
66    911   117   118  0.798403  {0,2,0}     26    1
84    918    55    56  0.275918  {1,0,0}     26    1
63    925   142   144  0.869887  {1,1,0}     31    1
103   953   150   152  0.237300  {1,1,0}     22    1
76    961   197   198  0.459147  {0,3,0}     21    1
90    970    45    64  0.197430  {0,1,0}     20    1
30    986   186   187  0.016708  {0,2,0}     36    1
118   992   124   151  0.884493  {1,1,0}     31    1
117   998    45    64  0.958261  {0,1,0}     35    0
29    999   222   223  0.005755  {0,3,0}     24    1
14   1001    45    46  0.270898  {0,2,0}     28    0
2    1012   206   207  0.823904  {1,0,0}     20    1
86   1016   199   201  0.878979  {0,1,0}     39    0
95   1016    70    71  0.583256  {0,1,1}     33    1
119  1031    24    26  0.464592  {0,1,1}     31    1
60   1043   195   196  0.851707  {1,1,0}     26    0
88   1044     2     3  0.757276  {0,1,0}     35    0
43   1066   128   137  0.795171  {0,3,0}     26    1
16   1085   246   248  0.299670  {0,2,0}     24    0
25   1093    68    79  0.516299  {0,1,0}     29    1
75   1094   102   110  0.171903  {1,1,0}     21    1
50   1107    63    64  0.936731  {0,1,0}     32    0
37   1128    41    51  0.174934  {0,3,0}     20    1
47   1129   204   205  0.874364  {0,2,0}     27    0
3    1140    45    46  0.139523  {0,1,0}     30    0
61   1165    72    73  0.888805  {0,2,0}     33    1
101  1179   198   200  0.394731  {1,1,0}     25    1
20   1191   204   205  0.381770  {0,1,0}     33    0
58   1203   101   110  0.803549  {0,1,0}     21    0
107  1210    53    55  0.288144  {0,1,0}     35    1
17   1226   165   177  0.478479  {0,0,1}     34    1
92   1232   225   227  0.285819  {0,1,0}     21    1
122  1234    97   126  0.535219  {0,1,1}     40    0
12   1242   119   169  0.387538  {0,1,1}     23    1
48   1243   107   108  0.355983  {0,1,1}     26    1
83   1260    56    57  0.924275  {0,2,0}     33    1
51   1275    96   114  0.414654  {0,1,0}     28    1
80   1306    98    99  0.617132  {0,1,0}     40    1
11   1323    41    51  0.882015  {0,2,0}     35    1
106  1351    43    46  0.044824  {0,1,0}     33    1
97   1357    12    13  0.409427  {0,2,0}     36    1
32   1381    69    78  0.310141  {0,1,1}     24    1
19   1385    12    16  0.412887  {1,0,0}     40    1
8    1395    12    13  0.193057  {0,2,0}     29    1
121  1396    36    37  0.599538  {0,2,0}     33    1
42   1420   124   125  0.153168  {1,0,0}     33    1
102  1436     7     8  0.512815  {0,3,0}     24    1
