map EGL-G2-A
fac 5 10 {0,5,101,251,66}
hosp 2 {0,103}
n_ALS 9 1 {2:0,3:5,1:101,2:251,1:66}
n_BLS 25 1 {5:0,2:5,5:101,8:251,5:66}
n_CLS 6 0 {1:5,3:101,2:66}
      c_m  head  tail      c_af      c_d  c_tau  c_h
7      14    78    82  0.767325  {0,2,0}     20    1
0      30   164   169  0.506094  {0,1,0}     35    0
124    31   122   123  0.339494  {1,1,0}     31    1
100    52   113   115  0.810010  {0,1,0}     32    0
73     62   233   254  0.230792  {0,1,0}     39    1
27    172   106   108  0.650590  {0,2,0}     28    0
49    196   118   119  0.364137  {0,1,0}     39    0
40    311   155   156  0.931856  {1,0,0}     39    1
16    318   227   233  0.772045  {1,1,0}     35    1
88    339    40    41  0.636352  {0,1,0}     25    0
96    359     2    14  0.328365  {0,1,0}     29    0
68    366    38    40  0.012113  {1,0,0}     21    1
5     367   122   124  0.435859  {1,0,0}     35    1
76    380   184   188  0.278457  {1,1,0}     34    1
116   398    10    41  0.992615  {0,1,1}     25    0
97    413    87    88  0.843332  {0,2,0}     38    1
57    413   192   193  0.429349  {0,3,0}     25    1
11    427   226   227  0.251810  {1,3,0}     40    1
46    441    85   101  0.746342  {1,0,0}     32    1
20    451    73    74  0.905114  {0,2,0}     22    0
125   470    12    16  0.170926  {0,1,1}     38    1
87    478   213   215  0.102822  {0,2,0}     30    1
89    487   181   182  0.775926  {1,3,0}     29    1
108   490    74    75  0.324080  {0,2,0}     25    1
106   491    67    69  0.297167  {1,0,0}     26    1
24    495   193   194  0.962204  {0,1,0}     20    0
72    497   158   159  0.191185  {0,2,0}     36    1
39    500   179   184  0.999709  {0,2,0}     35    0
2     515   117   121  0.330043  {0,1,0}     21    1
3     525    28    29  0.485444  {1,0,0}     31    1
84    529    84    86  0.086122  {0,3,0}     32    0
99    532   133   135  0.097976  {0,3,0}     20    1
37    538   201   203  0.151784  {0,2,0}     32    1
41    550   188   189  0.630993  {0,3,0}     36    0
66    550    36    37  0.228089  {1,1,0}     26    1
51    554     4     5  0.729420  {1,1,0}     29    1
86    564   210   215  0.543240  {0,1,0}     26    1
94    566   166   175  0.741215  {0,3,0}     25    1
114   580   164   169  0.069087  {0,2,0}     29    1
118   591   197   199  0.184444  {0,1,0}     35    0
58    592   231   232  0.901643  {0,0,1}     21    0
103   605   251   254  0.453660  {1,1,0}     29    1
101   606     0     1  0.418570  {0,3,0}     37    0
18    607    84    85  0.895214  {0,1,0}     37    1
56    611   186   198  0.523678  {0,1,0}     35    1
81    626   163   168  0.254391  {0,2,0}     24    1
48    646    32    34  0.522509  {0,1,1}     33    1
105   651   129   130  0.516899  {0,2,0}     20    1
90    657   104   105  0.998092  {0,1,0}     21    1
85    663    36    38  0.134695  {0,3,0}     21    1
42    663    86    87  0.279954  {0,1,0}     40    1
8     668    91    96  0.771489  {0,2,0}     32    1
34    680   158   159  0.299016  {1,0,0}     31    1
77    682   202   209  0.984399  {1,1,0}     28    1
126   683   122   123  0.899788  {0,0,1}     36    1
110   696   124   125  0.083476  {0,2,0}     27    1
120   699    55    56  0.425235  {0,2,0}     30    1
13    700    94    95  0.669146  {0,2,0}     20    0
38    715   188   189  0.333038  {0,1,0}     23    1
1     718     6    27  0.770168  {1,0,0}     33    1
14    727    50    53  0.703547  {0,3,0}     32    1
83    745   126   127  0.212744  {1,1,0}     37    1
6     752     1     2  0.897495  {1,1,0}     32    1
78    752   236   237  0.112815  {0,3,0}     28    0
61    763    95    99  0.328836  {0,1,0}     37    1
117   764    32    34  0.484756  {0,1,1}     28    1
122   764    99   100  0.686801  {0,3,0}     23    1
43    765    46    47  0.242645  {1,1,0}     28    1
12    771   139   140  0.621913  {0,3,0}     25    0
63    782    23   150  0.716968  {0,1,0}     35    1
109   785    90    91  0.949290  {0,2,0}     25    1
93    785   195   248  0.151151  {0,2,0}     25    0
67    791   178   179  0.182011  {1,1,0}     35    1
74    807   120   170  0.567489  {0,1,0}     39    1
31    809   108   109  0.309514  {0,3,0}     28    0
70    810    38    40  0.468319  {1,1,0}     36    1
23    811    45    64  0.461597  {0,2,0}     30    0
29    815    66    93  0.623678  {0,1,1}     29    1
91    820   197   200  0.338484  {0,1,0}     31    0
112   835   206   207  0.229709  {0,1,0}     27    0
25    865   102   111  0.285546  {0,1,0}     25    0
127   868   152   155  0.726241  {1,1,0}     24    1
55    887   243   245  0.025813  {0,2,0}     20    1
115   888   217   219  0.536855  {0,2,0}     32    1
59    895   106   118  0.328677  {0,2,0}     39    1
17    897   156   162  0.716714  {1,1,0}     40    1
75    904   104   105  0.338285  {0,1,0}     34    0
4     907   251   254  0.466920  {0,3,0}     27    0
54    934   120   170  0.216180  {1,0,0}     35    1
98    948     1    12  0.664771  {0,0,1}     37    1
45    961   106   108  0.666865  {0,2,0}     27    0
64    986   216   218  0.074729  {0,2,0}     20    1
9    1005     5     6  0.807174  {0,2,0}     39    1
60   1005   244   253  0.291304  {0,2,0}     40    1
36   1020   140   142  0.211704  {0,2,0}     27    0
33   1049    65    66  0.741111  {0,3,0}     25    1
53   1053   167   168  0.235958  {0,1,0}     22    1
107  1071    50    53  0.159865  {0,1,0}     23    0
22   1087    24    26  0.584926  {0,1,0}     28    1
79   1093   242   243  0.627554  {0,2,0}     40    1
50   1101   152   153  0.454473  {0,2,0}     33    1
35   1120   166   175  0.278906  {0,2,0}     36    1
30   1122   184   188  0.131642  {0,2,0}     33    0
28   1126   164   169  0.706638  {1,1,0}     40    0
113  1127    61    65  0.985187  {0,2,0}     26    1
32   1131   155   156  0.163296  {1,0,0}     37    1
47   1144    59    72  0.660497  {0,1,0}     24    0
123  1151   138   139  0.350948  {1,0,0}     30    1
119  1169    18    20  0.073922  {0,2,0}     24    1
92   1193    28    29  0.731886  {0,1,0}     31    1
82   1198   222   223  0.979791  {0,1,0}     24    1
104  1205    98   127  0.492066  {0,2,0}     38    1
44   1232   142   143  0.525510  {1,1,0}     39    1
62   1235    30    33  0.419066  {0,2,0}     32    1
121  1247    85   101  0.276253  {1,0,0}     37    1
10   1250   150   151  0.008681  {1,2,0}     25    1
80   1254   196   197  0.133951  {0,2,0}     30    0
69   1258   217   218  0.370446  {0,3,0}     27    1
111  1258    35    36  0.891026  {0,1,0}     33    0
21   1272   105   106  0.468231  {0,3,0}     24    0
95   1312   221   222  0.720575  {0,2,0}     26    0
102  1323    71    73  0.972191  {0,3,0}     26    0
15   1331    50    52  0.030046  {0,1,0}     31    1
26   1333    17    19  0.434457  {0,3,0}     38    0
19   1337   115   116  0.693573  {1,1,0}     38    1
71   1362   245   246  0.155342  {0,1,0}     27    0
52   1414   249   250  0.819913  {0,3,0}     30    0
65   1421   141   150  0.733117  {0,1,0}     22    0
