map EGL-G2-A
fac 5 10 {0,129,166,15,202}
hosp 2 {0,17}
n_ALS 5 1 {2:0,3:202}
n_BLS 22 1 {4:0,6:129,7:166,2:15,3:202}
n_CLS 8 0 {2:0,4:15,2:202}
      c_m  head  tail      c_af      c_d  c_tau  c_h
12     10    53    55  0.577083  {0,2,0}     23    0
0      19   184   185  0.213571  {1,0,0}     22    1
115    20    24    26  0.549938  {0,1,0}     26    1
120    41    99   100  0.381130  {1,0,0}     21    1
31     44    53    54  0.737762  {1,1,0}     24    1
8      67   249   250  0.242498  {1,1,0}     38    1
74     73    99   131  0.661493  {1,0,0}     24    1
63     73   248   249  0.583536  {1,0,0}     20    1
105   129    54    58  0.655346  {1,1,0}     36    1
121   178   125   152  0.527799  {1,1,0}     36    1
41    207     9    34  0.253667  {0,1,0}     37    1
72    238    29    31  0.850993  {0,2,0}     37    0
93    258   103   104  0.706504  {0,2,0}     36    0
38    294   136   146  0.484605  {0,2,0}     27    0
57    295   165   166  0.288600  {1,2,0}     31    1
81    305    71    73  0.108987  {0,1,0}     23    0
92    316   152   155  0.737847  {1,0,0}     35    1
126   321   121   122  0.733110  {0,1,1}     31    1
52    336    30    33  0.012787  {0,1,0}     29    0
44    356   158   160  0.230177  {0,2,0}     34    1
90    376   170   171  0.170325  {0,0,1}     32    0
73    414   117   121  0.574418  {0,2,0}     35    0
62    419    27    28  0.770688  {0,1,0}     40    1
49    430   202   209  0.305455  {0,3,0}     26    1
60    434   244   245  0.173555  {0,1,0}     32    1
35    447    74    76  0.077422  {1,1,0}     31    1
18    449   252   253  0.004873  {1,1,0}     32    1
51    485    32    34  0.678494  {1,0,0}     36    1
25    505    63    64  0.481439  {0,2,0}     26    1
106   510   249   250  0.588697  {1,1,0}     25    1
125   519     2     3  0.955193  {0,2,0}     39    0
28    521   197   200  0.826606  {1,0,0}     30    1
36    522   251   252  0.542454  {0,2,0}     34    0
61    531   102   103  0.298657  {1,0,0}     30    1
112   551   233   235  0.779614  {1,1,0}     36    1
20    558   129   130  0.576325  {0,1,0}     31    1
14    561    27    28  0.029884  {0,3,0}     24    1
1     563    10    41  0.237129  {0,1,0}     36    0
15    564   219   223  0.127621  {0,3,0}     29    0
89    570    91    96  0.664946  {0,3,0}     36    0
6     577   239   243  0.031426  {1,1,0}     23    1
30    580   147   148  0.749358  {0,0,1}     23    0
7     582   251   252  0.819526  {0,1,1}     28    0
78    582    32    34  0.793674  {1,0,0}     32    1
64    600    97   112  0.173427  {0,1,0}     23    1
88    612   248   249  0.400402  {0,1,0}     35    0
40    614   219   220  0.499802  {1,0,0}     22    1
37    623    23   237  0.118304  {1,0,0}     35    1
19    624   130   137  0.269344  {0,1,0}     20    0
5     625    90    91  0.770131  {0,1,1}     23    0
45    626   167   168  0.690642  {1,1,0}     37    1
53    627   143   144  0.618027  {0,1,0}     38    0
103   628    39    73  0.003264  {0,3,0}     28    0
70    637     0    21  0.655089  {0,3,0}     29    0
65    641    47    48  0.444306  {0,2,0}     27    1
48    644    53    55  0.136130  {0,2,0}     23    1
85    646   179   184  0.054642  {0,1,0}     35    0
39    663   145   146  0.093824  {1,0,0}     32    1
47    671   159   160  0.751368  {0,1,0}     26    0
119   690   235   236  0.043612  {0,1,0}     22    1
27    693     4    22  0.935823  {0,2,0}     29    1
122   701   158   160  0.469044  {1,1,0}     27    1
33    720   151   152  0.832318  {0,3,0}     34    1
59    721   117   119  0.020323  {0,2,0}     23    0
108   725   234   239  0.563471  {0,2,0}     35    1
22    729    59    60  0.293066  {0,1,0}     37    1
50    744    25    26  0.892341  {0,2,0}     37    1
96    745   145   146  0.489596  {0,2,0}     20    1
21    758    18    19  0.155207  {1,1,0}     40    1
95    760   221   222  0.725648  {0,1,1}     27    1
97    769   191   195  0.050329  {1,0,0}     28    1
71    790   129   130  0.147707  {1,0,0}     29    1
110   807     3    23  0.656722  {0,2,0}     40    1
34    808   220   221  0.151901  {0,1,0}     40    1
24    815   196   198  0.265637  {1,1,0}     28    1
109   825   195   248  0.792205  {0,3,0}     25    1
124   837    23   237  0.367896  {1,3,0}     24    1
9     851    53    55  0.048176  {0,2,0}     31    1
94    855    51    52  0.434280  {0,1,1}     36    0
104   855    85   101  0.365872  {0,3,0}     39    0
13    861   239   244  0.248290  {1,0,0}     23    1
98    867    97   115  0.214484  {0,2,0}     28    1
68    871    70    79  0.764175  {1,1,0}     21    1
82    880   126   150  0.564773  {0,1,1}     25    0
86    880   163   167  0.885537  {1,0,0}     24    1
79    889    67    68  0.211583  {1,0,0}     30    1
46    890   212   213  0.197875  {0,1,0}     40    1
58    896   177   180  0.409850  {0,3,0}     36    1
29    917   141   142  0.660684  {1,1,0}     38    1
77    966     6     7  0.587521  {1,0,0}     38    1
118   968    62    63  0.645986  {1,1,0}     40    1
23    970   193   246  0.833433  {0,3,0}     29    1
10    979     9    10  0.163933  {0,1,0}     30    0
80   1017   135   136  0.395927  {0,2,0}     28    0
100  1018   218   250  0.355257  {1,0,0}     40    1
127  1028   151   153  0.945503  {0,1,0}     36    0
111  1034   161   164  0.053755  {0,2,0}     27    0
67   1042   111   114  0.014852  {0,2,0}     36    1
107  1047   251   254  0.043113  {1,0,0}     40    1
26   1050   228   229  0.067776  {0,3,0}     34    0
32   1051    36    39  0.184418  {0,2,0}     21    1
102  1059    36    39  0.704506  {1,0,0}     27    1
42   1092    16    18  0.216195  {0,3,0}     21    1
56   1108     5    26  0.123996  {1,0,0}     35    1
114  1109   103   111  0.174190  {0,2,0}     40    1
17   1133   217   218  0.238774  {1,0,0}     33    0
101  1138   195   196  0.379683  {1,0,0}     37    1
76   1140    80    81  0.077819  {0,1,0}     25    0
2    1161    97   115  0.107759  {0,1,0}     39    1
99   1180   235   236  0.493801  {0,1,1}     27    0
117  1181    26    28  0.903853  {1,0,0}     33    1
87   1193    83    84  0.987504  {0,2,0}     31    1
66   1214    63    65  0.844242  {0,0,1}     35    1
4    1218   143   144  0.926422  {0,1,1}     38    1
113  1223    72    73  0.628889  {1,1,0}     31    1
54   1225   163   167  0.200928  {0,0,1}     26    1
123  1242    68    69  0.528234  {0,1,0}     20    1
69   1252   236   238  0.760938  {0,3,0}     35    0
75   1293    59    72  0.262771  {0,3,0}     20    0
16   1300   145   148  0.340932  {1,1,0}     30    0
11   1307     3     4  0.344950  {1,1,0}     39    1
55   1315   122   124  0.844566  {0,2,0}     21    0
116  1321    45    64  0.920126  {1,0,0}     26    1
3    1321   236   237  0.996681  {0,2,0}     27    1
43   1354   150   151  0.572294  {1,0,0}     20    1
84   1401   191   195  0.979545  {0,0,1}     24    1
91   1412   219   223  0.523116  {0,2,0}     31    1
83   1417    15    17  0.830919  {1,3,0}     21    1
