map EGL-G2-B
fac 5 10 {0,218,123,115,56}
hosp 1 {0}
n_ALS 7 1 {1:218,2:123,3:115,1:56}
n_BLS 15 1 {5:218,1:123,5:115,4:56}
n_CLS 6 0 {4:0,1:218,1:115}
      c_m  head  tail      c_af      c_d  c_tau  c_h
1       4    45    64  0.651905  {1,0,0}     32    1
82     13   200   201  0.538843  {1,1,0}     27    1
42     20   234   239  0.921631  {0,1,0}     21    0
67     34   177   181  0.207038  {0,1,1}     21    1
87     37    99   100  0.517021  {1,0,0}     22    1
58     41    89    97  0.066335  {1,1,0}     39    1
24     49   150   151  0.874810  {0,1,0}     35    1
99     50   213   215  0.477660  {0,3,0}     20    0
3      66    25    26  0.260085  {0,2,0}     28    1
49     76    91    96  0.402509  {0,3,0}     34    1
9     101    59    60  0.232277  {0,3,0}     22    0
32    102    67    68  0.730909  {1,1,0}     31    1
6     146    58    59  0.465940  {0,1,0}     24    1
122   180   243   245  0.882330  {0,3,0}     26    1
48    191   102   103  0.861386  {0,2,0}     40    1
104   234    59    60  0.905866  {0,1,0}     27    1
86    264   196   198  0.059615  {1,0,0}     22    1
22    279   154   157  0.895655  {1,0,0}     28    1
18    352   234   239  0.694790  {1,1,0}     29    1
20    363   253   254  0.704241  {0,1,0}     22    0
95    385    66    93  0.258849  {0,1,0}     32    0
31    397   201   203  0.740012  {0,1,0}     26    0
81    414   170   171  0.424937  {0,3,0}     39    1
73    424   163   168  0.300780  {0,3,0}     39    1
38    451    27    28  0.815899  {0,3,0}     26    0
114   466    98   127  0.048443  {0,1,0}     37    1
40    483   135   136  0.091330  {0,1,0}     39    0
44    502    53    54  0.929323  {1,0,0}     35    1
118   508    99   131  0.954164  {0,1,0}     31    0
79    511     3     4  0.453873  {0,2,0}     30    1
10    547    70    71  0.162705  {0,3,0}     34    1
13    556   240   241  0.429963  {1,1,0}     22    1
93    558    43    44  0.514221  {0,1,1}     32    1
120   572   113   115  0.806394  {0,2,0}     34    1
60    573   130   137  0.002930  {0,1,0}     25    1
8     584   233   235  0.364863  {0,3,0}     40    1
97    586   157   163  0.977476  {1,0,0}     21    1
117   593   104   105  0.360867  {1,1,0}     32    1
35    595    80    81  0.146755  {0,0,1}     35    1
16    597   166   178  0.202188  {0,2,0}     22    1
91    608    23   150  0.116348  {1,1,0}     36    1
76    620    97   112  0.617418  {0,2,0}     32    0
12    628   239   243  0.349207  {0,1,0}     29    1
27    632   186   198  0.586915  {1,0,0}     26    1
78    637   189   190  0.055637  {1,1,0}     36    1
92    641   133   134  0.594239  {1,1,0}     38    1
46    650    90    92  0.007542  {1,1,0}     38    1
65    661   204   206  0.863396  {0,2,0}     24    1
39    668    23   150  0.729668  {0,1,0}     24    1
33    679    45    46  0.792613  {0,0,1}     32    1
72    680   179   180  0.529593  {0,1,0}     37    1
43    695   210   211  0.376983  {0,2,0}     31    1
7     695    78    82  0.407640  {0,1,1}     20    1
103   710   179   183  0.323742  {0,1,0}     20    0
29    715    23   150  0.416908  {0,1,0}     21    1
45    717   158   159  0.518303  {0,1,0}     34    0
2     718   194   242  0.551503  {0,2,0}     20    1
102   721   156   162  0.985198  {0,3,0}     29    1
111   729   197   199  0.165622  {0,1,0}     22    1
109   742   245   247  0.828339  {0,3,0}     39    1
25    780   195   248  0.122438  {0,0,1}     33    1
105   780    69    80  0.392571  {0,1,0}     39    1
55    801    73    74  0.182674  {1,0,0}     34    1
68    818    62    63  0.497977  {0,3,0}     29    1
41    820   133   135  0.202694  {0,3,0}     24    0
5     825   233   234  0.913948  {0,1,0}     32    0
34    830   181   182  0.286949  {0,1,0}     29    0
57    842    59    72  0.963967  {0,0,1}     37    1
106   843    69    70  0.141573  {1,0,0}     28    1
56    851    24    26  0.362538  {1,1,0}     20    1
26    852   203   204  0.862933  {0,1,1}     23    0
15    853   142   143  0.350649  {0,1,1}     20    0
71    858   250   251  0.667900  {0,1,1}     23    1
70    870   117   119  0.804909  {0,1,1}     31    0
62    879   166   178  0.660194  {0,0,1}     35    0
75    898   115   116  0.228569  {0,1,0}     37    1
28    906   158   160  0.631194  {0,1,0}     23    1
90    908    15    17  0.320060  {0,3,0}     20    0
84    917    90    92  0.861269  {0,2,0}     23    0
107   917   251   252  0.551628  {1,1,0}     22    1
89    934   212   213  0.085028  {0,1,0}     36    0
80    941    87    88  0.848635  {0,2,0}     32    1
126   953   225   226  0.272711  {1,0,0}     21    1
63    970     2     3  0.657236  {0,3,0}     33    1
113   995   130   137  0.362781  {0,2,0}     23    1
112   999   112   113  0.127533  {1,1,0}     28    1
100  1010   103   111  0.845438  {1,1,0}     39    1
64   1057    24    26  0.874352  {0,1,0}     30    1
47   1061   178   185  0.660262  {0,1,0}     40    1
30   1073   213   215  0.371059  {1,1,0}     34    1
54   1083   210   215  0.925656  {1,2,0}     26    1
88   1092   218   225  0.873194  {0,1,0}     20    0
74   1114   117   119  0.991534  {0,3,0}     21    0
127  1115   161   165  0.947273  {1,0,0}     40    1
4    1119    69    70  0.078071  {0,1,0}     25    1
69   1119   135   136  0.967567  {0,1,0}     37    0
121  1123   164   165  0.233517  {0,0,1}     27    1
116  1131   157   163  0.486889  {1,2,0}     34    1
37   1134   104   105  0.695979  {0,2,0}     40    0
19   1136   170   171  0.401091  {0,1,1}     40    1
98   1137    70    79  0.360017  {0,3,0}     22    0
83   1143    90    91  0.708630  {0,1,0}     25    1
123  1148   141   150  0.801223  {0,3,0}     30    0
94   1169    81    82  0.852404  {0,3,0}     23    0
0    1180   195   248  0.597475  {0,2,0}     26    1
101  1191   103   104  0.158657  {0,1,1}     38    1
85   1199   196   198  0.436178  {0,1,0}     33    1
53   1206    96    98  0.765801  {0,1,0}     36    0
23   1219   105   106  0.336050  {0,3,0}     39    0
108  1226     8    33  0.715069  {0,2,0}     34    1
11   1228    18    20  0.749064  {0,1,0}     25    0
50   1247   128   129  0.376360  {0,3,0}     20    0
17   1251   196   198  0.199513  {1,0,0}     21    1
124  1264    40    41  0.692753  {1,0,0}     31    1
