map EGL-G2-B
fac 5 10 {0,45,250,81,73}
hosp 1 {0}
n_ALS 9 1 {1:0,1:45,2:250,3:81,2:73}
n_BLS 21 1 {4:0,7:45,3:250,3:81,4:73}
n_CLS 7 0 {4:250,2:81,1:73}
      c_m  head  tail      c_af      c_d  c_tau  c_h
98     21   151   153  0.172497  {0,1,0}     23    1
99     49   102   103  0.716988  {1,0,0}     24    1
36     57   126   150  0.167575  {0,1,0}     35    0
81     77   185   187  0.209837  {0,2,0}     35    1
60     93   251   254  0.330875  {0,3,0}     30    1
34    133    63    64  0.211261  {1,0,0}     39    1
9     163    37    75  0.703923  {0,3,0}     32    0
13    165   199   200  0.649527  {0,2,0}     35    0
8     199    42    43  0.578862  {1,1,0}     26    1
91    229    54    55  0.771611  {0,1,0}     21    1
47    252    21    35  0.787074  {0,2,0}     20    0
103   281   198   199  0.344920  {0,2,0}     37    0
108   282   139   140  0.878439  {1,1,0}     34    1
63    365   174   189  0.992677  {0,2,0}     33    1
117   406   209   216  0.490802  {0,1,1}     39    1
75    419    83    84  0.949796  {1,0,0}     22    1
76    425    53    55  0.942344  {0,1,0}     34    1
49    426   109   110  0.716685  {0,2,0}     40    1
102   458   201   203  0.917666  {0,2,0}     20    0
27    460   179   183  0.894916  {1,1,0}     25    1
53    468    36    38  0.104061  {0,2,0}     38    1
50    488   177   181  0.781507  {0,2,0}     31    1
23    493   122   124  0.188780  {0,3,0}     37    1
124   504   105   106  0.190231  {1,0,0}     23    1
105   548   235   236  0.585170  {0,0,1}     31    0
26    556   123   124  0.329817  {1,0,0}     30    1
38    565    22    24  0.175072  {0,2,0}     25    0
101   569    83    84  0.547964  {0,2,0}     32    1
106   569    65    66  0.710698  {0,0,1}     33    1
67    587   247   249  0.566999  {0,2,0}     32    1
5     622    73    74  0.116968  {0,2,0}     36    1
46    622   136   137  0.764242  {1,1,0}     25    1
22    627    54    55  0.405496  {0,2,0}     37    1
125   630   226   229  0.301297  {0,2,0}     26    0
0     638    14    15  0.869605  {0,1,0}     34    0
32    648    25    26  0.233983  {0,2,0}     33    0
12    650   120   170  0.362708  {1,1,0}     22    0
95    660   213   215  0.564572  {1,0,0}     38    1
68    685   233   235  0.027785  {0,2,0}     35    1
31    691   205   207  0.826021  {0,1,0}     20    0
40    710   151   152  0.495076  {1,1,0}     37    1
123   719   174   189  0.941929  {0,3,0}     23    0
43    721   204   206  0.329086  {0,2,0}     32    0
21    734   227   233  0.772827  {1,3,0}     31    1
1     739    58    59  0.906492  {0,2,0}     28    1
66    751    12    13  0.989099  {1,0,0}     37    1
17    759   226   251  0.092427  {0,2,0}     24    1
83    764    22    24  0.264680  {1,1,0}     35    1
19    788    40    41  0.245470  {1,0,0}     38    1
92    809   113   114  0.526140  {0,1,0}     31    1
100   813   167   168  0.049704  {0,1,0}     34    1
121   831   163   168  0.252979  {1,0,0}     35    1
25    833    74    75  0.540280  {0,3,0}     22    0
116   836   226   251  0.550501  {1,1,0}     37    1
62    855   104   105  0.995191  {1,1,0}     33    1
71    859    60    68  0.476673  {0,3,0}     22    1
78    875     9    10  0.232199  {0,1,1}     26    0
18    889   154   157  0.930640  {1,1,0}     25    1
79    889   228   229  0.743436  {0,3,0}     37    1
45    891   122   124  0.135772  {0,3,0}     23    1
37    904    15    17  0.639224  {0,1,0}     26    1
110   928   108   109  0.368719  {0,2,0}     24    1
29    932    63    65  0.224289  {0,1,0}     30    0
84    933    66    92  0.135028  {0,3,0}     33    1
33    939    23    87  0.135930  {0,3,0}     40    0
88    946   107   109  0.139446  {0,2,0}     33    1
126   949   220   221  0.102890  {0,2,0}     39    0
85    952     8    33  0.643061  {1,1,0}     34    1
24    956     5    23  0.640275  {0,1,0}     34    1
35    959   174   183  0.042325  {0,1,0}     27    0
57    961     0     1  0.125432  {1,3,0}     33    1
15    966   193   246  0.590100  {0,2,0}     36    1
42    967     3    15  0.632122  {0,1,0}     26    1
4     975   240   241  0.881755  {0,1,0}     34    0
112   976   233   235  0.774955  {1,0,0}     40    1
58    983   167   168  0.788315  {1,1,0}     37    1
97    992   191   195  0.035276  {0,0,1}     21    1
96   1002   113   114  0.324873  {0,0,1}     31    1
115  1011     4    22  0.195442  {1,0,0}     35    0
