map EGL-G2-B
fac 5 10 {0,107,251,35,252}
hosp 1 {0}
n_ALS 7 1 {1:0,2:107,2:251,2:252}
n_BLS 18 1 {3:0,3:107,5:251,3:35,4:252}
n_CLS 6 0 {3:0,1:35,2:252}
      c_m  head  tail      c_af      c_d  c_tau  c_h
83     26   240   242  0.683882  {0,2,0}     27    1
75     32    49    56  0.116373  {1,1,0}     24    1
15     59   228   230  0.671965  {0,3,0}     38    1
23     91   178   185  0.363843  {0,0,1}     37    1
120   113    95    96  0.256670  {0,0,1}     35    0
123   114   249   252  0.438264  {1,3,0}     23    1
103   133    20    21  0.339956  {0,1,0}     37    0
27    182     0    21  0.712595  {1,1,0}     33    1
20    186   206   207  0.069300  {0,3,0}     30    0
24    189   156   157  0.686895  {0,2,0}     40    1
3     245   163   168  0.294780  {0,3,0}     39    1
66    287   112   113  0.451780  {1,0,0}     27    1
30    303    63    65  0.501187  {0,1,0}     24    0
94    342   129   130  0.433911  {1,1,0}     22    1
8     346   102   103  0.021695  {0,2,0}     33    0
104   355   217   218  0.081806  {0,2,0}     39    1
111   358    99   100  0.672043  {0,3,0}     31    1
11    362    38    40  0.356508  {1,1,0}     22    1
71    369    42    43  0.828259  {0,2,0}     20    1
48    398    97    98  0.070805  {0,2,0}     22    1
22    409   178   185  0.355248  {0,2,0}     23    0
112   416   210   211  0.254050  {1,1,0}     32    1
35    439   124   125  0.194272  {0,2,0}     36    1
44    488    21    35  0.756075  {0,1,0}     37    1
67    500    30    33  0.260969  {0,3,0}     29    0
70    508    19    20  0.755423  {0,1,0}     40    0
59    512    49    50  0.469959  {1,1,0}     33    1
125   518   145   146  0.077831  {0,2,0}     31    1
33    521    43    46  0.883392  {0,2,0}     26    0
41    523   166   178  0.737469  {1,0,0}     27    1
51    531   133   135  0.249978  {1,0,0}     30    1
96    554    27    30  0.484315  {1,1,0}     32    1
98    562    37    75  0.715902  {0,2,0}     20    0
13    562   101   102  0.570116  {0,3,0}     31    0
60    563   113   114  0.362558  {0,2,0}     37    0
55    565    32    34  0.020067  {0,1,0}     33    1
32    569   206   207  0.735205  {0,3,0}     35    0
76    614   228   230  0.349656  {0,1,1}     36    0
6     621   103   111  0.065259  {0,2,0}     40    0
62    625    84    85  0.362059  {0,3,0}     40    0
118   625   251   254  0.092757  {1,0,0}     37    1
0     626   135   136  0.545245  {0,0,1}     28    1
114   634   161   164  0.020692  {0,2,0}     37    1
19    637   138   139  0.401716  {1,1,0}     21    1
36    639    62    63  0.421197  {0,1,0}     37    1
