map EGL-G1-A
fac 5 10 {0,39,112,230,147}
hosp 1 {0}
n_ALS 6 1 {5:0,1:230}
n_BLS 25 1 {4:0,5:39,7:112,2:230,7:147}
n_CLS 6 0 {1:39,2:112,3:147}
      c_m  head  tail      c_af      c_d  c_tau  c_h
120     2    66    68  0.363394  {1,0,0}     35    1
52     33   179   180  0.181197  {0,1,0}     27    0
47    139    79    80  0.574433  {0,3,0}     36    0
29    157   225   227  0.348911  {0,1,0}     27    1
15    165   165   166  0.042109  {1,1,0}     26    1
114   193   165   177  0.177276  {0,2,0}     20    1
49    321    10    41  0.668749  {1,1,0}     40    1
109   415    36    38  0.273812  {0,1,0}     26    0
23    453   123   124  0.208277  {0,1,0}     34    1
56    459   241   242  0.668199  {0,3,0}     30    0
98    459   151   152  0.951144  {0,1,1}     26    0
58    459     5    23  0.088476  {0,2,0}     21    0
19    495    53    55  0.752951  {1,1,0}     22    1
70    495    23    86  0.010679  {0,1,0}     33    0
39    509   117   118  0.121044  {0,1,0}     25    1
79    540    89    91  0.123947  {1,2,0}     33    1
101   568   163   168  0.628240  {1,1,0}     40    1
68    568   203   210  0.847511  {0,2,0}     25    0
83    574    65    66  0.113228  {1,0,0}     22    1
72    577    53    54  0.321172  {1,1,0}     40    1
17    580   226   227  0.362596  {0,3,0}     22    1
99    581   194   195  0.401913  {0,3,0}     20    0
66    583    71    72  0.125901  {1,1,0}     33    0
25    583    75    77  0.397005  {0,1,1}     29    1
87    600    50    52  0.883246  {0,3,0}     30    1
2     615   140   149  0.007622  {0,1,0}     36    1
96    624   128   129  0.562330  {0,2,0}     39    0
33    649   228   230  0.289552  {0,0,1}     27    1
46    659   124   125  0.333290  {0,2,0}     27    1
4     667   100   111  0.484514  {1,0,0}     26    1
67    670   104   105  0.182225  {0,1,1}     37    0
69    689   173   181  0.360366  {0,0,1}     26    0
119   696    25    26  0.701903  {0,2,0}     33    0
105   701   130   131  0.338733  {0,1,0}     36    0
7     717    65    92  0.427765  {0,2,0}     20    1
123   718    73    75  0.531683  {0,3,0}     22    0
107   720   206   207  0.310534  {0,1,0}     21    1
5     725    89    91  0.393848  {1,0,0}     39    1
71    727   180   181  0.991332  {1,1,0}     22    1
37    731   215   216  0.169609  {0,1,0}     28    1
13    737    41    51  0.362164  {1,1,0}     22    1
27    741    94    95  0.698192  {0,2,0}     24    0
78    748   124   149  0.945165  {1,0,0}     40    1
28    753   178   183  0.781639  {1,2,0}     29    1
61    771    80    81  0.212689  {1,0,0}     25    1
103   782    77    78  0.552854  {1,1,0}     27    1
45    788   175   176  0.452063  {0,3,0}     26    1
81    815   197   198  0.022465  {0,2,0}     25    1
97    838    78    79  0.843951  {0,2,0}     34    0
31    840   229   230  0.321388  {1,0,0}     27    1
108   842   124   151  0.364335  {0,1,0}     25    0
112   846   115   116  0.025558  {0,1,0}     40    0
100   848   179   180  0.818779  {0,1,0}     22    0
55    849   101   110  0.361423  {1,0,0}     31    1
