map EGL-G2-B
fac 5 10 {0,213,137,244,206}
hosp 2 {0,13}
n_ALS 8 1 {2:0,1:213,2:137,2:244,1:206}
n_BLS 15 1 {6:0,6:213,1:244,2:206}
n_CLS 7 0 {2:0,3:137,2:244}
      c_m  head  tail      c_af      c_d  c_tau  c_h
50      6    90    91  0.094245  {0,3,0}     33    0
13      8     5    26  0.804999  {0,2,0}     33    0
124    29    97   112  0.828071  {0,0,1}     36    1
31     77    95    96  0.159949  {0,1,0}     21    0
55    305   195   248  0.286028  {1,0,0}     31    0
125   313    11    42  0.025267  {1,0,0}     20    1
78    315   212   213  0.326896  {1,1,0}     30    1
82    400    51    52  0.392531  {1,0,0}     32    1
16    406     8    33  0.628527  {0,2,0}     32    0
49    412   234   239  0.709270  {0,2,0}     32    0
101   418   212   213  0.023862  {0,2,0}     32    0
88    424   119   120  0.045841  {0,3,0}     27    1
118   432   226   229  0.681397  {1,0,0}     29    1
77    482   115   116  0.501827  {0,1,0}     33    0
99    482   163   168  0.504649  {0,1,0}     40    1
35    485   157   163  0.780208  {0,2,0}     33    1
19    490     1    12  0.395867  {0,0,1}     31    0
89    498   231   232  0.905083  {0,3,0}     25    1
120   499   208   209  0.258792  {1,0,0}     21    1
92    513    49    50  0.302865  {0,3,0}     27    1
44    514   201   202  0.105696  {1,0,0}     30    1
74    514    81    82  0.586457  {0,2,0}     26    0
119   533   192   193  0.023840  {0,2,0}     38    1
117   534   184   185  0.532286  {0,1,0}     36    1
79    546     4     5  0.632470  {1,0,0}     33    1
69    547    58    59  0.938527  {0,3,0}     24    1
81    548   190   191  0.303566  {1,0,0}     38    1
105   563   132   133  0.460842  {1,1,0}     39    1
94    586   136   146  0.661930  {1,0,0}     25    1
15    591   242   243  0.874918  {0,2,0}     33    1
71    602   128   129  0.271265  {0,0,1}     33    1
107   609   201   203  0.880195  {0,1,0}     40    1
72    613   170   171  0.250538  {1,0,0}     23    1
60    617   166   167  0.008992  {0,1,0}     25    0
86    627   225   226  0.481259  {0,1,0}     31    0
91    629   135   136  0.073102  {0,1,0}     34    0
52    638   133   134  0.793744  {0,1,0}     28    0
10    650    30    33  0.740162  {0,3,0}     26    0
113   655   204   205  0.025957  {1,0,0}     23    1
20    659    76    78  0.443492  {0,1,0}     30    1
62    704   202   209  0.444734  {0,1,0}     33    0
61    705   125   150  0.365579  {0,2,0}     24    1
112   711   126   127  0.345604  {0,3,0}     26    1
8     718   243   245  0.408815  {0,1,1}     21    1
42    719    36    38  0.262814  {1,1,0}     35    1
63    723   234   239  0.157580  {1,1,0}     20    1
67    727    41    51  0.047588  {0,3,0}     33    1
2     742   120   162  0.654015  {0,2,0}     36    1
43    767    71    72  0.888885  {0,3,0}     37    1
121   771   170   171  0.268682  {1,1,0}     36    1
76    799   202   209  0.020569  {0,2,0}     30    1
68    816   225   228  0.671058  {1,0,0}     26    1
93    857    27    30  0.033810  {0,3,0}     32    1
26    858    60    68  0.917136  {0,1,1}     36    1
103   861   101   102  0.572484  {1,1,0}     27    1
