map EGL-G2-C
fac 5 10 {0,142,247,250,190}
hosp 1 {0}
n_ALS 10 1 {3:0,1:142,1:247,3:250,2:190}
n_BLS 18 1 {2:0,1:142,4:247,7:250,4:190}
n_CLS 7 0 {1:142,2:247,4:190}
      c_m  head  tail      c_af      c_d  c_tau  c_h
110    11   115   116  0.050756  {1,0,0}     33    1
64     20   174   183  0.278387  {0,1,0}     20    1
30     58   184   185  0.870523  {0,1,0}     33    1
67    118   239   244  0.178561  {0,2,0}     36    0
62    130   117   119  0.324939  {0,1,0}     38    1
104   147   158   160  0.459809  {1,1,0}     22    1
41    150   101   112  0.077564  {0,2,0}     24    1
92    161   179   184  0.374681  {0,1,1}     21    1
36    164   239   244  0.815659  {0,1,0}     27    1
96    186   247   248  0.148734  {0,2,0}     34    1
12    247    49    50  0.121705  {0,1,0}     31    0
35    268   101   112  0.922053  {0,1,0}     39    1
113   273   138   139  0.084853  {0,1,0}     21    0
105   274    47    64  0.601842  {0,3,0}     39    1
25    289   231   232  0.755884  {1,0,0}     30    1
82    294    50    52  0.983317  {0,1,0}     26    0
74    327   190   191  0.335016  {0,3,0}     20    1
87    343   239   244  0.249995  {0,2,0}     28    1
9     388     0    21  0.023836  {0,2,0}     26    0
121   401   146   147  0.667749  {0,1,0}     23    1
4     407   226   229  0.230945  {0,2,0}     32    1
79    411   217   219  0.795656  {1,1,0}     20    1
116   455   166   178  0.049738  {0,1,0}     33    0
22    458   155   156  0.304559  {0,1,0}     38    0
18    480   245   247  0.476864  {0,1,0}     31    0
31    482    63    65  0.582199  {0,0,1}     28    1
127   484    11    42  0.764181  {0,2,0}     36    1
40    523   128   139  0.579599  {0,1,1}     21    0
102   547   185   186  0.762369  {1,0,0}     39    1
47    550   175   177  0.092811  {1,1,0}     38    1
86    552    16    18  0.613226  {0,1,0}     36    1
58    565    13    14  0.417854  {1,0,0}     39    1
53    566    62    63  0.500925  {0,1,0}     40    1
107   569    48    57  0.365617  {0,2,0}     36    1
61    572   191   195  0.151922  {0,1,0}     38    0
24    576    79    80  0.779787  {0,1,1}     22    0
83    593    36    37  0.513926  {0,1,0}     22    1
65    596   201   202  0.514342  {0,0,1}     26    1
99    599   161   165  0.419189  {0,1,0}     36    1
98    605   219   223  0.071492  {0,1,0}     36    1
88    612   220   221  0.296368  {0,1,0}     33    1
20    619   246   247  0.607416  {0,1,1}     37    0
126   627   135   136  0.715762  {1,1,0}     40    1
77    641   170   174  0.511687  {0,1,0}     33    0
111   660     3    15  0.487857  {1,1,0}     22    1
112   677   204   205  0.426146  {1,0,0}     38    1
101   679   139   140  0.704731  {1,0,0}     25    1
50    681   184   188  0.006458  {1,2,0}     27    1
60    709     4    22  0.218505  {0,2,0}     30    1
6     714    50    53  0.482034  {0,2,0}     21    1
119   719    79    80  0.591638  {1,1,0}     24    1
91    720   217   219  0.677955  {0,3,0}     32    1
16    724     0    21  0.012919  {1,1,0}     28    1
123   734    50    53  0.550677  {0,2,0}     35    1
44    738    89    97  0.875051  {1,1,0}     33    1
15    740    76    78  0.130644  {0,0,1}     22    0
69    745   186   188  0.053827  {1,0,0}     39    1
45    750   158   160  0.857327  {0,2,0}     37    1
23    761    27    28  0.526949  {0,3,0}     30    1
71    763    72    73  0.482780  {0,2,0}     22    1
46    778   155   156  0.758306  {1,1,0}     40    1
52    787    66    92  0.206214  {0,2,0}     24    0
3     810   111   114  0.667038  {1,1,0}     26    1
70    812    36    37  0.420054  {0,1,0}     38    0
8     815   211   212  0.959037  {0,1,1}     25    1
114   824    34    41  0.875498  {1,0,0}     29    1
17    829   235   236  0.232240  {0,2,0}     33    0
55    847   193   194  0.874230  {1,1,0}     24    1
54    851    36    37  0.822750  {0,2,0}     27    1
124   864   198   199  0.544740  {1,1,0}     40    1
34    870   128   129  0.907922  {0,1,0}     37    1
51    872   249   252  0.021652  {1,1,0}     33    1
33    884    65    66  0.736017  {0,2,0}     36    0
109   888   139   140  0.353009  {0,1,1}     32    1
28    905    84    86  0.425455  {0,0,1}     23    1
43    920   166   175  0.730863  {1,0,0}     36    1
42    967    14    15  0.500815  {0,0,1}     34    0
21    975    53    55  0.939310  {1,0,0}     25    1
5     984   196   198  0.775469  {0,2,0}     29    1
108   988   167   168  0.211115  {0,2,0}     37    0
89   1011   219   223  0.917617  {0,2,0}     27    1
37   1014    49    50  0.177495  {1,0,0}     28    1
97   1028   201   202  0.346101  {0,2,0}     28    0
56   1036   185   186  0.239585  {0,1,0}     23    0
63   1043   113   115  0.438006  {0,2,0}     34    0
117  1055   226   251  0.461443  {0,0,1}     27    1
7    1056   129   138  0.286494  {0,2,0}     20    1
80   1067    18    19  0.652847  {0,2,0}     32    1
122  1069   251   252  0.765872  {1,0,0}     25    1
125  1080    69    80  0.208607  {1,0,0}     39    1
10   1087    31    32  0.144689  {0,1,0}     39    0
106  1095   158   159  0.583144  {1,1,0}     30    1
19   1099    70    79  0.835544  {0,1,0}     40    0
72   1103   120   162  0.243902  {0,2,0}     38    1
68   1108   115   116  0.777274  {0,3,0}     21    0
0    1109   195   248  0.406979  {1,2,0}     35    1
85   1124    37    75  0.990225  {0,1,0}     25    0
26   1134    78    79  0.667783  {0,1,0}     26    0
2    1145   166   175  0.879817  {0,0,1}     28    1
27   1146   140   142  0.676321  {0,1,0}     36    1
76   1161   166   175  0.148505  {1,0,0}     25    1
66   1163   205   207  0.280672  {1,1,0}     35    1
48   1168   153   154  0.867969  {1,1,0}     24    1
14   1180    82    85  0.791195  {0,2,0}     31    1
59   1225   194   242  0.444104  {1,1,0}     38    1
93   1227   126   150  0.020175  {0,2,0}     31    1
94   1229    70    79  0.584553  {1,1,0}     34    1
115  1230    90    91  0.469485  {0,0,1}     31    1
120  1233   196   198  0.237819  {1,2,0}     21    0
84   1236   227   233  0.301911  {0,3,0}     22    1
73   1238    63    64  0.082031  {1,1,0}     32    1
38   1261     5    26  0.495761  {1,0,0}     28    1
118  1263   218   250  0.737154  {0,1,0}     32    1
29   1269   217   218  0.472214  {0,1,1}     28    0
103  1271    37    75  0.571789  {0,1,0}     23    0
1    1278   185   187  0.655113  {1,1,0}     40    0
95   1278   176   177  0.396403  {0,2,0}     27    1
100  1289   107   108  0.117722  {0,1,0}     35    0
32   1297    90    92  0.035142  {1,0,0}     29    1
90   1312   128   129  0.182788  {1,0,0}     36    1
57   1322   171   172  0.743379  {0,1,0}     21    0
49   1324   116   117  0.873949  {0,1,0}     30    1
81   1326     8     9  0.092097  {0,1,0}     30    1
78   1334   130   131  0.665735  {0,0,1}     20    0
39   1362    63    64  0.768135  {0,2,0}     35    0
13   1363    43    44  0.739599  {1,1,0}     38    1
