map EGL-G2-C
fac 5 10 {0,74,157,35,223}
hosp 1 {0}
n_ALS 10 1 {3:0,2:157,3:35,2:223}
n_BLS 15 1 {3:0,5:74,5:157,2:223}
n_CLS 5 0 {3:157,1:35,1:223}
      c_m  head  tail      c_af      c_d  c_tau  c_h
95      1   105   107  0.362303  {0,1,0}     33    1
76     25   217   218  0.694826  {1,1,0}     27    1
99     35    42    43  0.763631  {1,0,0}     21    1
59     43   250   251  0.773990  {0,1,0}     39    0
32     44    39    73  0.128115  {0,1,0}     24    0
109    44   186   198  0.892524  {0,2,0}     39    0
92     94    23   237  0.849775  {0,3,0}     27    0
46     97   249   252  0.144226  {0,1,0}     35    0
64    118    95    96  0.206115  {0,1,0}     38    1
28    119   105   106  0.003520  {0,2,0}     35    1
127   125     3    15  0.514234  {0,3,0}     30    1
83    262   113   115  0.961224  {0,0,1}     34    0
24    267    73    74  0.717652  {0,1,1}     36    0
6     267    63    64  0.528644  {0,1,0}     22    0
100   272    91    92  0.685477  {1,1,0}     32    1
91    279   157   161  0.036031  {0,2,0}     20    1
96    280    50    51  0.574757  {1,1,0}     36    1
34    293   186   188  0.211142  {0,3,0}     29    1
73    317   193   246  0.365501  {0,2,0}     30    1
3     321    97   112  0.044443  {0,2,0}     36    1
103   330   147   148  0.230186  {0,3,0}     33    1
80    340   135   147  0.988059  {0,1,0}     21    1
85    350   156   157  0.314610  {0,2,0}     35    1
53    412   151   153  0.906636  {0,2,0}     26    0
88    413    69    70  0.952510  {1,0,0}     25    1
118   437    49    50  0.257841  {0,2,0}     32    1
57    441   148   149  0.450589  {0,2,0}     29    0
84    455    98   127  0.274729  {1,0,0}     29    1
55    459    99   132  0.577103  {1,0,0}     27    1
62    460   122   124  0.954246  {0,0,1}     34    1
72    513    36    39  0.371253  {1,1,0}     35    1
115   522   196   198  0.634862  {1,0,0}     32    0
51    531    55    56  0.073153  {0,1,1}     27    1
104   539   166   167  0.753265  {0,3,0}     36    1
120   540     9    10  0.673674  {1,0,0}     20    1
14    555   124   125  0.534306  {0,3,0}     33    0
77    557   102   111  0.917072  {1,1,0}     36    1
93    558     6    27  0.793987  {0,3,0}     21    1
110   568    19    25  0.868351  {1,0,0}     31    1
50    577   174   189  0.747380  {0,1,0}     34    0
17    583    18    19  0.115425  {0,3,0}     39    1
21    591    76    78  0.948510  {0,3,0}     36    1
8     595    19    25  0.814921  {0,1,0}     32    1
82    596   122   123  0.004971  {0,2,0}     34    1
112   604   196   198  0.082786  {0,2,0}     27    1
22    605   121   122  0.669144  {0,1,0}     25    1
105   609   226   251  0.533061  {1,0,0}     32    1
81    631   209   216  0.627044  {0,0,1}     28    1
126   640   216   217  0.992554  {0,0,1}     39    0
89    652    49    50  0.338742  {1,2,0}     25    1
12    678   151   153  0.511685  {0,2,0}     32    1
4     720    10    41  0.652029  {0,1,0}     33    1
66    728   243   245  0.906547  {1,1,0}     24    1
60    744   225   226  0.195034  {0,0,1}     24    0
45    752    96    98  0.021524  {0,2,0}     27    1
125   771    14    15  0.437112  {0,1,0}     30    1
67    803   190   191  0.593235  {1,2,0}     35    1
19    804   190   191  0.749081  {0,3,0}     22    1
107   810   221   222  0.200813  {0,1,0}     30    1
40    819    36    38  0.878854  {0,3,0}     32    0
98    821    99   100  0.335217  {1,1,0}     35    1
52    840    90    91  0.368438  {0,1,0}     36    1
97    842   166   178  0.301623  {0,2,0}     33    0
29    857   117   121  0.356093  {0,3,0}     39    0
18    865   145   146  0.628085  {0,1,0}     32    1
114   869    87    88  0.792882  {0,2,0}     34    1
30    878     8    33  0.334661  {0,1,0}     29    0
42    884   228   230  0.954603  {1,0,0}     37    1
124   901   104   114  0.165753  {1,0,0}     21    1
20    901   252   253  0.107000  {1,0,0}     31    1
94    902   252   253  0.410003  {1,0,0}     31    1
49    914    29    30  0.720322  {0,1,1}     31    1
39    914   179   184  0.980494  {0,1,0}     21    0
71    918   219   223  0.124710  {0,0,1}     26    1
33    924   158   160  0.450925  {0,2,0}     27    1
111   929    70    71  0.978688  {0,2,0}     40    1
25    937   166   167  0.900399  {0,1,0}     20    1
43    942   244   245  0.976656  {0,1,0}     20    0
113   948    41    51  0.728127  {0,3,0}     27    0
101   956   186   198  0.754585  {0,2,0}     20    1
75    961     5    23  0.417540  {0,2,0}     21    1
79    961    24    25  0.327065  {1,0,0}     29    1
116   966   234   235  0.033453  {0,1,0}     33    0
122   969    70    71  0.430380  {0,2,0}     30    0
13    971   177   181  0.167585  {1,2,0}     39    1
121   987   227   229  0.703554  {0,3,0}     30    1
106   988   201   203  0.945429  {1,1,0}     40    1
54    995   177   180  0.780820  {0,3,0}     32    1
68    996    82    83  0.716042  {0,1,0}     21    1
86    996   129   130  0.630297  {0,2,0}     37    1
58   1010   162   163  0.763758  {1,1,0}     36    1
10   1036   242   243  0.394200  {0,2,0}     21    1
69   1045   243   245  0.700153  {1,1,0}     37    1
38   1051   152   155  0.312360  {0,1,0}     38    0
15   1070   155   156  0.282578  {0,3,0}     24    0
74   1076   222   223  0.252037  {0,2,0}     22    1
2    1089    72    73  0.227892  {0,1,1}     22    0
65   1104   208   210  0.638483  {0,2,0}     20    1
87   1107    67    68  0.890679  {0,3,0}     30    1
23   1108   219   220  0.609999  {1,0,0}     29    1
78   1124   200   201  0.618940  {0,3,0}     29    1
102  1133    98   127  0.046573  {0,0,1}     35    1
47   1137   197   199  0.476454  {0,1,0}     33    1
7    1148    20    21  0.719049  {0,2,0}     37    0
36   1149   107   108  0.721135  {0,2,0}     39    0
35   1150   116   123  0.421991  {0,3,0}     20    1
1    1196    24    25  0.086018  {0,2,0}     31    1
11   1200   145   148  0.211404  {1,0,0}     34    1
70   1201   197   200  0.987710  {0,3,0}     20    0
9    1203    21    35  0.456151  {0,1,0}     26    1
31   1214   143   145  0.370684  {1,1,0}     33    1
90   1216    38    40  0.120918  {1,0,0}     21    1
16   1230    20    21  0.062494  {0,0,1}     32    0
26   1252   157   163  0.458461  {0,1,0}     32    1
61   1262    57    61  0.250902  {0,1,0}     27    0
41   1271   101   102  0.641909  {0,3,0}     37    1
27   1278   148   149  0.130960  {0,2,0}     35    0
37   1311   105   106  0.526535  {0,1,0}     26    1
5    1312   190   191  0.622126  {0,3,0}     22    0
123  1319    46    47  0.399511  {0,2,0}     32    0
108  1327    57    61  0.301434  {0,3,0}     20    1
44   1340     9    34  0.240297  {0,2,0}     40    1
0    1344    54    55  0.227013  {0,2,0}     34    0
56   1345    54    55  0.292167  {1,0,0}     36    1
117  1375    16    17  0.399054  {0,1,1}     29    0
119  1410    36    39  0.654767  {0,1,0}     22    0
48   1419   155   156  0.801836  {1,1,0}     34    1
63   1420   145   148  0.805031  {1,1,0}     23    1
