map EGL-G1-A
fac 5 10 {0,153,177,80,184}
hosp 2 {0,151}
n_ALS 9 1 {1:0,3:153,3:177,2:80}
n_BLS 17 1 {3:0,4:153,2:177,4:80,4:184}
n_CLS 6 0 {1:0,3:177,2:184}
      c_m  head  tail      c_af      c_d  c_tau  c_h
104     9   184   185  0.425546  {1,1,0}     20    1
120    23   225   227  0.559684  {1,1,0}     23    1
6      39   212   218  0.748350  {0,2,0}     26    0
74     40     2    14  0.680747  {0,3,0}     23    1
52     50    69    78  0.088271  {0,0,1}     35    0
83     70    96   111  0.789464  {0,0,1}     27    1
7     112   199   202  0.354668  {1,0,0}     33    1
72    120    30    33  0.030603  {0,1,0}     23    0
80    128    49    56  0.145570  {0,1,0}     39    1
103   239    12    16  0.774718  {0,2,0}     20    0
75    349   206   207  0.841307  {1,0,0}     35    1
100   371    80    88  0.762838  {0,2,0}     30    1
98    412   222   225  0.930830  {0,1,0}     38    1
11    420    48    57  0.596983  {1,0,0}     21    1
37    432    90    95  0.395830  {1,1,0}     22    1
55    484     2     3  0.548173  {0,1,1}     22    0
41    485    49    56  0.915255  {0,1,0}     36    0
87    488   126   127  0.283046  {1,0,0}     36    1
70    505   100   101  0.802076  {1,1,0}     21    1
63    505   163   168  0.300682  {0,2,0}     40    1
48    516   112   113  0.728416  {0,2,0}     20    0
96    521    12    16  0.733240  {0,2,0}     35    1
59    534   129   130  0.165616  {1,1,0}     40    1
58    535    68    79  0.162213  {0,1,0}     39    0
0     549    68    79  0.725162  {0,2,0}     37    0
111   559   103   104  0.160533  {1,1,0}     32    1
89    574   164   165  0.318608  {0,1,0}     29    1
76    589   238   239  0.528916  {0,2,0}     40    1
119   598   191   194  0.619529  {1,1,0}     35    1
92    621    35    36  0.315669  {0,2,0}     32    0
36    623   107   108  0.903316  {0,3,0}     39    1
23    643   142   143  0.842683  {0,1,1}     33    1
44    650    16    18  0.441268  {0,2,0}     33    1
14    654   132   134  0.826488  {1,1,0}     36    0
124   656   105   107  0.852214  {0,2,0}     36    1
97    656   170   171  0.485357  {0,1,0}     37    1
18    668    31    38  0.198923  {1,1,0}     36    1
94    700    86    87  0.379647  {0,3,0}     20    1
39    701    50    52  0.564551  {1,0,0}     22    1
2     710   155   161  0.591976  {1,0,0}     28    1
69    723   190   192  0.640198  {0,1,0}     39    1
57    736   157   159  0.922503  {0,2,0}     26    1
53    754   124   151  0.806304  {1,1,0}     26    1
29    755    80    81  0.028298  {0,2,0}     31    1
42    763   222   225  0.944886  {0,2,0}     30    1
71    770   121   123  0.499395  {0,1,0}     33    0
62    771   212   218  0.436831  {0,1,0}     31    1
3     771    83    84  0.580126  {0,2,0}     32    0
90    778    43    46  0.114667  {0,3,0}     40    1
26    789   246   248  0.401677  {0,1,1}     30    0
102   789   138   139  0.999979  {1,0,0}     38    1
117   798    90    91  0.443899  {0,2,0}     39    1
43    801    66    67  0.561425  {0,0,1}     25    1
122   809   243   244  0.589788  {1,1,0}     20    1
78    821   220   222  0.160403  {0,0,1}     37    1
61    825   156   160  0.004979  {1,1,0}     33    1
86    834    45    64  0.448214  {0,2,0}     34    0
20    838    29    31  0.711261  {0,1,0}     26    0
4     841    66    67  0.352434  {1,1,0}     36    1
51    843     3    23  0.594036  {0,2,0}     28    0
115   845   104   106  0.889244  {0,1,0}     21    0
66    849   237   238  0.994883  {1,1,0}     31    1
25    863   166   167  0.148557  {1,0,0}     31    1
35    877    14    15  0.940367  {0,1,0}     25    0
125   880    16    18  0.153357  {1,0,0}     21    1
101   884   129   136  0.408248  {0,1,0}     22    1
50    884     2     3  0.832321  {0,2,0}     38    0
24    884   129   130  0.085356  {1,0,0}     36    1
60    888   155   161  0.555575  {0,1,0}     20    0
123   894    55    56  0.502085  {0,1,0}     21    1
108   894   128   137  0.578213  {0,1,0}     29    1
95    901    80    81  0.197065  {0,2,0}     33    1
54    904   195   197  0.530521  {0,1,0}     29    1
110   904    34    41  0.000515  {0,3,0}     24    0
114   909   232   233  0.413483  {1,0,0}     38    1
32    909   153   157  0.542934  {0,1,0}     24    0
15    919    51    52  0.564218  {1,1,0}     27    1
113   939   121   123  0.003119  {1,0,0}     40    1
67    944   243   244  0.527465  {1,1,0}     38    1
91    949   114   115  0.756829  {1,1,0}     28    1
77    950   115   116  0.678669  {0,3,0}     36    1
121   953   232   234  0.585424  {0,1,0}     28    1
112   955    35    36  0.519999  {1,1,0}     32    0
40    962    65    91  0.378994  {1,1,0}     39    1
46    964     1    12  0.496254  {1,1,0}     35    0
38    965    90    95  0.500318  {0,1,1}     38    0
109   995   170   171  0.120272  {0,1,0}     32    1
16   1001   120   121  0.302145  {0,3,0}     35    1
47   1003    46    47  0.976086  {0,3,0}     25    0
31   1016   114   115  0.640645  {0,3,0}     33    0
19   1022    39    40  0.692348  {1,0,0}     30    1
84   1025    62    63  0.330796  {0,2,0}     35    1
79   1032   203   210  0.264082  {0,2,0}     32    1
