map EGL-G2-C
fac 5 10 {0,135,211,238,159}
hosp 1 {0}
n_ALS 5 1 {2:0,2:135,1:238}
n_BLS 16 1 {1:0,1:135,5:211,2:238,7:159}
n_CLS 5 0 {2:238,3:159}
      c_m  head  tail      c_af      c_d  c_tau  c_h
124     0   178   179  0.043520  {0,1,0}     23    0
62      6   122   124  0.594928  {0,2,0}     38    1
61     50   199   200  0.260123  {0,2,0}     25    1
57     57   113   114  0.860218  {0,2,0}     24    0
126    67    51    52  0.103016  {1,0,0}     28    0
79     79    23   171  0.312371  {0,2,0}     40    0
74    100    72    73  0.410319  {1,0,0}     27    1
83    102   122   123  0.323365  {0,1,0}     30    0
65    151   234   239  0.244781  {0,3,0}     34    1
35    184    69    80  0.926197  {0,2,0}     28    1
109   193    95    96  0.439814  {0,2,0}     28    1
41    193    12    13  0.557353  {0,2,0}     26    1
119   198   168   176  0.871263  {0,3,0}     32    1
93    202    24    26  0.519695  {0,3,0}     28    0
105   274    32    33  0.336868  {0,3,0}     23    0
116   339   228   230  0.389634  {0,1,1}     31    1
15    368    54    58  0.937662  {1,0,0}     22    1
69    374   219   223  0.178997  {0,0,1}     29    1
42    382   106   118  0.388180  {1,1,0}     23    1
38    425    74    76  0.407778  {0,0,1}     20    0
98    427     6    27  0.013971  {1,1,0}     38    1
14    433   118   119  0.944644  {1,0,0}     33    1
32    467    69    70  0.145836  {0,2,0}     20    1
18    475    50    52  0.045939  {0,2,0}     35    1
71    483    46    47  0.563463  {0,3,0}     23    1
70    486    86    87  0.750700  {0,1,0}     35    1
103   487     2     3  0.617457  {0,2,0}     23    1
112   493   161   164  0.641082  {1,0,0}     22    1
24    511   201   203  0.836912  {0,2,0}     38    0
67    541    89    97  0.054559  {0,1,0}     27    0
23    547    23   171  0.228619  {0,3,0}     39    0
66    579   235   236  0.282759  {0,1,0}     27    0
64    613    71    73  0.127708  {0,3,0}     37    1
49    614   175   176  0.891494  {0,3,0}     40    1
46    614   240   241  0.770059  {0,3,0}     24    0
56    615   205   207  0.622550  {0,2,0}     37    0
48    619   252   253  0.238825  {0,0,1}     38    0
54    626   101   102  0.884244  {0,1,0}     21    0
43    628   116   117  0.227165  {0,2,0}     34    1
113   628    37    75  0.269456  {0,1,1}     26    1
115   630   225   226  0.899352  {0,3,0}     26    0
84    640    62    63  0.561826  {1,1,0}     39    1
95    650   103   104  0.907466  {1,0,0}     28    1
59    660   177   180  0.819634  {0,1,1}     33    1
58    690   120   162  0.205504  {0,1,0}     31    0
25    691   198   199  0.927919  {0,3,0}     36    1
36    693   129   138  0.257532  {0,2,0}     38    0
100   706   217   219  0.373265  {0,1,0}     33    1
91    710    19    25  0.288454  {0,2,0}     29    0
80    726   251   254  0.989923  {0,2,0}     31    0
108   730   184   185  0.077864  {0,3,0}     30    0
94    732    50    53  0.371061  {1,0,0}     32    0
111   741    26    28  0.953876  {0,1,0}     21    1
78    745   145   146  0.948765  {1,1,0}     24    1
87    761   166   167  0.150483  {0,1,0}     24    0
110   766   163   167  0.707004  {1,1,0}     29    1
122   772     1    12  0.662825  {1,0,0}     34    1
97    772    23   150  0.746959  {0,1,0}     32    1
19    783   135   147  0.328703  {0,1,0}     30    1
27    785     9    34  0.233870  {0,1,0}     23    1
127   787    55    56  0.529691  {0,3,0}     31    0
99    804   235   236  0.255129  {1,0,0}     32    1
117   817   168   176  0.596072  {0,1,1}     22    1
85    818    99   100  0.716559  {0,2,0}     31    0
50    819    85   101  0.354767  {1,1,0}     40    1
76    823    24    25  0.265589  {1,0,0}     21    1
45    836   221   222  0.983281  {0,3,0}     20    1
37    851    50    53  0.473780  {0,2,0}     34    1
77    856    37    75  0.974889  {0,3,0}     21    1
34    861    47    64  0.656430  {0,1,0}     34    1
75    862   103   104  0.092702  {0,2,0}     21    1
12    863   125   152  0.794193  {0,0,1}     38    1
68    872   236   238  0.314645  {1,1,0}     33    1
52    879   243   245  0.239418  {0,0,1}     25    0
55    890    40    41  0.752510  {0,2,0}     33    1
2     892    91    92  0.041139  {0,3,0}     23    0
10    893    34    41  0.288491  {1,0,0}     29    1
30    896   216   217  0.062622  {0,1,0}     27    1
72    901   139   140  0.477181  {0,1,0}     39    1
29    902   208   209  0.696604  {0,2,0}     27    1
90    919    27    30  0.312970  {1,0,0}     32    1
120   922    23   171  0.497317  {0,2,0}     40    0
40    928    43    45  0.801462  {0,1,1}     30    1
20    934    74    76  0.554446  {0,1,0}     32    1
0     945   136   137  0.557754  {1,0,0}     32    1
106   968   199   200  0.697322  {0,2,0}     36    0
89    970    66    67  0.890982  {0,2,0}     24    0
125   971   235   236  0.264883  {0,1,0}     27    0
39    985   140   141  0.558021  {0,2,0}     38    1
22    994   174   182  0.196147  {0,3,0}     25    1
63    998    81    82  0.347508  {1,1,0}     37    1
7    1015   234   239  0.040667  {0,3,0}     31    1
4    1022   202   209  0.515159  {1,2,0}     21    1
88   1022   108   109  0.785891  {0,2,0}     24    0
96   1024    53    55  0.308118  {0,3,0}     28    1
101  1025    45    46  0.513072  {1,1,0}     32    1
28   1028   152   153  0.022592  {0,3,0}     28    1
60   1028   103   104  0.013089  {1,1,0}     24    1
121  1030    58    59  0.464550  {0,1,0}     23    1
44   1033   209   216  0.282357  {1,1,0}     39    1
47   1059    32    34  0.457751  {0,3,0}     33    1
17   1067   107   109  0.585031  {1,1,0}     35    1
13   1074   212   213  0.239662  {1,0,0}     20    1
73   1077    89    90  0.161858  {0,1,0}     34    1
53   1080   234   235  0.883647  {1,0,0}     36    1
