map EGL-G2-C
fac 5 10 {0,90,190,2,31}
hosp 2 {0,151}
n_ALS 8 1 {2:0,2:90,1:2,3:31}
n_BLS 16 1 {3:0,3:90,2:190,4:2,4:31}
n_CLS 5 0 {2:0,1:190,2:31}
      c_m  head  tail      c_af      c_d  c_tau  c_h
3      25   179   180  0.385995  {1,0,0}     39    1
37     29   179   184  0.501704  {1,0,0}     35    1
126    38    46    47  0.216574  {0,2,0}     28    1
10     43    67    68  0.111734  {0,1,0}     24    0
91     57   178   185  0.881916  {0,1,0}     26    1
26     79   101   102  0.689604  {0,2,0}     22    1
53     85   103   104  0.681783  {0,3,0}     24    1
81    125   222   223  0.207627  {1,2,0}     36    1
110   131   109   110  0.584909  {1,1,0}     24    1
17    141   211   212  0.633750  {1,1,0}     37    1
34    144    73    74  0.746324  {1,0,0}     36    1
108   168    23   150  0.413855  {0,2,0}     26    0
12    169   168   176  0.379641  {0,2,0}     30    1
62    203    99   100  0.947563  {0,2,0}     40    0
98    225    90    92  0.734652  {0,1,0}     20    1
94    274   113   115  0.353104  {0,2,0}     31    1
90    309   236   237  0.433526  {0,2,0}     32    1
107   344   170   171  0.207854  {0,3,0}     32    0
27    347   226   227  0.832636  {0,1,0}     25    1
95    352    66    92  0.152877  {1,0,0}     21    1
50    356   240   242  0.902001  {0,1,0}     23    1
106   363   236   237  0.503321  {0,1,0}     32    0
69    388   116   117  0.766877  {1,3,0}     31    1
76    406    31    38  0.284608  {0,2,0}     25    0
14    417   245   246  0.921268  {0,2,0}     25    0
18    441   250   251  0.206035  {0,0,1}     24    0
124   450    97   112  0.303574  {0,2,0}     40    1
46    453    11    42  0.774416  {0,1,0}     29    1
32    468   123   124  0.381732  {1,1,0}     21    1
73    493   186   198  0.823098  {0,1,0}     32    0
74    495    99   100  0.840238  {1,1,0}     25    1
75    520   226   251  0.435162  {1,0,0}     30    1
67    524   141   142  0.060976  {1,1,0}     38    0
64    525     3    23  0.281097  {0,1,0}     27    1
45    528    70    79  0.683765  {0,2,0}     21    1
2     536   163   168  0.892873  {0,1,0}     22    1
120   541   141   150  0.943028  {1,1,0}     21    1
70    563    69    80  0.935608  {1,0,0}     31    1
51    575   130   137  0.166005  {0,1,0}     29    1
1     603   127   128  0.724886  {1,1,0}     31    1
21    627    60    68  0.762239  {0,2,0}     35    0
77    631   186   198  0.192459  {0,2,0}     30    1
68    651    91    96  0.822315  {0,1,1}     31    0
28    656   117   119  0.434767  {0,1,0}     37    1
114   671    39    73  0.084943  {1,3,0}     27    1
87    673   143   145  0.206721  {0,3,0}     21    0
22    681    69    80  0.026900  {0,1,0}     21    0
66    685    18    19  0.981017  {1,1,0}     23    1
35    689   244   245  0.609758  {1,1,0}     30    1
61    698     3    23  0.168643  {0,0,1}     22    0
8     702   220   221  0.301581  {0,1,0}     32    1
84    714     0    21  0.693545  {0,2,0}     40    1
72    715     1    12  0.000694  {1,1,0}     21    1
13    717   136   146  0.777444  {0,1,1}     30    0
16    728   128   129  0.194992  {0,3,0}     31    1
47    734   225   226  0.989734  {0,1,0}     22    1
101   736   141   142  0.332566  {0,2,0}     28    1
80    750   250   251  0.413044  {0,1,0}     36    1
99    758   163   168  0.839653  {0,3,0}     20    1
5     762     3    23  0.048857  {1,0,0}     27    1
39    767   205   207  0.348812  {1,0,0}     39    1
122   768    24    25  0.680701  {0,1,0}     32    1
100   772    91    96  0.664120  {1,3,0}     30    1
86    780    12    16  0.591938  {0,3,0}     28    1
0     783    84    86  0.107918  {1,0,0}     30    1
82    786   151   152  0.544157  {0,2,0}     34    0
55    794   239   243  0.321151  {1,1,0}     33    1
4     797   212   213  0.724485  {0,2,0}     24    0
117   799   217   219  0.527695  {1,1,0}     36    1
23    801   186   198  0.743826  {1,2,0}     30    1
60    804    50    52  0.403734  {0,3,0}     32    1
119   807   184   185  0.980597  {0,2,0}     34    1
63    812   133   135  0.000133  {0,3,0}     27    1
9     817   117   119  0.969319  {1,1,0}     20    1
111   822   222   223  0.070842  {0,2,0}     32    0
56    822   210   215  0.015294  {1,1,0}     36    1
20    824    36    38  0.070307  {1,0,0}     40    1
6     830   198   199  0.264017  {1,0,0}     24    1
123   830    17    19  0.638385  {0,0,1}     24    1
104   839     9    10  0.725702  {0,1,0}     37    0
58    845    36    39  0.499882  {0,1,0}     39    1
49    866   157   161  0.887081  {0,1,0}     34    0
118   867   129   138  0.987573  {0,1,1}     25    1
57    868   192   193  0.142901  {0,3,0}     37    0
41    868   136   137  0.618224  {0,1,0}     24    1
11    872   199   200  0.993257  {0,1,0}     33    1
25    884   136   146  0.809424  {1,0,0}     34    1
127   892    83    84  0.294363  {0,3,0}     31    0
7     897   174   182  0.611033  {0,1,0}     23    1
40    897   126   127  0.228406  {0,2,0}     36    0
29    907   120   170  0.064252  {0,1,0}     30    1
115   914   130   131  0.124904  {0,3,0}     28    0
19    921    90    92  0.610268  {0,3,0}     40    0
15    928     2     3  0.111733  {0,2,0}     22    0
24    963   137   138  0.214952  {0,1,0}     26    0
88    966   176   177  0.262709  {0,1,1}     30    0
125   972   176   177  0.630272  {0,3,0}     26    1
121   998   126   127  0.610705  {0,2,0}     31    0
65   1004    24    25  0.895845  {0,0,1}     38    1
44   1009   191   195  0.809646  {1,1,0}     20    1
48   1023   252   253  0.215340  {0,3,0}     40    0
43   1036   184   185  0.246614  {1,1,0}     23    1
52   1043   125   150  0.711387  {0,1,1}     25    1
116  1051    67    68  0.475870  {0,2,0}     28    1
103  1081    90    91  0.732902  {0,1,0}     32    1
30   1110    16    18  0.124985  {0,0,1}     20    1
92   1114   146   147  0.954615  {0,1,0}     37    0
38   1133   174   189  0.599804  {0,1,0}     33    1
36   1137   103   111  0.334307  {1,0,0}     27    1
85   1144   201   203  0.064727  {0,1,0}     26    1
113  1188    60    68  0.696957  {0,1,1}     38    1
33   1196     7    30  0.250100  {1,2,0}     25    1
59   1231   156   162  0.209680  {1,1,0}     40    1
54   1248   172   173  0.205066  {0,1,0}     31    0
96   1254   148   149  0.127018  {1,1,0}     23    1
79   1260   210   211  0.244738  {0,3,0}     39    0
89   1291    51    52  0.088335  {0,2,0}     20    1
93   1313    43    44  0.791242  {1,1,0}     39    1
31   1316   240   241  0.679285  {0,2,0}     38    0
78   1324    54    55  0.568065  {0,1,0}     38    1
97   1326    86    87  0.622040  {1,1,0}     30    1
102  1370   135   136  0.513870  {0,3,0}     28    0
105  1373    23   150  0.909149  {1,0,0}     21    1
83   1380     0     1  0.629464  {1,0,0}     39    1
71   1381    39    73  0.536246  {0,2,0}     34    1
112  1394     9    34  0.363616  {1,0,0}     32    1
42   1394    36    37  0.677304  {1,0,0}     21    1
109  1425    21    35  0.319813  {0,1,1}     23    1
