map EGL-G2-C
fac 5 10 {0,192,186,1,224}
hosp 1 {0}
n_ALS 8 1 {1:0,3:192,1:186,1:1,2:224}
n_BLS 23 1 {6:0,1:186,8:1,8:224}
n_CLS 8 0 {1:0,4:192,3:186}
      c_m  head  tail      c_af      c_d  c_tau  c_h
113     8   225   228  0.142159  {0,2,0}     27    1
99     15   245   247  0.279010  {1,1,0}     32    1
68     16   145   148  0.944610  {0,1,0}     24    0
116    25   249   252  0.756195  {0,3,0}     36    1
73     28   218   225  0.951516  {1,1,0}     32    1
23     61   179   184  0.438150  {0,1,0}     39    1
75    111    92    93  0.675674  {0,2,0}     37    1
45    161   253   254  0.099343  {0,0,1}     34    1
35    234    66    93  0.278543  {0,2,0}     22    1
122   272   249   250  0.960727  {0,1,0}     23    1
83    277   102   111  0.017468  {1,1,0}     40    1
74    326   233   234  0.198151  {0,2,0}     37    0
85    363   117   119  0.126394  {0,2,0}     37    0
48    364   195   248  0.284107  {0,1,0}     20    1
4     366    55    56  0.774732  {0,1,0}     32    0
76    367     3    15  0.636661  {0,1,0}     31    1
104   395   246   247  0.449621  {0,2,0}     21    0
71    397    53    55  0.494499  {0,2,0}     36    1
69    421   163   167  0.925101  {0,2,0}     34    1
17    427   104   114  0.310054  {1,0,0}     33    1
27    442   202   203  0.539801  {1,0,0}     26    1
66    457   184   185  0.790216  {0,1,0}     26    1
7     467   136   137  0.046737  {1,1,0}     35    1
112   475    51    52  0.058575  {0,0,1}     23    1
101   483   102   111  0.995483  {1,1,0}     23    1
109   509   102   103  0.692324  {0,2,0}     22    1
80    512   103   104  0.743499  {0,0,1}     36    1
125   539   146   147  0.969556  {0,2,0}     31    1
102   544    66    92  0.877626  {0,3,0}     20    1
12    551   204   206  0.266623  {0,1,0}     33    1
81    565   150   151  0.754945  {0,1,0}     24    1
60    577   175   176  0.578578  {0,2,0}     32    0
78    582    97   115  0.916834  {0,2,0}     28    0
5     583    90    92  0.601948  {1,1,0}     38    1
82    589   213   214  0.975188  {0,1,0}     23    1
58    606   176   177  0.679880  {1,1,0}     27    1
106   609    36    38  0.144494  {0,1,0}     21    1
91    611   159   160  0.864337  {0,2,0}     29    1
