map EGL-G2-C
fac 5 10 {0,30,215,32,171}
hosp 3 {0,177,5}
n_ALS 6 1 {1:30,2:215,2:32,1:171}
n_BLS 20 1 {6:0,5:30,3:215,4:32,2:171}
n_CLS 6 0 {1:0,4:215,1:171}
      c_m  head  tail      c_af      c_d  c_tau  c_h
45     11    25    26  0.264925  {0,1,0}     29    1
58     17   226   251  0.372594  {0,2,0}     24    0
62     27   148   149  0.511494  {0,1,1}     30    0
68     29    60    68  0.275297  {0,1,0}     31    0
116    63     3    15  0.498036  {0,2,0}     38    0
66     81   105   106  0.579052  {0,0,1}     39    1
67     98   116   123  0.794434  {0,1,0}     40    0
25    106     6     7  0.793508  {0,2,0}     38    1
18    112   125   150  0.457288  {1,0,0}     34    1
50    154    92    93  0.148604  {0,1,0}     28    0
102   157    58    59  0.438024  {1,0,0}     40    1
56    160   162   163  0.850844  {1,1,0}     24    1
17    163   150   151  0.113862  {1,3,0}     23    1
9     190   104   114  0.916997  {0,3,0}     30    0
29    193   171   172  0.028086  {1,1,0}     40    1
127   241    69    80  0.476150  {0,1,0}     32    0
40    252   190   192  0.645449  {0,2,0}     20    1
5     273   116   117  0.184052  {0,0,1}     27    1
78    314     5     6  0.871931  {0,0,1}     35    1
81    345    18    19  0.410826  {0,2,0}     31    0
107   392    73    74  0.748476  {0,2,0}     32    0
84    394   127   128  0.071156  {1,0,0}     24    1
79    421   159   161  0.169496  {1,1,0}     38    1
110   426   103   104  0.720233  {0,1,1}     20    0
94    440   204   206  0.879847  {0,3,0}     38    1
1     449    56    57  0.102527  {0,1,0}     26    1
122   457    41    51  0.315218  {0,1,0}     33    1
37    460   193   194  0.006270  {1,1,0}     26    1
39    463   126   127  0.142148  {0,2,0}     22    1
92    468   217   219  0.735089  {0,0,1}     30    1
125   492   180   181  0.326737  {0,3,0}     22    1
119   516    48    57  0.352810  {0,0,1}     29    0
91    519    29    31  0.655610  {1,0,0}     28    1
80    533   249   252  0.827427  {0,1,0}     21    1
112   533   164   169  0.227882  {0,2,0}     36    0
16    539   102   103  0.675870  {0,2,0}     22    1
124   544   252   253  0.474106  {0,2,0}     23    0
63    544   126   150  0.583152  {0,2,0}     31    0
2     545   129   130  0.071478  {0,2,0}     21    1
55    564   143   145  0.650413  {0,1,0}     35    1
49    565   233   235  0.191900  {1,1,0}     40    1
82    574   198   199  0.743274  {0,1,0}     25    0
115   576    16    17  0.576729  {0,3,0}     40    1
35    576   234   239  0.652151  {0,2,0}     31    1
44    583   239   244  0.350154  {0,3,0}     20    0
101   601    39    40  0.835031  {0,1,1}     21    1
118   607   197   200  0.657007  {0,2,0}     21    1
87    624    91    92  0.423167  {1,0,0}     30    1
99    640     3     4  0.643935  {1,1,0}     32    1
97    662   175   177  0.205908  {1,1,0}     35    1
65    663   222   223  0.968393  {1,1,0}     22    1
32    667   168   176  0.131393  {0,1,0}     31    0
20    675    97    98  0.733512  {0,2,0}     30    1
10    683   157   163  0.620742  {0,2,0}     35    1
