map EGL-G2-C
fac 5 10 {0,207,43,10,38}
hosp 1 {0}
n_ALS 7 1 {6:0,1:10}
n_BLS 23 1 {4:0,6:207,3:43,4:10,6:38}
n_CLS 6 0 {2:207,3:43,1:10}
      c_m  head  tail      c_af      c_d  c_tau  c_h
25     22   157   161  0.294546  {0,0,1}     26    1
112    39   205   207  0.350580  {1,1,0}     26    1
61    172    92    93  0.846924  {0,1,0}     29    0
99    174   117   118  0.402098  {0,1,1}     29    1
68    186     5    23  0.404119  {1,1,0}     32    0
122   250   218   250  0.484365  {1,1,0}     37    1
2     266   103   111  0.419014  {0,1,0}     22    1
86    268   240   241  0.563553  {0,3,0}     36    0
40    284    74    76  0.289433  {0,1,1}     33    0
27    295    89    90  0.221051  {0,1,0}     28    1
39    325   141   150  0.530911  {1,0,0}     36    1
71    336   123   124  0.141941  {0,3,0}     39    1
26    360    37    75  0.633771  {0,1,1}     24    1
47    375    71    72  0.060786  {0,1,0}     26    1
31    417   117   118  0.160078  {0,2,0}     31    0
73    430    70    71  0.941972  {0,1,0}     37    0
74    441   125   150  0.910452  {0,2,0}     30    1
113   455   243   245  0.357358  {1,0,0}     27    1
65    466    89    90  0.846927  {0,2,0}     33    1
100   476   194   242  0.561898  {0,3,0}     21    1
45    476   234   235  0.322722  {0,3,0}     23    1
1     491   228   229  0.030204  {0,2,0}     30    1
28    491   174   189  0.642917  {1,0,0}     36    1
19    500   205   207  0.693297  {0,1,0}     21    1
116   510   131   132  0.800563  {0,0,1}     36    1
95    516   108   109  0.692715  {0,2,0}     30    0
77    528   125   126  0.825141  {0,3,0}     30    0
120   536    16    17  0.856467  {0,1,0}     39    0
91    545   136   146  0.688707  {0,2,0}     27    1
22    578    89    97  0.253378  {0,2,0}     36    0
15    596   137   138  0.137332  {0,2,0}     26    1
121   596   196   198  0.966954  {0,3,0}     20    1
69    602   212   213  0.482664  {1,1,0}     28    1
17    606   113   115  0.340352  {0,3,0}     35    0
55    624    18    19  0.078522  {0,0,1}     31    0
29    630    39    73  0.708519  {1,0,0}     37    1
37    641    66    93  0.461310  {0,2,0}     23    1
83    645   168   176  0.915862  {1,1,0}     33    1
125   649    29    31  0.369779  {0,3,0}     38    1
43    658   105   106  0.884580  {0,2,0}     26    1
9     663   200   201  0.851914  {0,1,0}     25    1
12    664    60    68  0.990154  {1,0,0}     28    1
54    675     5    23  0.906226  {0,2,0}     34    0
87    678   196   197  0.144424  {0,1,0}     24    1
59    680   201   202  0.557804  {1,0,0}     32    1
114   693   227   229  0.157804  {0,2,0}     26    0
90    697   131   132  0.849437  {0,1,0}     24    1
13    705    53    54  0.362916  {0,2,0}     22    0
33    721   164   165  0.321103  {0,1,0}     29    1
94    727    26    28  0.766005  {1,1,0}     29    1
32    738   196   198  0.784963  {1,0,0}     23    1
111   739    79    80  0.148220  {0,2,0}     37    1
30    743   141   142  0.420203  {0,1,0}     40    0
64    759   212   213  0.793585  {0,3,0}     32    1
23    762   158   159  0.899104  {0,0,1}     35    0
101   764    97    98  0.759506  {0,1,1}     23    1
38    772     6     7  0.835174  {0,1,1}     37    0
4     777   132   133  0.235161  {1,0,0}     26    1
57    778    81    89  0.611324  {1,1,0}     36    1
18    778     6    27  0.608274  {0,1,1}     20    1
126   781   157   161  0.167487  {0,2,0}     32    1
80    781     4     5  0.344053  {0,3,0}     40    1
62    782    43    44  0.979474  {1,1,0}     31    1
105   794   205   207  0.626110  {0,0,1}     39    1
117   798    50    51  0.443550  {0,1,0}     25    0
97    798   106   108  0.026977  {0,3,0}     29    0
106   818    81    82  0.049889  {0,2,0}     40    1
123   824   111   114  0.464823  {0,2,0}     29    1
60    827   159   160  0.952388  {0,3,0}     20    0
119   835   222   223  0.485044  {0,2,0}     38    1
5     849    51    52  0.107557  {0,3,0}     37    1
127   851    74    76  0.882282  {0,1,0}     21    0
93    860   145   148  0.987078  {1,1,0}     28    0
42    862     0    21  0.522072  {1,1,0}     23    1
44    903   197   199  0.550770  {1,1,0}     26    1
24    917   170   174  0.423518  {1,1,0}     34    1
56    934   108   109  0.786602  {1,1,0}     29    1
20    943   225   228  0.516285  {1,0,0}     21    1
53    947   126   150  0.276310  {0,0,1}     25    1
63    948   118   119  0.449749  {0,0,1}     38    0
98    954   166   167  0.909478  {1,1,0}     34    0
85    956   208   210  0.964456  {0,3,0}     23    0
35    976   143   144  0.501489  {0,3,0}     24    1
118   976   178   179  0.910338  {0,0,1}     24    0
8     996   113   115  0.517771  {0,1,0}     40    1
50   1011    82    83  0.637458  {0,3,0}     36    1
49   1026   197   200  0.462930  {1,1,0}     40    1
84   1031   249   250  0.279809  {0,1,0}     21    1
16   1035   194   242  0.833150  {0,1,0}     24    1
82   1044    45    64  0.575958  {1,0,0}     36    0
0    1049    63    65  0.033941  {0,2,0}     36    1
51   1054    66    93  0.539200  {0,2,0}     23    1
75   1074   228   229  0.948890  {0,1,0}     23    0
3    1095   106   118  0.655791  {0,2,0}     26    1
6    1106   245   246  0.529749  {0,2,0}     30    1
41   1106     1     2  0.385127  {0,3,0}     30    1
21   1113    49    56  0.369493  {1,1,0}     31    1
14   1116   177   181  0.188810  {0,2,0}     21    0
110  1119   245   247  0.895349  {1,0,0}     23    1
70   1128    71    72  0.121646  {0,2,0}     33    1
124  1130   243   245  0.446445  {0,0,1}     23    0
66   1137    10    41  0.984968  {0,0,1}     25    0
36   1139   112   113  0.948230  {0,1,0}     20    1
79   1160   108   109  0.066390  {0,3,0}     26    1
96   1161    82    85  0.142626  {1,0,0}     40    1
48   1182   178   179  0.034049  {0,1,0}     34    0
108  1184    85   101  0.084986  {1,1,0}     37    1
58   1193   126   127  0.032941  {1,2,0}     34    1
10   1198   146   147  0.980762  {0,2,0}     23    1
102  1209    57    61  0.697404  {1,0,0}     21    1
88   1247   233   254  0.103996  {1,1,0}     32    1
103  1252   209   216  0.310587  {0,1,0}     38    1
52   1267   223   224  0.443486  {0,2,0}     26    1
46   1278    43    46  0.144939  {0,2,0}     29    0
115  1323   175   177  0.013026  {0,2,0}     27    1
11   1331   165   166  0.538720  {0,1,0}     38    0
72   1342   156   162  0.903063  {0,1,0}     24    1
89   1344    84    86  0.961996  {0,2,0}     39    1
7    1346   205   207  0.800672  {0,2,0}     21    1
107  1348   167   168  0.813675  {0,1,1}     25    1
67   1354   210   215  0.293928  {0,1,0}     30    0
78   1357   136   146  0.726074  {0,2,0}     31    1
81   1360   198   199  0.993458  {0,2,0}     34    1
109  1370   179   180  0.016497  {0,1,1}     35    0
76   1374     8    33  0.559641  {0,1,0}     30    0
92   1390    99   100  0.281855  {0,1,0}     29    1
34   1416   225   226  0.271464  {1,0,0}     33    0
104  1436   216   217  0.691162  {1,1,0}     38    1
