map EGL-G2-C
fac 5 10 {0,78,228,31,218}
hosp 2 {0,48}
n_ALS 8 1 {2:0,3:78,1:228,2:218}
n_BLS 23 1 {6:0,7:78,6:228,4:31}
n_CLS 5 0 {1:0,2:31,2:218}
      c_m  head  tail      c_af      c_d  c_tau  c_h
100     0   166   167  0.667074  {0,1,0}     21    1
17      3    24    25  0.446649  {0,1,0}     29    0
97     10   226   229  0.300888  {1,0,0}     20    1
72     38   121   122  0.437294  {0,3,0}     29    1
78     42    23    87  0.060006  {0,1,0}     25    0
20     43   139   140  0.392282  {1,0,0}     21    1
112    74   186   198  0.043609  {0,1,0}     39    1
61    101    21    35  0.770564  {0,3,0}     20    0
91    110     1     2  0.325155  {1,1,0}     30    0
75    181   249   252  0.744636  {0,2,0}     33    0
29    215    42    43  0.718678  {1,1,0}     20    1
59    236    74    75  0.286894  {0,1,0}     39    1
15    241   158   160  0.525481  {1,1,0}     36    1
58    248    19    25  0.201809  {0,2,0}     37    1
63    250   159   161  0.735320  {1,1,0}     34    1
90    345    41    51  0.862920  {0,1,0}     28    1
0     357   125   150  0.241480  {0,3,0}     34    0
10    364   217   218  0.156823  {0,2,0}     20    0
105   375   253   254  0.759785  {0,1,0}     40    0
94    398   223   224  0.617613  {0,2,0}     27    1
71    473   113   115  0.387417  {0,1,0}     39    1
50    477   231   232  0.415211  {0,1,1}     38    1
48    497    13    14  0.091266  {0,1,0}     30    0
107   501    23    87  0.869854  {1,0,0}     30    1
13    509    92    93  0.744666  {1,0,0}     33    1
126   534    60    68  0.426279  {0,2,0}     29    1
115   560    78    82  0.314417  {0,3,0}     38    0
1     580   244   245  0.921080  {1,1,0}     36    1
2     586   164   165  0.435405  {0,2,0}     24    1
25    605   166   167  0.654666  {0,3,0}     39    0
34    615   151   152  0.378747  {0,1,0}     23    1
40    669    53    54  0.997949  {1,1,0}     25    0
82    688   218   250  0.226284  {1,0,0}     40    1
113   703     8    33  0.463271  {0,1,0}     24    1
51    715   140   142  0.726567  {0,0,1}     30    0
11    722   156   162  0.039116  {0,3,0}     35    1
118   731   172   173  0.658026  {1,0,0}     24    1
93    740    84    86  0.881978  {0,1,0}     33    1
57    755   174   183  0.409325  {1,0,0}     35    1
36    766   140   141  0.959260  {0,3,0}     24    1
123   766    41    51  0.534244  {0,2,0}     33    1
92    766    83    84  0.122414  {0,2,0}     26    0
26    773   179   183  0.074776  {0,1,0}     21    1
46    775   161   164  0.261414  {1,0,0}     34    1
47    777    47    48  0.589490  {0,1,0}     23    1
108   784    72    73  0.807781  {0,2,0}     24    0
37    797   247   248  0.595076  {1,0,0}     31    1
16    806    43    44  0.135283  {1,0,0}     26    1
110   817   205   207  0.501505  {1,1,0}     33    1
81    821   185   187  0.814952  {0,1,0}     31    1
114   824    45    64  0.409045  {0,3,0}     24    1
45    833   195   248  0.681262  {1,1,0}     37    1
85    835   146   147  0.723615  {1,0,0}     36    1
77    841   250   251  0.527182  {1,0,0}     26    1
33    845   233   254  0.138426  {0,3,0}     38    1
6     851   125   150  0.179491  {1,0,0}     24    0
79    862   205   208  0.532977  {1,0,0}     31    1
87    866    10    41  0.715782  {0,3,0}     30    1
117   873    81    89  0.029360  {0,2,0}     34    1
122   896     7     8  0.697168  {1,1,0}     26    1
35    901   138   139  0.834745  {0,2,0}     32    0
120   914   165   166  0.349489  {1,0,0}     24    1
67    920   181   182  0.784336  {1,1,0}     24    1
28    922   177   181  0.003904  {0,1,1}     40    1
70    930   141   142  0.986731  {1,1,0}     31    1
56    934   235   236  0.466551  {0,2,0}     40    1
12    946    41    51  0.065797  {0,0,1}     20    1
3     952   127   128  0.969374  {0,3,0}     36    1
53    982   212   213  0.514836  {1,1,0}     30    1
96   1004   206   207  0.730420  {0,0,1}     29    1
76   1005   103   111  0.029446  {0,2,0}     37    0
19   1007    54    58  0.838223  {1,0,0}     32    1
95   1008   216   217  0.923236  {0,1,0}     20    0
98   1012   210   215  0.632019  {0,2,0}     33    0
9    1012    74    75  0.948288  {0,2,0}     24    1
106  1023    24    26  0.644058  {0,1,0}     33    1
127  1032    57    61  0.788442  {0,1,0}     28    0
99   1038    66    93  0.092715  {1,1,0}     27    1
62   1038    95    99  0.218324  {0,1,1}     23    0
89   1040    89    90  0.339367  {1,0,0}     31    1
5    1041   146   147  0.470941  {1,0,0}     28    1
74   1047   113   114  0.746531  {0,0,1}     37    0
27   1049   247   249  0.226992  {1,0,0}     39    1
121  1052   178   179  0.961382  {0,1,0}     29    0
116  1063   186   188  0.047240  {0,3,0}     25    0
102  1069    36    39  0.636223  {1,0,0}     36    1
83   1085   117   119  0.919398  {1,0,0}     35    1
54   1095    17    19  0.847009  {0,2,0}     32    1
42   1097    36    38  0.516274  {1,0,0}     31    1
24   1104    81    89  0.622992  {0,3,0}     32    1
55   1107    21    35  0.860460  {0,2,0}     39    1
32   1116   107   109  0.446107  {1,1,0}     37    1
18   1134   105   107  0.134348  {0,1,0}     20    0
4    1134    43    44  0.657928  {0,1,1}     34    1
43   1138   218   225  0.631570  {0,1,0}     39    1
69   1141   215   221  0.525560  {0,2,0}     30    1
60   1145    16    17  0.547164  {0,0,1}     23    1
109  1150    59    60  0.907599  {0,2,0}     36    0
39   1169   145   148  0.015581  {0,2,0}     38    1
88   1170    81    82  0.323819  {0,2,0}     32    0
22   1189    23   171  0.453117  {0,2,0}     39    1
101  1203   123   124  0.622304  {1,1,0}     28    1
52   1209   209   216  0.191840  {0,1,0}     33    1
41   1226   102   103  0.863128  {1,1,0}     32    1
44   1232   103   111  0.117798  {0,1,0}     38    0
80   1234   237   238  0.299659  {0,1,0}     31    1
7    1237   243   245  0.155884  {1,1,0}     30    1
14   1246     2    14  0.534117  {1,3,0}     34    0
124  1249   103   111  0.067557  {1,0,0}     33    1
8    1252    47    48  0.441201  {1,1,0}     40    1
119  1264   211   212  0.106899  {1,0,0}     27    1
38   1267     3    15  0.853249  {0,0,1}     37    0
104  1277    36    39  0.661047  {0,3,0}     35    1
49   1283   178   185  0.337114  {1,0,0}     40    1
73   1290    29    30  0.357265  {0,2,0}     27    1
21   1306   128   139  0.646967  {0,1,0}     27    0
23   1310   152   155  0.309121  {0,2,0}     39    0
84   1319    65    66  0.014674  {1,0,0}     25    1
103  1327    97   112  0.354452  {1,0,0}     25    1
111  1328   154   157  0.286763  {0,0,1}     38    1
30   1334   122   124  0.004013  {1,0,0}     35    1
64   1337   174   189  0.580418  {1,0,0}     38    1
86   1352   209   216  0.236919  {0,1,0}     21    1
65   1356    46    47  0.871554  {0,1,1}     39    0
66   1373   119   120  0.432686  {0,2,0}     26    0
125  1377   152   155  0.465054  {1,0,0}     22    1
68   1419   246   247  0.453719  {0,1,0}     39    0
31   1430   163   168  0.874950  {0,2,0}     22    0
