map EGL-G2-C
fac 5 10 {0,174,55,205,141}
hosp 2 {0,54}
n_ALS 5 1 {1:205,4:141}
n_BLS 24 1 {3:0,5:174,4:55,6:205,6:141}
n_CLS 5 0 {2:0,2:55,1:205}
      c_m  head  tail      c_af      c_d  c_tau  c_h
26     55    82    85  0.846127  {1,0,0}     35    1
86     81   208   209  0.148013  {1,1,0}     34    1
39     93    23   171  0.049771  {1,0,0}     23    1
9     118   245   246  0.980337  {1,1,0}     36    1
51    119   143   144  0.555756  {0,0,1}     31    1
22    124   135   136  0.460400  {0,2,0}     28    1
101   141    30    33  0.701565  {0,3,0}     33    0
19    169   244   253  0.547687  {1,1,0}     33    1
103   174    13    14  0.007297  {1,1,0}     27    1
109   194   171   172  0.589629  {0,1,0}     37    1
65    313   120   162  0.771138  {0,1,0}     29    1
6     314   119   120  0.415467  {0,2,0}     33    0
45    357   103   104  0.770832  {0,1,0}     23    0
53    383    76    77  0.216685  {0,0,1}     31    1
43    413    99   131  0.559993  {0,1,0}     38    1
23    422   210   215  0.780192  {0,2,0}     33    0
87    442   121   122  0.245714  {0,1,1}     29    1
106   458   163   167  0.009031  {0,1,0}     24    0
105   468   217   218  0.388521  {0,1,0}     29    1
127   475   174   189  0.934614  {0,1,0}     30    1
98    485   137   138  0.810344  {0,2,0}     34    0
54    491   152   155  0.017378  {1,2,0}     35    1
62    504   211   212  0.445135  {0,1,0}     38    1
14    508   201   202  0.963642  {0,3,0}     34    0
44    509   250   251  0.505797  {0,3,0}     23    0
107   517    82    85  0.189529  {0,2,0}     33    1
33    521   208   210  0.661230  {0,1,0}     31    0
88    523    70    71  0.976001  {1,1,0}     30    0
1     524    37    75  0.588387  {1,0,0}     37    1
95    535   165   166  0.312117  {0,3,0}     28    0
41    537     6     7  0.316362  {0,1,0}     38    0
13    539   129   138  0.531783  {0,1,0}     32    1
73    540    53    55  0.173079  {1,2,0}     32    1
64    548   140   142  0.196375  {0,1,0}     35    0
37    551   237   238  0.586154  {0,3,0}     23    0
119   553   109   110  0.792313  {0,0,1}     30    1
94    569   248   249  0.413444  {1,1,0}     36    1
125   574   178   179  0.723090  {0,3,0}     38    0
12    586   117   121  0.838584  {0,1,0}     33    0
27    602    59    72  0.301184  {1,1,0}     28    1
115   609   125   150  0.324530  {0,1,0}     38    1
42    615     6    27  0.182793  {1,1,0}     32    1
56    617   188   189  0.187764  {1,1,0}     20    1
2     629   233   234  0.631373  {0,1,0}     20    1
99    643   137   138  0.229315  {1,1,0}     40    1
72    659   193   194  0.267110  {0,2,0}     31    1
28    670     9    34  0.956311  {1,0,0}     39    1
48    674   205   208  0.655703  {0,2,0}     24    0
55    678     8     9  0.903199  {0,1,0}     32    1
100   686   141   142  0.117017  {0,1,0}     34    1
58    687   227   229  0.986316  {1,1,0}     28    1
70    694    42    43  0.060729  {0,1,0}     23    1
77    698   117   121  0.899597  {1,0,0}     38    1
83    722    25    26  0.106768  {0,1,0}     32    1
49    724     5    26  0.614109  {0,1,1}     36    1
29    742   133   134  0.741636  {0,2,0}     36    1
66    745   127   128  0.168654  {1,1,0}     37    1
32    765   174   182  0.398153  {0,2,0}     38    0
90    776   118   119  0.981914  {0,0,1}     29    1
61    778   128   139  0.211779  {0,1,0}     20    1
52    779   201   203  0.835957  {0,2,0}     33    0
24    779    16    17  0.068358  {0,1,0}     37    1
96    791   148   149  0.683987  {0,1,0}     31    1
7     794    61    62  0.655548  {0,0,1}     27    0
110   797   176   177  0.512539  {1,1,0}     38    1
47    799     8     9  0.601984  {0,2,0}     23    1
116   807   102   111  0.729644  {1,1,0}     34    1
15    832   101   102  0.194229  {0,2,0}     21    1
112   847     1     2  0.427761  {0,1,0}     37    0
5     849    57    61  0.109592  {0,3,0}     29    1
63    851   244   245  0.167886  {0,2,0}     40    1
108   867    72    73  0.864052  {0,2,0}     23    1
71    870    97    98  0.418553  {0,3,0}     26    1
74    873    97   112  0.179741  {0,3,0}     36    0
97    875    48    49  0.950089  {1,1,0}     38    1
92    881     2    14  0.952598  {0,2,0}     32    0
104   911    59    72  0.027838  {0,2,0}     37    1
16    913    66    92  0.078825  {1,2,0}     24    1
114   915   226   227  0.693333  {0,1,0}     23    1
81    926   199   200  0.010431  {0,1,0}     34    1
60    948   165   166  0.250567  {0,2,0}     23    1
79    992   125   152  0.726247  {0,1,0}     30    1
25    996   201   202  0.113792  {0,3,0}     32    1
4    1003    60    68  0.411263  {0,1,0}     23    0
118  1007    39    40  0.621405  {0,1,0}     29    1
57   1007    30    33  0.624786  {1,1,0}     31    1
75   1010   179   180  0.217153  {1,1,0}     35    1
123  1023    16    17  0.566468  {0,1,1}     26    1
113  1028   177   181  0.723061  {0,3,0}     38    1
59   1029     7     8  0.374709  {0,1,0}     23    0
10   1040    91    92  0.749054  {0,3,0}     20    1
21   1070   117   119  0.257961  {0,1,0}     28    1
30   1083    99   131  0.027757  {1,2,0}     36    1
67   1084    25    26  0.793963  {0,3,0}     38    1
34   1085   116   123  0.152486  {0,2,0}     33    1
85   1100    12    16  0.892529  {0,1,0}     32    0
11   1157   162   163  0.270195  {0,1,0}     40    1
117  1163   179   183  0.007567  {1,1,0}     38    1
20   1180   240   241  0.126105  {1,0,0}     23    1
35   1181    17    22  0.067971  {0,1,0}     36    0
121  1182    31    32  0.158404  {0,3,0}     20    1
82   1188   249   252  0.717922  {0,0,1}     35    0
111  1194    30    33  0.248235  {1,1,0}     24    1
122  1195   237   238  0.223404  {0,2,0}     21    0
76   1196   188   189  0.411543  {1,1,0}     25    1
84   1200    11    42  0.940527  {0,0,1}     20    1
50   1209    97    98  0.510464  {1,1,0}     23    1
8    1214     5    23  0.249378  {0,1,0}     29    0
46   1226    31    32  0.697148  {0,2,0}     27    1
31   1263    60    68  0.721160  {0,1,0}     24    0
68   1264   158   159  0.383755  {0,1,0}     25    1
38   1269    56    57  0.790410  {0,2,0}     23    0
36   1271    82    85  0.545000  {1,1,0}     40    1
80   1297    78    82  0.542056  {1,1,0}     25    1
126  1313   219   223  0.447984  {0,1,0}     38    1
120  1320    87    88  0.757334  {1,1,0}     29    1
69   1320   231   232  0.352866  {0,0,1}     25    1
3    1325    67    69  0.573390  {0,2,0}     24    0
78   1336   235   236  0.552613  {0,2,0}     21    0
40   1340    31    32  0.815868  {0,3,0}     36    1
89   1341   186   188  0.082708  {0,2,0}     22    1
124  1341    66    93  0.923325  {0,1,1}     34    0
102  1342    12    16  0.489738  {0,3,0}     22    1
0    1374     6    27  0.245057  {0,1,0}     38    0
18   1379   227   233  0.029358  {1,1,0}     24    1
17   1403   125   150  0.848683  {0,1,0}     33    1
93   1429   203   204  0.525382  {0,2,0}     35    1
91   1435     1     2  0.278635  {1,0,0}     26    1
