map EGL-G2-D
fac 5 10 {0,99,76,165,55}
hosp 2 {0,165}
n_ALS 10 1 {3:0,2:99,1:76,4:165}
n_BLS 21 1 {7:0,2:76,6:165,6:55}
n_CLS 7 0 {3:99,2:76,2:55}
      c_m  head  tail      c_af      c_d  c_tau  c_h
42      5   240   241  0.816693  {1,2,0}     40    1
70     15    61    62  0.678461  {0,1,1}     26    1
124    29   250   251  0.038213  {1,1,0}     29    0
22     44   152   155  0.592461  {0,2,0}     26    1
44     65    45    46  0.658872  {0,1,0}     36    1
33     83    26    28  0.720598  {0,3,0}     40    1
30    150   129   130  0.444730  {0,3,0}     28    1
55    153    57    61  0.116310  {1,1,0}     30    1
26    167    43    45  0.311449  {0,1,0}     32    0
19    195   125   126  0.774233  {0,1,0}     26    0
123   231   170   171  0.144269  {0,1,0}     30    0
35    253   228   230  0.969790  {1,0,0}     26    1
12    313   235   236  0.223641  {0,1,0}     39    1
7     320     5    26  0.990634  {0,1,0}     32    1
5     337    50    51  0.534512  {0,2,0}     26    1
126   403   116   117  0.569118  {0,1,0}     28    1
90    406    47    64  0.056185  {1,0,0}     30    1
107   430   158   159  0.718361  {0,1,0}     28    0
94    454    92    93  0.859094  {0,1,0}     40    1
64    458   151   152  0.788143  {1,0,0}     22    1
108   464    67    68  0.958255  {0,1,0}     25    1
17    474   126   127  0.688840  {1,1,0}     23    1
103   480   213   214  0.819573  {1,1,0}     32    1
69    492    27    30  0.583232  {0,3,0}     28    1
24    502    81    89  0.423858  {0,3,0}     36    0
51    505    37    75  0.573773  {0,3,0}     35    1
117   510   125   150  0.539003  {0,0,1}     31    0
125   527   217   218  0.464695  {0,0,1}     27    1
76    539   192   194  0.358758  {0,2,0}     31    0
127   557    29    30  0.503973  {0,2,0}     21    0
89    564    36    38  0.150004  {0,2,0}     29    0
115   572   204   205  0.479426  {0,2,0}     27    0
87    572    93    94  0.668837  {0,1,0}     25    0
116   613   101   102  0.124967  {0,1,0}     25    0
53    623    26    28  0.988268  {1,1,0}     31    1
104   632   234   235  0.223085  {0,2,0}     33    0
41    640   219   223  0.729858  {0,1,0}     25    1
111   656    67    68  0.074777  {0,2,0}     37    0
10    660   240   242  0.382158  {0,1,1}     29    1
95    670    79    80  0.893409  {0,3,0}     22    0
101   680   127   128  0.919070  {0,3,0}     37    1
23    683   166   167  0.476432  {0,1,0}     35    0
105   683    20    21  0.813499  {0,3,0}     21    1
82    685    51    52  0.381699  {1,0,0}     36    1
28    693    80    81  0.956431  {0,3,0}     24    1
43    696   103   104  0.771710  {0,1,1}     30    1
114   698   106   118  0.391414  {0,2,0}     32    1
54    698    87    88  0.301966  {0,2,0}     34    1
38    703    16    17  0.025298  {0,2,0}     25    1
40    704   237   238  0.776285  {1,0,0}     33    1
100   706   250   251  0.643422  {1,0,0}     39    1
72    708    27    30  0.864909  {0,3,0}     40    1
112   712   148   149  0.103872  {1,2,0}     29    1
67    714   120   162  0.752838  {0,1,1}     22    0
65    739   159   161  0.754242  {1,0,0}     34    1
18    756   146   147  0.874890  {0,1,0}     23    0
66    762    31    38  0.653766  {1,0,0}     26    1
11    764    16    18  0.608331  {0,1,0}     36    1
109   774    54    55  0.803298  {0,3,0}     23    1
63    780   174   183  0.553190  {0,0,1}     20    1
31    787     9    34  0.788539  {0,3,0}     22    0
77    787    79    80  0.157040  {0,2,0}     22    1
71    787   141   142  0.304321  {0,2,0}     24    0
102   799    59    72  0.551216  {0,2,0}     25    0
78    803   109   110  0.186781  {0,3,0}     34    1
121   812   179   180  0.778336  {0,3,0}     30    0
93    835   247   249  0.468538  {0,2,0}     36    0
68    838   192   193  0.638038  {1,1,0}     34    0
110   851   202   209  0.417702  {1,0,0}     34    1
14    856    30    33  0.998722  {1,0,0}     23    1
21    867   102   103  0.859617  {0,1,0}     30    0
99    867   156   157  0.220991  {0,0,1}     24    0
37    871    30    33  0.310035  {1,1,0}     38    1
36    879    17    22  0.104994  {0,3,0}     27    0
88    882   219   223  0.023027  {1,0,0}     38    1
27    888   104   105  0.771053  {0,1,0}     28    0
16    905    76    78  0.563177  {0,0,1}     24    1
97    911   175   177  0.459291  {0,3,0}     31    1
84    920   164   165  0.251873  {0,1,0}     33    1
39    926    99   100  0.985337  {0,3,0}     28    1
86    936    21    35  0.561284  {0,1,0}     34    1
59    947    61    65  0.892777  {0,1,0}     24    1
13    965   220   221  0.052786  {0,2,0}     37    0
79    967    90    92  0.997332  {0,2,0}     40    0
29    976   240   242  0.829254  {0,1,0}     23    0
119   991    62    63  0.487278  {1,0,0}     29    1
96    994   106   108  0.171964  {0,2,0}     29    0
15    995   179   184  0.753620  {0,1,0}     28    1
75   1006   179   183  0.129416  {1,0,0}     29    1
4    1016   145   146  0.107468  {0,1,0}     32    0
113  1022   141   142  0.951955  {1,0,0}     39    1
61   1025   201   202  0.424012  {0,3,0}     28    1
25   1027   152   153  0.327563  {0,2,0}     36    1
118  1028   239   244  0.903687  {0,2,0}     24    0
120  1037    74    75  0.398164  {0,1,0}     37    1
47   1044   240   241  0.413011  {0,3,0}     23    0
91   1056   233   234  0.901331  {0,1,0}     40    0
106  1089   177   180  0.758890  {0,1,0}     29    0
74   1092    66    92  0.201318  {0,1,0}     37    0
46   1096   131   132  0.529626  {0,1,0}     33    1
60   1110   112   113  0.697258  {1,0,0}     39    1
85   1120   175   177  0.871594  {0,2,0}     38    1
52   1121    59    60  0.425474  {0,2,0}     35    1
2    1124   136   137  0.461022  {0,1,0}     39    0
81   1136   113   115  0.527534  {0,2,0}     20    0
73   1145    97   115  0.863956  {0,3,0}     23    0
34   1148   225   228  0.361011  {1,0,0}     35    1
56   1163   244   245  0.888966  {0,3,0}     22    0
48   1165   251   252  0.366435  {0,3,0}     26    1
83   1170   153   154  0.606419  {1,1,0}     36    1
1    1170   185   187  0.720717  {0,2,0}     25    1
57   1171   154   158  0.443961  {1,1,0}     30    1
58   1199   190   192  0.899085  {0,0,1}     22    1
80   1245    96    98  0.071273  {1,0,0}     22    1
9    1249   198   199  0.687516  {0,2,0}     24    1
20   1251   227   229  0.683460  {0,1,0}     29    1
50   1257    45    46  0.341649  {0,1,1}     38    0
3    1279    82    85  0.223584  {0,0,1}     24    0
92   1288    72    73  0.710614  {1,0,0}     23    1
0    1290   126   150  0.533859  {0,2,0}     40    0
122  1306    14    15  0.708478  {0,2,0}     38    0
8    1308   203   204  0.288733  {0,2,0}     35    1
62   1311   172   173  0.387616  {0,3,0}     37    1
45   1318   120   162  0.656493  {0,2,0}     38    1
32   1334   170   174  0.222557  {1,0,0}     27    1
49   1336   112   113  0.243695  {0,2,0}     29    1
98   1370   212   213  0.191266  {0,2,0}     37    0
6    1375    30    33  0.959139  {0,1,0}     23    0
