map EGL-G2-D
fac 5 10 {0,54,217,172,24}
hosp 1 {0}
n_ALS 8 1 {2:0,3:54,1:217,1:172,1:24}
n_BLS 23 1 {4:0,6:54,7:172,6:24}
n_CLS 10 0 {3:0,5:217,2:172}
      c_m  head  tail      c_af      c_d  c_tau  c_h
127     9    76    77  0.440495  {0,1,0}     36    1
63     16    22    24  0.049823  {0,2,0}     28    1
83     36   234   239  0.294785  {0,3,0}     20    0
126    47    27    28  0.907662  {1,1,0}     33    1
121    55    95    96  0.429078  {1,1,0}     20    1
68     74     8     9  0.692863  {1,0,0}     38    1
21     89   217   219  0.053845  {0,3,0}     23    0
78     97   239   243  0.338035  {0,1,0}     39    1
79    118   163   168  0.692709  {1,0,0}     35    1
117   126   179   183  0.026220  {0,1,0}     22    1
10    132   210   211  0.059002  {0,2,0}     20    1
57    135     5    23  0.662750  {1,1,0}     37    1
8     174   189   190  0.234084  {0,1,0}     32    1
0     198   213   215  0.556337  {0,1,1}     36    0
70    263   161   164  0.716394  {0,1,0}     31    1
69    265   237   238  0.613445  {1,1,0}     22    1
6     280    80    81  0.486438  {1,0,0}     20    1
12    339    80    81  0.900507  {0,1,0}     30    1
45    365   121   155  0.026987  {0,1,0}     22    1
9     401    10    41  0.996428  {0,2,0}     38    1
54    419   251   252  0.773545  {0,2,0}     20    1
95    443   163   168  0.171357  {0,2,0}     29    1
82    449     3    23  0.886096  {0,1,0}     24    1
122   465   139   140  0.783019  {0,2,0}     29    1
103   466    61    65  0.528787  {0,1,0}     34    0
31    474    90    92  0.585875  {1,1,0}     35    1
62    494   213   214  0.373692  {0,2,0}     29    0
35    500   204   206  0.031251  {0,2,0}     24    0
115   514   239   240  0.761174  {0,3,0}     36    1
58    530    40    41  0.999196  {1,1,0}     21    1
85    543    67    69  0.139492  {0,1,1}     32    0
92    551   218   225  0.625293  {0,2,0}     23    0
40    567   202   209  0.571269  {0,2,0}     20    1
23    608    89    97  0.613570  {1,0,0}     32    1
34    634   228   230  0.414655  {1,0,0}     37    1
26    639    81    89  0.819396  {0,2,0}     29    1
90    653   168   176  0.929937  {0,1,0}     37    0
72    661   201   203  0.501809  {0,1,0}     32    0
18    666   193   246  0.063580  {1,1,0}     39    1
114   675   146   147  0.429779  {1,0,0}     24    1
47    677   130   131  0.696295  {0,3,0}     38    1
107   677   193   194  0.387677  {0,1,0}     29    0
96    678   210   211  0.749251  {1,0,0}     20    1
119   688    74    76  0.234997  {1,0,0}     35    1
28    694   105   106  0.689415  {1,1,0}     22    1
4     707    71    72  0.318819  {0,1,0}     37    0
75    713    13    14  0.675883  {0,2,0}     38    1
65    718   125   150  0.808566  {0,2,0}     30    1
71    727   161   164  0.051503  {0,1,0}     20    1
49    730   116   123  0.360229  {0,3,0}     23    1
3     732   111   114  0.119419  {0,1,0}     20    1
88    765     4    22  0.435815  {1,0,0}     23    1
60    767    50    52  0.005759  {0,1,1}     36    0
87    769    99   131  0.073047  {0,3,0}     32    1
2     772   174   183  0.676088  {0,2,0}     39    1
48    774   136   146  0.913521  {1,1,0}     23    1
52    796    46    47  0.045339  {1,3,0}     34    1
98    801   185   186  0.972693  {0,3,0}     31    1
55    808    82    83  0.888252  {1,1,0}     34    1
120   809   212   213  0.504705  {1,1,0}     36    0
