map EGL-G2-D
fac 5 10 {0,5,86,202,109}
hosp 2 {0,41}
n_ALS 10 1 {1:0,3:5,2:86,1:202,3:109}
n_BLS 21 1 {2:0,5:5,5:86,2:202,7:109}
n_CLS 6 0 {3:0,2:86,1:202}
      c_m  head  tail      c_af      c_d  c_tau  c_h
5       7    82    85  0.043101  {0,2,0}     22    1
50     23   179   180  0.321499  {0,2,0}     29    0
111    49   117   119  0.783591  {0,1,1}     24    1
94     62    24    26  0.057935  {0,2,0}     35    0
77     73   231   232  0.227213  {0,1,0}     37    0
63     81   242   243  0.337857  {1,0,0}     35    0
74     95   117   121  0.994071  {0,1,1}     21    1
39    134   117   118  0.980059  {1,0,0}     24    1
44    158    27    28  0.036078  {0,3,0}     32    0
100   204   112   113  0.562881  {0,1,0}     30    1
10    247     6     7  0.742544  {0,2,0}     35    1
17    289   128   139  0.352896  {1,0,0}     39    1
23    314   239   240  0.013892  {0,1,0}     34    1
0     366    53    54  0.232554  {0,1,0}     23    0
118   397   137   138  0.519323  {0,1,0}     40    1
80    397   120   170  0.335948  {0,2,0}     23    0
91    431   233   234  0.122137  {1,0,0}     22    1
84    447   174   182  0.785868  {0,2,0}     25    1
28    455   231   232  0.853705  {1,1,0}     23    1
102   458    29    31  0.666188  {1,2,0}     39    1
98    477     3    15  0.736928  {1,1,0}     40    1
67    503    66    67  0.408086  {1,1,0}     35    1
42    504   203   204  0.574236  {0,3,0}     22    0
107   507   209   216  0.627491  {0,1,0}     26    0
85    515    60    68  0.478162  {0,0,1}     24    1
31    515   102   111  0.979578  {0,3,0}     31    1
119   525   131   132  0.116573  {0,2,0}     27    0
45    546   236   237  0.541902  {1,2,0}     34    1
112   548    38    40  0.317229  {0,2,0}     37    0
59    550   120   170  0.148688  {0,0,1}     28    1
83    560    84    85  0.974996  {1,1,0}     38    1
60    575   227   233  0.901693  {1,1,0}     27    1
117   592    23    87  0.547816  {0,2,0}     24    1
71    601   210   211  0.018678  {1,1,0}     39    1
92    607    71    72  0.816328  {0,1,0}     23    0
127   622   122   124  0.406879  {1,0,0}     24    1
26    659   168   176  0.363366  {0,1,0}     20    1
66    689    19    25  0.839736  {1,1,0}     37    1
25    697    29    30  0.584276  {0,3,0}     32    0
29    698   240   242  0.516432  {0,3,0}     38    1
125   709   104   105  0.802863  {1,1,0}     25    1
90    714   240   242  0.268101  {0,1,0}     24    1
126   737   105   107  0.174791  {0,1,0}     33    1
12    755   166   175  0.570815  {0,1,0}     28    0
113   761    71    73  0.966687  {0,1,0}     33    0
57    763   129   138  0.478995  {0,2,0}     28    1
34    768    53    55  0.495285  {1,2,0}     39    1
114   780   125   152  0.310530  {0,0,1}     35    1
93    791   195   196  0.647296  {1,1,0}     28    1
55    803    85   101  0.058639  {0,2,0}     33    0
106   805   135   147  0.704215  {1,1,0}     35    1
105   806   135   136  0.805460  {0,3,0}     29    1
49    813   179   180  0.040953  {1,1,0}     34    1
41    815   108   109  0.045017  {1,0,0}     28    1
11    815   117   118  0.794111  {0,2,0}     33    1
47    822    70    79  0.860178  {1,0,0}     35    1
51    823   104   105  0.936204  {0,1,0}     39    1
4     831   245   246  0.594319  {0,1,0}     21    0
52    831   125   126  0.168502  {0,2,0}     38    0
56    858   163   168  0.348326  {0,3,0}     33    1
76    864    27    30  0.658949  {0,1,0}     28    1
13    883   228   230  0.040373  {0,0,1}     24    1
7     884    23   171  0.555658  {0,1,0}     23    0
120   888    28    29  0.352298  {0,3,0}     32    1
86    892   108   109  0.828595  {1,1,0}     36    0
64    898    58    59  0.995186  {1,1,0}     32    1
115   898     5    23  0.256764  {1,0,0}     33    1
58    899    61    62  0.296148  {0,1,0}     35    1
101   905   227   229  0.610965  {0,1,0}     21    1
70    919   181   182  0.764784  {0,1,0}     20    0
21    925    61    62  0.502399  {0,2,0}     40    0
109   931    31    38  0.273190  {0,1,0}     32    0
48    962    66    93  0.342861  {1,1,0}     23    1
99    980   186   198  0.649260  {0,3,0}     23    1
