map EGL-G2-D
fac 5 10 {0,245,206,133,74}
hosp 1 {0}
n_ALS 5 1 {2:0,3:74}
n_BLS 21 1 {3:0,7:245,6:206,2:133,3:74}
n_CLS 5 0 {2:0,2:206,1:133}
      c_m  head  tail      c_af      c_d  c_tau  c_h
74     29   186   198  0.493733  {0,3,0}     38    0
104    43    97    98  0.347637  {0,3,0}     39    1
62     74   184   188  0.414864  {0,1,0}     37    0
36     84    61    62  0.242631  {0,2,0}     34    1
57     88   248   249  0.393150  {0,3,0}     37    1
102   129   184   188  0.426456  {1,1,0}     30    1
92    156   111   114  0.066579  {1,0,0}     21    1
29    203    50    51  0.257972  {0,1,0}     26    1
50    206    30    33  0.019069  {0,3,0}     26    1
52    240    89    97  0.237997  {0,2,0}     39    0
32    242    81    82  0.988036  {0,2,0}     34    1
109   248   227   231  0.871103  {1,0,0}     29    1
53    260    63    65  0.556880  {0,1,0}     21    1
60    264    29    30  0.410036  {1,1,0}     27    1
17    277    49    56  0.973976  {0,3,0}     26    1
79    284    87    88  0.159766  {0,1,1}     23    1
11    301   178   179  0.103018  {1,1,0}     23    1
63    304    13    14  0.054580  {0,2,0}     30    0
96    310   244   245  0.682837  {0,2,0}     22    1
127   323   216   218  0.636546  {0,1,0}     32    1
16    349   186   188  0.456001  {0,1,1}     37    1
94    364   156   157  0.890101  {1,0,0}     38    1
23    365   244   253  0.931038  {0,2,0}     28    1
122   382   168   176  0.717659  {1,1,0}     28    1
35    415   158   160  0.702983  {0,1,0}     27    1
33    428   136   137  0.746867  {0,2,0}     37    0
72    431   171   172  0.534187  {0,0,1}     21    0
100   433     6     7  0.380404  {0,2,0}     29    0
70    440   120   162  0.282834  {1,1,0}     24    1
48    443   196   197  0.742861  {0,3,0}     29    1
121   452     1    12  0.674625  {0,0,1}     25    0
106   461    21    35  0.014200  {0,0,1}     20    1
103   463   143   144  0.412667  {1,1,0}     29    1
43    473   166   167  0.883403  {0,2,0}     22    1
89    503    82    83  0.336544  {0,1,0}     27    0
13    510    39    73  0.669396  {0,0,1}     22    1
44    516   102   103  0.296381  {0,1,0}     25    0
38    542   107   108  0.915465  {0,1,0}     36    0
99    543   105   107  0.148339  {0,2,0}     35    0
124   544   136   146  0.854763  {0,2,0}     40    1
80    548   164   169  0.618838  {0,0,1}     29    0
77    555    92    93  0.606673  {1,1,0}     20    1
65    564   186   198  0.903172  {0,2,0}     32    1
64    577    30    33  0.514326  {1,1,0}     24    0
7     582   174   182  0.243069  {1,1,0}     38    1
97    585   112   113  0.326995  {1,1,0}     40    1
49    614    49    50  0.276390  {1,1,0}     40    1
116   619   171   172  0.520599  {0,3,0}     30    0
30    623    41    51  0.498183  {1,1,0}     24    1
34    632   186   198  0.725917  {1,0,0}     29    1
81    638   121   155  0.705836  {1,0,0}     40    1
105   638   236   237  0.915628  {0,3,0}     35    1
39    638    35    36  0.531802  {0,2,0}     26    1
91    642    78    79  0.657655  {0,0,1}     28    0
84    654   172   173  0.165624  {0,1,0}     35    1
4     662    24    25  0.167025  {1,1,0}     33    1
15    674   174   182  0.795176  {1,0,0}     32    1
112   675   190   192  0.173606  {0,1,0}     24    1
58    689   233   235  0.258736  {0,3,0}     36    1
51    694    99   131  0.120663  {0,1,0}     32    1
66    704    39    40  0.319849  {0,1,0}     32    1
75    711    17    22  0.573085  {0,1,0}     33    0
123   718   146   147  0.875603  {0,3,0}     21    1
98    731    27    30  0.769711  {1,0,0}     24    1
126   738    90    92  0.624512  {0,0,1}     35    1
118   741   125   126  0.056391  {0,1,0}     36    1
41    744   102   111  0.245062  {0,1,0}     36    0
26    750   227   233  0.790915  {0,0,1}     31    1
114   754   131   132  0.934282  {0,3,0}     21    1
87    766    59    72  0.288342  {0,2,0}     35    0
1     774   226   227  0.536861  {0,1,1}     40    0
83    778   247   249  0.748446  {1,1,0}     36    1
76    794   236   238  0.297355  {0,1,1}     40    1
21    801   185   186  0.885681  {0,3,0}     22    1
9     826   247   249  0.892184  {0,2,0}     38    0
20    896   198   199  0.852864  {0,2,0}     28    0
12    907   217   219  0.069687  {0,0,1}     40    1
69    911    53    55  0.026740  {0,1,0}     28    1
90    925    74    75  0.416428  {0,1,0}     24    1
5     930   122   124  0.686350  {0,2,0}     28    1
117   938   247   248  0.374023  {0,3,0}     24    0
95    958    74    75  0.364715  {0,2,0}     36    1
73    966     7    30  0.882605  {0,0,1}     33    1
6     967   123   124  0.167574  {0,1,0}     37    0
85    975    24    26  0.383006  {0,1,0}     26    0
54    982    92    93  0.105443  {0,2,0}     25    1
37    991   236   238  0.463749  {0,0,1}     24    1
71    994   105   107  0.965196  {1,1,0}     36    1
3    1014    17    22  0.117280  {0,1,0}     23    0
28   1018   227   229  0.821712  {1,1,0}     39    1
27   1038   150   151  0.816476  {0,2,0}     22    0
31   1045     4     5  0.291049  {0,3,0}     29    1
108  1056    19    25  0.456443  {0,2,0}     24    0
14   1066   189   190  0.784711  {0,2,0}     34    0
