map EGL-G2-D
fac 5 10 {0,19,170,49,43}
hosp 1 {0}
n_ALS 7 1 {1:0,2:19,2:170,1:49,1:43}
n_BLS 20 1 {5:0,3:19,7:170,1:49,4:43}
n_CLS 5 0 {1:0,3:19,1:43}
      c_m  head  tail      c_af      c_d  c_tau  c_h
73     10   250   251  0.648704  {0,3,0}     22    1
76     33   247   249  0.757811  {0,2,0}     26    0
23     54    41    51  0.862608  {0,2,0}     26    1
110    93   233   254  0.364089  {0,3,0}     36    1
82    122   227   231  0.323734  {0,2,0}     29    1
14    126    10    41  0.785546  {0,0,1}     37    1
52    127     0     1  0.189479  {1,0,0}     39    1
123   162   237   238  0.184276  {1,1,0}     25    1
61    168    30    33  0.845291  {0,3,0}     26    1
104   242   140   141  0.511246  {0,1,0}     30    0
127   271   196   198  0.933654  {0,1,0}     34    0
113   279   145   146  0.861665  {0,3,0}     31    0
38    290    66    67  0.698447  {1,1,0}     37    1
9     318    23    87  0.791900  {1,0,0}     34    1
108   341   212   213  0.103546  {1,0,0}     20    1
62    357   105   107  0.915556  {1,1,0}     25    1
25    405   239   243  0.439224  {1,0,0}     27    1
71    407    92    93  0.682505  {0,1,0}     36    1
63    429   145   146  0.082308  {0,3,0}     40    0
57    433    17    22  0.217958  {0,1,0}     29    1
95    437    47    64  0.332449  {1,3,0}     24    1
36    440   166   167  0.676380  {0,2,0}     20    1
69    464   172   173  0.696371  {0,2,0}     34    0
11    469   175   176  0.728053  {1,0,0}     28    1
58    482   211   212  0.476802  {0,2,0}     30    1
59    492   156   162  0.230270  {1,1,0}     25    1
51    496    19    25  0.764532  {1,1,0}     29    1
30    496    16    18  0.038679  {0,2,0}     36    1
32    506   218   225  0.109491  {1,1,0}     36    1
96    512   174   182  0.135419  {0,1,0}     31    1
118   529   196   198  0.596790  {1,0,0}     27    1
101   545   167   168  0.911457  {0,2,0}     26    0
49    549    74    76  0.804771  {0,2,0}     20    0
120   579   192   193  0.567115  {0,3,0}     20    1
5     579   239   240  0.427280  {1,1,0}     21    1
44    579    47    64  0.206451  {0,0,1}     31    1
46    583   127   128  0.018224  {1,1,0}     21    1
107   603   185   187  0.305367  {1,1,0}     39    1
21    603   233   234  0.833429  {0,1,0}     24    0
98    604   242   243  0.423701  {1,1,0}     29    1
16    605    61    65  0.993832  {1,1,0}     33    1
83    609    53    55  0.545605  {1,1,0}     23    1
10    630   158   159  0.749292  {1,0,0}     29    1
116   639   152   155  0.154250  {0,3,0}     33    0
70    645   139   140  0.032474  {1,1,0}     23    1
19    654   166   178  0.230862  {1,1,0}     34    1
125   661   205   207  0.202018  {0,3,0}     35    1
114   661   179   184  0.970068  {0,2,0}     23    0
50    665    32    33  0.288051  {0,2,0}     36    0
6     673   180   181  0.969214  {0,2,0}     38    0
85    683    49    56  0.038872  {0,2,0}     39    0
112   696   216   218  0.565670  {0,1,0}     22    1
28    697   179   183  0.579146  {0,1,1}     22    0
81    700    46    47  0.304970  {0,1,0}     32    0
45    701    19    25  0.286739  {0,1,0}     20    1
119   717   170   171  0.914498  {1,1,0}     24    1
87    728   184   188  0.913617  {0,1,0}     38    0
8     752   113   114  0.595166  {1,0,0}     36    1
40    761   202   209  0.287362  {0,2,0}     26    1
17    766   243   245  0.708728  {1,0,0}     33    1
99    798   102   111  0.714221  {1,0,0}     20    1
29    815    65    66  0.290999  {1,1,0}     20    1
80    818    55    56  0.323366  {0,3,0}     26    1
90    818   125   152  0.417177  {0,1,0}     36    1
48    835    74    75  0.744383  {0,1,0}     21    1
91    839   195   196  0.296047  {1,0,0}     39    1
92    851   228   229  0.147395  {0,1,1}     29    0
53    859   218   225  0.311559  {0,1,0}     35    1
111   897    55    56  0.514090  {0,2,0}     36    1
41    909    78    79  0.461666  {1,0,0}     25    0
94    912   193   246  0.915173  {1,1,0}     26    1
84    925   161   164  0.751562  {1,1,0}     26    1
15    926   249   252  0.328420  {0,1,1}     27    1
97    945    90    91  0.507258  {0,1,1}     31    1
47    950   247   248  0.989513  {0,1,0}     32    0
55    953   217   218  0.457225  {0,2,0}     39    1
7     964    92    93  0.120457  {1,0,0}     40    1
31    977   197   200  0.518334  {0,1,0}     37    1
37    980   204   206  0.695401  {0,3,0}     40    0
105  1017   151   153  0.869834  {0,1,0}     22    0
56   1028    82    85  0.316328  {0,1,0}     32    0
115  1034    50    53  0.811208  {0,1,0}     24    1
89   1051    98   127  0.027426  {1,0,0}     32    1
