map EGL-G2-D
fac 5 10 {0,65,137,227,219}
hosp 1 {0}
n_ALS 9 1 {4:65,2:137,1:227,2:219}
n_BLS 18 1 {5:0,3:137,2:227,8:219}
n_CLS 6 0 {1:0,4:65,1:137}
      c_m  head  tail      c_af      c_d  c_tau  c_h
4      18   203   204  0.307683  {0,1,0}     32    0
73     19    68    69  0.485697  {0,1,1}     28    0
8      19    97    98  0.869097  {0,2,0}     24    1
106    22    50    53  0.239596  {0,1,0}     25    1
16     24   244   253  0.162109  {0,3,0}     40    0
114    25   165   166  0.884916  {0,2,0}     33    1
44     29    13    14  0.030988  {0,3,0}     28    0
39     36    56    57  0.620294  {0,3,0}     35    0
1      55   222   223  0.746281  {1,3,0}     38    1
90     62    90    91  0.492113  {1,0,0}     32    1
88     81    39    73  0.290199  {1,0,0}     29    1
95     95    76    78  0.588164  {0,3,0}     30    1
61     97    78    82  0.609137  {1,3,0}     24    1
63    113    27    28  0.471661  {0,1,0}     27    1
98    156    63    65  0.228328  {0,2,0}     20    0
105   168   156   157  0.197043  {0,2,0}     21    1
86    195     5    23  0.377407  {1,0,0}     27    1
119   227    36    38  0.515375  {0,2,0}     26    0
10    235   227   229  0.972056  {1,1,0}     33    1
47    255   155   156  0.785130  {1,0,0}     32    1
127   269   152   155  0.976559  {0,2,0}     33    1
27    341   222   223  0.598974  {0,1,0}     24    0
60    348   221   222  0.755604  {0,0,1}     34    1
70    385    45    64  0.754014  {0,1,0}     34    1
59    393     5    26  0.668889  {0,1,0}     31    1
55    408    71    72  0.175916  {0,2,0}     36    1
102   416    12    16  0.497058  {0,1,0}     25    1
120   427   228   230  0.103401  {0,1,0}     35    0
2     429   244   253  0.309816  {0,2,0}     39    1
31    431    54    58  0.336025  {0,1,0}     22    1
112   468    16    18  0.370969  {1,2,0}     36    1
56    469   231   232  0.756788  {0,3,0}     23    1
15    471   112   113  0.903074  {0,1,0}     28    1
51    485   210   211  0.889667  {0,3,0}     34    1
30    496   192   194  0.549877  {0,0,1}     40    1
116   508   201   203  0.252238  {0,3,0}     38    0
3     523   196   197  0.483459  {1,1,0}     35    1
25    527    66    93  0.482146  {0,2,0}     27    1
66    549   202   209  0.361100  {1,1,0}     20    1
104   552    66    92  0.333468  {0,1,0}     25    1
78    555    53    54  0.157821  {1,0,0}     27    1
13    572    99   100  0.220387  {0,0,1}     36    1
7     582    25    26  0.868569  {1,1,0}     27    1
108   595   148   149  0.867319  {1,1,0}     39    1
46    604    83    84  0.551059  {0,3,0}     37    0
49    614     9    34  0.399220  {0,3,0}     23    1
85    622   219   223  0.404512  {0,1,0}     29    1
110   627    87    88  0.100468  {1,0,0}     34    1
111   664   245   246  0.864628  {0,1,0}     25    1
33    673   174   182  0.206081  {0,1,0}     37    0
91    683   101   112  0.479969  {0,3,0}     32    0
57    720   150   151  0.054989  {0,2,0}     35    1
94    725     9    34  0.482991  {0,2,0}     40    0
115   726    25    26  0.393505  {0,2,0}     23    1
5     732   154   157  0.507655  {0,1,1}     27    0
74    737    85   101  0.344769  {1,1,0}     22    0
0     752   240   242  0.726403  {1,1,0}     29    1
77    753   125   126  0.501979  {0,1,0}     30    0
18    759   117   121  0.651104  {0,2,0}     33    0
37    765   117   119  0.993195  {0,1,0}     28    1
84    766   178   185  0.902961  {0,0,1}     31    1
76    771    61    65  0.009264  {0,2,0}     31    1
50    803   113   115  0.529847  {0,1,0}     23    0
23    806   141   142  0.699557  {1,1,0}     37    1
81    821   131   132  0.222137  {0,1,0}     26    1
6     852   155   156  0.930683  {0,1,0}     24    1
87    855   216   218  0.847588  {1,1,0}     27    1
35    863   175   177  0.777557  {0,1,0}     30    0
123   866    82    85  0.417307  {0,3,0}     25    0
22    878    36    39  0.334391  {0,2,0}     22    1
68    881     4    22  0.470258  {1,0,0}     33    1
12    889    63    64  0.078184  {0,3,0}     25    1
38    898    65    66  0.246115  {0,1,1}     34    1
62    910    70    71  0.551031  {0,2,0}     37    0
67    922   198   199  0.406112  {0,2,0}     35    1
14    932    28    29  0.485375  {0,2,0}     28    1
75    933   212   213  0.054500  {1,0,0}     37    0
64    941     1    12  0.517023  {0,1,0}     36    1
93    949     7    30  0.720387  {1,1,0}     37    1
21    952   127   128  0.557735  {0,2,0}     40    1
48    968   174   182  0.003128  {0,2,0}     39    1
97    972    23   150  0.164197  {1,0,0}     24    1
117  1003   123   124  0.433626  {0,1,1}     37    1
121  1009   130   131  0.204525  {0,1,0}     40    1
122  1013    43    45  0.068714  {0,1,0}     35    0
34   1021     5     6  0.323674  {0,2,0}     26    0
41   1023   177   180  0.260321  {0,1,1}     22    1
65   1025    12    13  0.983910  {0,1,0}     38    1
54   1037    82    83  0.428217  {0,2,0}     21    1
80   1047    27    30  0.068280  {1,1,0}     24    1
118  1054   132   133  0.098479  {0,2,0}     30    1
69   1063   116   117  0.247720  {1,3,0}     21    1
42   1075    99   131  0.278855  {0,1,1}     20    1
101  1079   185   186  0.323530  {0,2,0}     26    1
52   1108    53    55  0.874192  {0,3,0}     40    0
82   1111    68    69  0.440612  {0,2,0}     31    1
40   1115   196   198  0.636344  {0,3,0}     31    0
53   1125   105   107  0.571239  {0,2,0}     36    1
83   1127    10    11  0.216624  {0,2,0}     40    1
100  1141   191   195  0.499433  {1,1,0}     23    1
29   1143   219   223  0.402319  {0,2,0}     24    0
107  1149   166   167  0.172839  {1,1,0}     39    1
11   1149     0     1  0.667375  {1,1,0}     31    1
19   1150    41    51  0.090253  {0,2,0}     33    1
32   1155    24    26  0.985543  {1,0,0}     36    1
103  1164    13    14  0.823942  {0,1,0}     23    1
58   1166    50    53  0.943992  {0,1,0}     28    0
113  1173    27    28  0.275570  {0,1,0}     24    1
125  1173   245   246  0.996358  {0,1,0}     32    1
43   1181    89    90  0.199498  {1,0,0}     25    1
28   1191   130   131  0.979998  {0,1,0}     31    1
9    1236     2     3  0.118125  {0,2,0}     34    1
45   1237   113   114  0.522190  {0,2,0}     30    0
89   1241    37    75  0.551519  {0,3,0}     25    1
109  1246    71    73  0.509461  {0,0,1}     27    1
17   1260   204   205  0.208966  {0,1,0}     27    0
71   1270    90    92  0.635030  {0,2,0}     25    0
36   1273   227   231  0.921186  {0,1,0}     33    1
79   1292    90    91  0.436637  {1,1,0}     40    1
124  1292     9    10  0.768950  {0,1,1}     29    1
99   1298   227   231  0.239717  {0,2,0}     24    1
20   1315    65    66  0.377169  {0,0,1}     30    0
126  1359   170   174  0.692133  {1,0,0}     27    1
92   1361    43    46  0.029474  {0,3,0}     29    0
72   1380    95    96  0.586506  {1,0,0}     32    1
24   1390   212   213  0.482531  {0,0,1}     30    1
96   1395    92    93  0.930119  {0,3,0}     20    0
26   1402    81    89  0.054871  {0,2,0}     30    0
