map EGL-G2-D
fac 5 10 {0,27,52,173,233}
hosp 3 {0,138,191}
n_ALS 9 1 {1:27,2:52,3:173,3:233}
n_BLS 20 1 {2:0,6:27,8:52,3:173,1:233}
n_CLS 5 0 {2:0,3:27}
      c_m  head  tail      c_af      c_d  c_tau  c_h
101    30   210   211  0.322132  {0,3,0}     26    1
95     51     3    15  0.273095  {0,2,0}     35    0
79     99   237   238  0.301304  {0,3,0}     37    0
99    133   157   161  0.156781  {1,1,0}     34    1
113   142   102   111  0.908773  {0,1,0}     40    1
42    230   235   236  0.512474  {0,3,0}     21    1
10    233   193   194  0.190539  {0,1,0}     24    0
123   277   211   212  0.735063  {1,0,0}     27    1
20    295   233   234  0.026978  {1,0,0}     33    1
68    299    74    76  0.318450  {0,3,0}     40    0
15    309   192   193  0.372510  {0,2,0}     37    1
40    313    68    69  0.039461  {0,1,1}     34    1
48    344   129   138  0.546442  {0,1,0}     34    0
58    351    63    64  0.600438  {1,0,0}     28    1
104   374   178   185  0.013292  {0,1,0}     26    0
17    396   239   244  0.692189  {0,1,0}     21    0
28    416   201   203  0.097704  {0,1,0}     24    0
66    425   226   229  0.685685  {1,0,0}     24    1
45    435   236   237  0.456031  {0,2,0}     30    0
27    449   113   114  0.644571  {0,1,1}     24    0
25    464    36    39  0.379972  {1,0,0}     21    1
69    473   130   137  0.749247  {0,1,0}     30    1
37    474   192   194  0.826560  {1,0,0}     28    1
13    483   235   236  0.855511  {0,2,0}     22    1
35    489   170   174  0.153339  {0,0,1}     38    0
89    521   170   171  0.828357  {1,0,0}     32    1
32    530   129   130  0.394835  {0,2,0}     40    1
112   534    38    40  0.653242  {1,0,0}     33    1
44    539     6     7  0.075783  {0,1,0}     30    0
24    564     1     2  0.816257  {0,3,0}     27    1
50    568   227   233  0.696177  {0,1,0}     40    1
47    599     8     9  0.042230  {1,1,0}     26    1
98    613    43    46  0.045086  {1,0,0}     23    1
56    624   193   246  0.684831  {0,1,0}     26    0
102   627    45    64  0.700636  {1,1,0}     40    1
19    633    72    73  0.647730  {0,1,0}     30    1
73    634   170   174  0.937321  {0,2,0}     32    0
114   638   190   191  0.853963  {0,3,0}     40    1
125   674   208   209  0.799489  {1,0,0}     22    1
80    675   163   168  0.698890  {0,2,0}     25    1
33    693    61    62  0.907619  {0,3,0}     32    1
77    723    32    33  0.698147  {0,1,1}     30    1
23    743   251   254  0.473834  {0,2,0}     35    1
36    745   132   133  0.965583  {0,2,0}     26    0
118   757     2    14  0.336187  {0,2,0}     34    0
1     761   119   120  0.997157  {1,1,0}     37    1
29    767   206   207  0.360194  {0,3,0}     40    1
120   781    79    80  0.446281  {1,0,0}     37    1
109   792   236   237  0.826860  {1,1,0}     29    1
122   795     3     4  0.464879  {1,0,0}     23    1
85    807    90    91  0.787452  {1,0,0}     22    1
43    811   235   236  0.765675  {0,0,1}     37    0
92    813   193   194  0.603702  {0,1,0}     33    1
62    814    60    68  0.477881  {0,2,0}     40    1
107   816   245   246  0.852452  {1,0,0}     22    1
111   818   136   137  0.985619  {0,2,0}     29    0
46    828    29    31  0.220451  {0,1,1}     38    1
88    842    66    93  0.546255  {0,3,0}     36    0
67    843   143   145  0.045237  {0,0,1}     32    1
116   844     8     9  0.166926  {0,1,0}     35    0
90    845   244   245  0.340023  {0,0,1}     35    1
53    848   217   218  0.080218  {1,1,0}     38    1
97    850   135   136  0.185384  {1,0,0}     22    1
61    855   147   148  0.600682  {0,0,1}     34    1
16    856    54    55  0.680865  {0,1,0}     22    0
63    867   128   139  0.220627  {0,1,0}     24    1
31    873    67    68  0.324136  {0,1,0}     25    1
30    875   220   221  0.559111  {0,2,0}     30    0
34    890    25    26  0.541478  {1,0,0}     24    1
14    895   171   172  0.153735  {0,3,0}     34    0
12    905    74    75  0.563466  {1,1,0}     27    1
5     908    49    56  0.842262  {1,3,0}     38    1
81    911   127   128  0.262573  {0,1,0}     36    1
59    942   174   183  0.442392  {0,0,1}     28    1
76    949    39    73  0.051348  {0,0,1}     30    1
7     953    58    59  0.493529  {0,2,0}     31    1
9     957    36    38  0.619777  {0,1,0}     27    0
