map EGL-G2-D
fac 5 10 {0,49,214,165,31}
hosp 2 {0,52}
n_ALS 9 1 {2:0,3:49,1:214,3:165}
n_BLS 16 1 {4:0,5:49,7:165}
n_CLS 5 0 {1:0,2:214,2:31}
      c_m  head  tail      c_af      c_d  c_tau  c_h
96      7   233   234  0.419961  {0,2,0}     27    0
111    12   181   182  0.216617  {1,1,0}     21    1
29     30    10    11  0.357414  {0,2,0}     35    0
55     38   121   122  0.350478  {0,1,0}     21    1
21     66    76    77  0.142292  {0,1,0}     24    0
82     95    72    73  0.373822  {1,3,0}     34    1
18    158   247   248  0.792822  {1,1,0}     35    0
68    181   185   187  0.488885  {0,3,0}     25    1
113   203    63    64  0.558904  {0,0,1}     33    1
61    253   193   194  0.100324  {0,2,0}     21    1
0     264    97    98  0.710020  {0,1,0}     33    1
114   265   126   127  0.855580  {0,3,0}     35    1
48    319    90    91  0.634342  {0,1,0}     35    1
41    330   239   243  0.120108  {0,1,0}     28    0
53    356     4     5  0.657726  {1,0,0}     34    1
74    416   217   218  0.873793  {1,3,0}     35    1
109   444    81    82  0.420221  {0,2,0}     23    0
104   460   175   176  0.759887  {1,1,0}     20    1
16    463   236   238  0.920367  {0,1,0}     22    1
44    501   176   177  0.357110  {1,0,0}     34    1
95    502   177   181  0.479601  {0,0,1}     35    1
76    511    80    81  0.108037  {1,1,0}     31    1
38    528   146   147  0.154982  {0,1,0}     39    0
121   537   213   214  0.943082  {0,1,0}     25    1
98    563   117   121  0.791165  {1,1,0}     26    1
7     568   151   152  0.342130  {1,0,0}     23    1
19    572   166   167  0.642246  {0,1,0}     28    1
108   579   109   110  0.703209  {0,2,0}     38    0
120   593   119   120  0.038885  {0,1,0}     32    0
39    618    69    80  0.554781  {0,1,0}     39    0
92    622   140   142  0.919668  {0,2,0}     37    1
5     652   217   218  0.668090  {0,1,0}     39    1
99    657    50    53  0.234851  {1,2,0}     32    1
64    664   117   118  0.532236  {0,1,0}     32    1
123   665   204   205  0.917730  {0,2,0}     33    0
107   666   111   114  0.572776  {0,2,0}     22    0
49    666    59    72  0.836404  {0,2,0}     22    1
20    679   128   139  0.921814  {0,1,1}     20    0
23    681    54    55  0.759069  {0,3,0}     31    0
87    683    39    40  0.854784  {0,3,0}     34    0
13    685    63    65  0.627441  {1,1,0}     31    1
124   685   233   234  0.942065  {0,1,0}     22    0
127   687    49    56  0.208919  {0,1,0}     23    0
89    693   200   201  0.981845  {0,2,0}     20    0
80    699    31    38  0.732524  {0,2,0}     36    0
26    700    38    40  0.029604  {0,2,0}     39    1
101   707   177   181  0.601054  {1,1,0}     26    1
59    710   236   237  0.767451  {1,0,0}     31    1
52    716   226   227  0.937995  {0,1,0}     34    0
4     724   157   161  0.419856  {0,3,0}     22    1
103   731   226   229  0.312728  {0,1,0}     24    1
10    754   186   198  0.614389  {0,2,0}     33    1
9     760   117   119  0.987135  {0,1,0}     40    1
22    774    21    35  0.525462  {0,1,0}     33    1
94    789   145   148  0.669106  {1,1,0}     34    1
34    819   140   141  0.139651  {0,3,0}     37    1
102   820   112   113  0.936044  {0,1,0}     39    1
54    843   156   162  0.822583  {0,3,0}     26    0
60    845   142   143  0.712539  {0,2,0}     34    0
116   856   226   229  0.491954  {0,2,0}     25    0
1     858   130   131  0.806257  {0,0,1}     32    1
50    861   154   158  0.617439  {1,1,0}     29    1
110   863   178   185  0.375278  {0,0,1}     34    1
42    865   154   158  0.138024  {1,1,0}     34    1
83    867   179   183  0.528653  {1,1,0}     20    1
75    870   197   199  0.233527  {0,1,0}     39    1
77    886    10    11  0.407093  {0,2,0}     37    1
30    895    12    16  0.115465  {0,3,0}     28    1
71    895    23   171  0.197881  {0,0,1}     31    1
81    897   151   152  0.019520  {0,3,0}     39    0
119   908   111   114  0.573522  {0,2,0}     28    1
63    942    65    66  0.179634  {1,0,0}     28    1
57    945    54    55  0.402509  {0,2,0}     35    1
84    953   117   121  0.906146  {0,2,0}     26    1
15    956    97    98  0.648898  {1,0,0}     27    1
70    969   245   247  0.417135  {1,0,0}     20    1
32    977   166   178  0.181606  {0,1,0}     33    1
46    981   165   166  0.041462  {0,2,0}     36    0
12    981   158   159  0.801007  {0,2,0}     36    0
45    983    26    28  0.090222  {0,2,0}     33    0
90    985    96    98  0.609820  {0,1,0}     40    1
126   990    12    13  0.016770  {0,3,0}     39    1
91    991   128   139  0.302258  {1,0,0}     21    1
11    991   154   158  0.073002  {1,1,0}     31    1
79   1007   233   235  0.555747  {1,1,0}     40    1
56   1007   220   221  0.249211  {0,2,0}     39    0
93   1010    74    76  0.022562  {0,2,0}     20    0
31   1024   208   210  0.113313  {0,3,0}     32    1
58   1028   208   209  0.329565  {0,0,1}     27    1
35   1028   227   231  0.656732  {0,2,0}     22    1
40   1033    67    69  0.090596  {0,1,0}     26    0
118  1047   141   142  0.026668  {0,0,1}     30    1
28   1080    31    38  0.729262  {0,1,0}     36    1
2    1110   178   179  0.208606  {0,3,0}     30    1
97   1111    19    20  0.161545  {0,1,1}     38    1
8    1115   109   110  0.920602  {0,2,0}     22    0
86   1131   211   212  0.256576  {0,1,1}     28    0
17   1137   128   129  0.344855  {0,0,1}     35    0
72   1141   185   187  0.038157  {1,3,0}     38    1
88   1144     8     9  0.533317  {1,1,0}     39    1
25   1147    72    73  0.418713  {0,1,1}     26    0
100  1148    38    40  0.722042  {0,1,0}     37    1
112  1152    10    41  0.109668  {0,1,0}     23    1
14   1158   223   224  0.450286  {1,2,0}     40    1
117  1176   138   139  0.535613  {0,1,0}     24    0
6    1188   197   200  0.153965  {1,3,0}     25    1
62   1191   115   116  0.802022  {0,1,0}     34    1
78   1195   202   203  0.343599  {1,0,0}     34    1
66   1204    81    89  0.873694  {0,2,0}     37    1
27   1206   190   191  0.992302  {1,1,0}     38    0
106  1208   135   147  0.089158  {0,1,0}     22    1
115  1232    50    52  0.178878  {1,1,0}     21    1
65   1236   222   223  0.792570  {0,1,0}     34    0
122  1247    81    89  0.100580  {0,3,0}     40    0
33   1257   227   231  0.338907  {1,0,0}     22    1
73   1265   123   124  0.595555  {0,2,0}     35    0
36   1328   174   189  0.076807  {0,1,0}     22    1
47   1357    18    20  0.444427  {0,0,1}     35    1
3    1364    30    33  0.113553  {1,1,0}     34    1
51   1366   240   241  0.846860  {0,1,0}     39    0
125  1377   227   231  0.083336  {0,3,0}     27    0
24   1379   156   162  0.920968  {0,1,1}     36    0
69   1390   109   110  0.763617  {0,2,0}     35    1
85   1397   240   242  0.415738  {0,2,0}     36    1
43   1401    85   101  0.854421  {0,1,0}     24    0
105  1408   181   182  0.217045  {0,3,0}     26    0
37   1415    36    38  0.130236  {0,1,0}     28    1
67   1438   196   198  0.320453  {1,1,0}     34    1
