map EGL-G2-D
fac 5 10 {0,161,233,123,103}
hosp 1 {0}
n_ALS 8 1 {2:0,4:161,1:233,1:123}
n_BLS 18 1 {2:0,6:161,3:233,5:123,2:103}
n_CLS 10 0 {4:233,4:123,2:103}
      c_m  head  tail      c_af      c_d  c_tau  c_h
69     65    51    52  0.369671  {0,1,1}     29    1
115    67    96    98  0.588871  {0,1,0}     24    1
72    126   213   215  0.267458  {0,0,1}     34    1
118   160   116   117  0.328853  {0,2,0}     23    1
123   259    81    82  0.547252  {1,1,0}     28    1
100   265   192   193  0.229128  {1,3,0}     21    1
94    284    36    37  0.805182  {0,1,0}     27    0
87    285   221   222  0.566823  {0,1,0}     26    1
122   320   127   128  0.353085  {0,2,0}     38    1
63    336     9    34  0.191016  {1,0,0}     31    1
98    411    94    95  0.373819  {0,1,0}     39    1
90    425   247   248  0.473152  {0,1,0}     22    1
83    428    49    50  0.330609  {0,2,0}     24    1
77    461   184   188  0.497366  {0,1,0}     23    1
107   462   117   121  0.431633  {0,1,0}     33    1
10    484    18    19  0.231730  {1,2,0}     30    1
0     503   206   207  0.171536  {0,3,0}     39    1
79    506    43    46  0.183555  {0,2,0}     26    1
64    507   228   229  0.277570  {1,0,0}     30    1
25    511   139   140  0.133512  {1,0,0}     30    1
31    511    36    37  0.688050  {1,1,0}     31    1
120   543   226   227  0.195217  {0,2,0}     39    1
55    556    55    56  0.108893  {0,3,0}     29    0
62    566   157   163  0.059930  {0,1,0}     32    1
75    588   112   113  0.045849  {1,0,0}     23    1
58    591   202   203  0.702152  {0,3,0}     38    1
13    609   141   150  0.422475  {0,3,0}     24    1
105   609   252   253  0.499733  {0,1,0}     26    1
111   613     5     6  0.164825  {0,2,0}     25    0
32    618   212   213  0.052616  {1,0,0}     37    1
37    619    51    52  0.642392  {0,0,1}     27    1
71    626   197   200  0.665603  {1,1,0}     29    1
38    626     7    30  0.886388  {1,1,0}     31    1
47    667   245   247  0.610122  {0,2,0}     24    1
117   683   117   118  0.509801  {1,0,0}     37    1
127   688    50    53  0.071286  {0,2,0}     34    1
59    689   239   244  0.719624  {1,1,0}     40    1
119   689    14    15  0.943777  {0,3,0}     37    1
12    694   142   143  0.042032  {1,0,0}     35    1
88    711   101   112  0.347885  {0,1,0}     22    1
5     714   174   182  0.757924  {1,0,0}     20    1
26    721    29    30  0.808621  {0,2,0}     30    1
102   728    40    41  0.120034  {0,2,0}     31    1
80    744   128   129  0.692690  {0,1,0}     20    1
21    750    69    70  0.543715  {0,3,0}     36    1
52    757    61    65  0.178766  {1,0,0}     33    1
48    760   137   138  0.714986  {1,1,0}     38    1
106   772   227   233  0.851719  {1,0,0}     22    1
18    772     5    23  0.895541  {0,1,0}     25    0
41    777   136   146  0.283778  {0,1,0}     30    1
99    806    36    39  0.801431  {1,1,0}     20    1
50    806   157   163  0.074876  {1,1,0}     26    1
110   810   150   151  0.917996  {0,2,0}     37    1
44    813   165   166  0.396177  {0,1,0}     37    0
103   815   202   203  0.516877  {0,2,0}     23    1
14    821   117   119  0.408014  {0,2,0}     37    1
101   828   204   205  0.204566  {0,1,1}     20    1
114   833   122   123  0.440411  {0,1,0}     20    1
49    834    24    26  0.360303  {0,1,0}     25    0
1     849    56    57  0.201857  {0,1,0}     20    0
11    859    99   132  0.909365  {0,3,0}     23    0
104   867   220   221  0.369351  {1,3,0}     34    1
91    879   143   144  0.179622  {0,2,0}     39    1
65    882    67    68  0.853428  {1,1,0}     28    1
45    889    47    64  0.781806  {0,1,0}     20    1
78    891   164   169  0.204613  {0,1,0}     24    0
95    896   245   247  0.819933  {1,0,0}     22    1
34    901   128   139  0.531445  {0,2,0}     33    1
46    917    70    71  0.669932  {0,3,0}     28    1
19    922   178   179  0.891466  {0,2,0}     39    1
81    929   117   121  0.289081  {0,1,1}     21    0
93    935    47    64  0.127733  {0,2,0}     26    1
116   943    66    93  0.544252  {0,2,0}     22    1
36    947    49    56  0.895628  {0,2,0}     21    0
