map EGL-G2-D
fac 5 10 {0,73,175,152,156}
hosp 2 {0,140}
n_ALS 10 1 {3:0,1:73,2:175,3:152,1:156}
n_BLS 24 1 {7:0,5:73,5:175,7:152}
n_CLS 10 0 {4:73,3:175,3:156}
      c_m  head  tail      c_af      c_d  c_tau  c_h
39     37    71    73  0.608783  {1,0,0}     25    1
91     40   158   159  0.174201  {0,1,1}     25    1
20     57    40    41  0.646814  {0,1,1}     24    1
76     62    65    66  0.082683  {0,3,0}     31    0
90     67   209   216  0.326565  {0,1,0}     40    1
118    77   152   155  0.976700  {1,0,0}     24    1
107   132    97    98  0.793323  {0,3,0}     23    1
15    180   185   186  0.081467  {0,2,0}     38    1
62    181    71    73  0.126753  {0,1,0}     33    1
28    192   252   253  0.963169  {0,2,0}     37    1
121   289    17    22  0.334272  {1,1,0}     39    1
18    302   126   150  0.425565  {0,2,0}     24    1
27    310   102   111  0.516089  {1,0,0}     27    1
83    318   190   192  0.960779  {0,3,0}     27    1
89    334   159   160  0.759596  {0,1,1}     40    1
119   376    36    37  0.281367  {1,0,0}     29    1
34    381   174   182  0.275924  {1,1,0}     23    1
41    383   102   111  0.967246  {0,3,0}     22    1
103   392     7    30  0.756666  {1,0,0}     25    1
72    472    87    88  0.108249  {0,2,0}     33    1
124   490   117   119  0.123293  {0,1,1}     23    1
36    500    23   237  0.744217  {1,1,0}     32    1
32    501    48    49  0.219423  {0,3,0}     37    0
5     508   148   149  0.194381  {1,1,0}     21    1
110   508    53    55  0.834842  {1,0,0}     27    1
21    510   155   156  0.234411  {0,0,1}     21    1
45    533   164   165  0.264955  {1,1,0}     25    1
77    536     3    23  0.997706  {0,1,0}     32    1
40    544   234   235  0.466641  {1,0,0}     27    0
65    556     6    27  0.216470  {0,2,0}     24    1
109   556   186   198  0.070394  {0,2,0}     32    0
3     561     3     4  0.073926  {0,2,0}     38    1
71    571   205   207  0.601090  {0,1,0}     27    0
94    580    19    20  0.857782  {0,2,0}     40    1
93    583   216   217  0.875886  {1,0,0}     28    1
